id,4100003@計算機概論@1@2,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102013@機率論@2@1,4102085@離散數學@2@1,4103039@電腦網路概論@2@1,4102003@數位電子學實驗@1@2,4102013@機率論@1@1,4102013@機率論@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4100008@程式語言@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1
404410024,100,100,NaN,80,NaN,NaN,80,NaN,87,NaN,NaN,NaN,87,NaN,NaN,96,NaN,NaN,NaN,96,82,NaN,NaN,94,NaN,90,82,NaN,96,NaN,81,78,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404410002,NaN,91,99,NaN,NaN,99,NaN,NaN,100,NaN,NaN,NaN,100,91,91,NaN,NaN,NaN,91,NaN,NaN,72,NaN,97,71,NaN,96,NaN,84,NaN,71,93,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410003,NaN,60,77,NaN,77,NaN,NaN,NaN,65,NaN,NaN,70,70,NaN,63,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,65,NaN,75,NaN,61,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410004,NaN,79,94,NaN,94,NaN,NaN,NaN,NaN,93,NaN,NaN,92,83,92,NaN,92,NaN,NaN,NaN,NaN,79,NaN,85,NaN,NaN,NaN,93,91,77,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410006,NaN,78,NaN,73,NaN,NaN,73,NaN,NaN,79,NaN,NaN,76,NaN,NaN,79,NaN,79,NaN,NaN,72,NaN,NaN,81,NaN,82,NaN,94,70,NaN,64,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410007,NaN,76,70,NaN,NaN,70,NaN,NaN,NaN,70,NaN,78,62,70,71,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,69,75,60,NaN,70,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404410008,NaN,85,93,NaN,93,NaN,NaN,NaN,NaN,72,NaN,NaN,88,69,99,NaN,99,NaN,NaN,NaN,NaN,73,NaN,75,-1,NaN,NaN,81,89,68,NaN,66,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410009,NaN,76,60,NaN,60,NaN,NaN,NaN,47,NaN,71,NaN,47,NaN,72,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,63,-1,78,NaN,51,60,NaN,61,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410010,NaN,64,60,NaN,60,NaN,NaN,NaN,NaN,60,NaN,NaN,52,73,-1,NaN,-1,NaN,NaN,NaN,NaN,85,NaN,75,NaN,NaN,NaN,68,60,NaN,NaN,75,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410013,NaN,71,NaN,84,NaN,NaN,NaN,84,75,NaN,NaN,80,85,70,NaN,71,NaN,NaN,NaN,71,NaN,NaN,NaN,66,NaN,NaN,NaN,72,69,NaN,69,78,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410014,NaN,74,NaN,94,NaN,NaN,94,NaN,82,NaN,NaN,NaN,80,NaN,NaN,80,NaN,80,NaN,NaN,72,NaN,NaN,73,-1,85,NaN,81,69,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410015,NaN,72,93,NaN,NaN,93,NaN,NaN,NaN,67,NaN,81,79,86,95,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,97,NaN,NaN,64,NaN,81,63,NaN,85,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410016,NaN,76,81,NaN,81,NaN,NaN,NaN,NaN,74,NaN,NaN,86,NaN,99,NaN,99,NaN,NaN,NaN,80,NaN,NaN,82,-1,80,NaN,84,74,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410017,NaN,90,99,NaN,99,NaN,NaN,NaN,NaN,94,72,NaN,94,70,89,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,93,87,NaN,67,92,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410018,NaN,65,70,NaN,70,NaN,NaN,NaN,60,NaN,NaN,NaN,71,NaN,-1,NaN,-1,NaN,NaN,NaN,83,NaN,NaN,-1,NaN,67,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
