id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1
405410057,64,51,48,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405410001,NaN,81,NaN,70,NaN,NaN,70,NaN,NaN,81,78,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410002,NaN,72,68,NaN,NaN,68,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410003,NaN,85,87,NaN,87,NaN,NaN,NaN,NaN,67,NaN,77,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410004,NaN,91,NaN,91,NaN,NaN,91,NaN,NaN,76,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410005,NaN,64,73,NaN,73,NaN,NaN,NaN,61,NaN,81,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410006,NaN,69,80,NaN,NaN,80,NaN,NaN,NaN,75,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
405410009,NaN,84,72,NaN,NaN,72,NaN,NaN,63,NaN,NaN,80,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410010,NaN,100,97,NaN,97,NaN,NaN,NaN,NaN,68,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405410011,NaN,67,NaN,73,NaN,NaN,73,NaN,73,NaN,NaN,86,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410012,NaN,79,100,NaN,NaN,100,NaN,NaN,55,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410013,NaN,83,NaN,98,NaN,NaN,98,NaN,82,NaN,83,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405410015,NaN,83,84,NaN,84,NaN,NaN,NaN,NaN,68,80,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410016,NaN,77,99,NaN,NaN,99,NaN,NaN,70,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410017,NaN,64,NaN,51,NaN,NaN,NaN,51,58,NaN,NaN,84,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405410018,NaN,65,NaN,69,NaN,NaN,69,NaN,55,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410019,NaN,62,62,NaN,62,NaN,NaN,NaN,NaN,60,NaN,64,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410020,NaN,60,NaN,NaN,NaN,NaN,50,NaN,58,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410021,NaN,74,79,NaN,NaN,79,NaN,NaN,68,NaN,78,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410023,NaN,60,71,NaN,71,NaN,NaN,NaN,58,NaN,79,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410024,NaN,64,99,NaN,99,NaN,NaN,NaN,67,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410025,NaN,81,74,NaN,NaN,74,NaN,NaN,NaN,69,78,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410026,NaN,74,NaN,67,NaN,NaN,NaN,67,NaN,60,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405410027,NaN,75,96,NaN,NaN,96,NaN,NaN,NaN,76,80,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410028,NaN,70,60,NaN,NaN,60,NaN,NaN,NaN,41,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410029,NaN,19,35,NaN,35,NaN,NaN,NaN,40,NaN,72,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410031,NaN,38,38,NaN,NaN,38,NaN,NaN,NaN,35,76,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410032,NaN,94,71,NaN,71,NaN,NaN,NaN,70,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
405410033,NaN,77,86,NaN,86,NaN,NaN,NaN,67,NaN,NaN,87,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410034,NaN,92,99,NaN,NaN,99,NaN,NaN,NaN,79,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405410035,NaN,93,99,NaN,NaN,99,NaN,NaN,91,NaN,84,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410036,NaN,100,99,NaN,99,NaN,NaN,NaN,99,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405410037,NaN,90,NaN,71,NaN,NaN,NaN,71,71,NaN,75,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405410038,NaN,86,NaN,31,NaN,NaN,31,NaN,NaN,63,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410039,NaN,89,81,NaN,81,NaN,NaN,NaN,88,NaN,NaN,88,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410040,NaN,68,NaN,44,NaN,NaN,44,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
405410041,NaN,85,85,NaN,85,NaN,NaN,NaN,94,NaN,NaN,83,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410042,NaN,60,NaN,NaN,NaN,NaN,39,NaN,NaN,39,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1
