id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152011@邏輯設計@1@1,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153219@電力電子導論@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152201@資料結構@2@1,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2
404415001,85,NaN,NaN,90,66,88,NaN,71,NaN,66,NaN,NaN,NaN,86,NaN,NaN,-1,74,77,NaN,98,NaN,NaN,NaN,94,85,80,NaN,74,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404415003,77,NaN,88,NaN,65,NaN,88,73,NaN,NaN,NaN,71,NaN,89,NaN,NaN,-1,64,67,NaN,86,NaN,NaN,93,NaN,65,84,NaN,60,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404415005,71,NaN,88,NaN,68,NaN,83,72,NaN,61,NaN,NaN,NaN,76,NaN,NaN,-1,67,60,NaN,83,NaN,NaN,90,NaN,68,67,NaN,60,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN
404415007,67,NaN,90,NaN,64,NaN,89,66,NaN,55,NaN,-1,NaN,84,NaN,NaN,-1,60,74,NaN,96,NaN,NaN,95,NaN,69,71,76,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415011,48,NaN,85,NaN,57,70,NaN,55,-1,NaN,NaN,59,-1,67,NaN,NaN,-1,54,NaN,65,NaN,85,61,NaN,93,NaN,54,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404415013,69,NaN,NaN,85,78,NaN,69,79,NaN,61,NaN,NaN,NaN,66,NaN,NaN,-1,98,94,NaN,95,NaN,NaN,90,NaN,88,87,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1
404415015,71,NaN,NaN,93,71,NaN,91,63,NaN,68,NaN,NaN,NaN,60,NaN,NaN,-1,65,39,NaN,NaN,92,NaN,NaN,94,62,43,NaN,45,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415017,73,NaN,NaN,90,83,89,NaN,70,NaN,71,NaN,NaN,NaN,76,NaN,NaN,-1,73,79,NaN,88,NaN,NaN,NaN,93,74,72,64,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1
404415019,77,NaN,NaN,85,73,NaN,77,84,NaN,NaN,NaN,69,NaN,85,NaN,NaN,-1,86,71,NaN,94,NaN,NaN,90,NaN,NaN,70,NaN,68,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415021,60,NaN,88,NaN,42,73,NaN,NaN,71,NaN,85,NaN,NaN,46,NaN,NaN,-1,50,19,NaN,NaN,81,63,NaN,NaN,NaN,37,62,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415023,65,NaN,58,NaN,62,NaN,75,64,NaN,65,NaN,NaN,NaN,63,82,NaN,-1,68,72,NaN,86,NaN,NaN,96,NaN,67,82,64,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404415025,73,NaN,58,NaN,NaN,NaN,91,79,NaN,72,NaN,NaN,NaN,84,NaN,NaN,-1,98,99,NaN,94,NaN,NaN,95,NaN,92,93,NaN,91,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN
404415027,54,75,NaN,85,68,85,NaN,77,NaN,NaN,NaN,68,NaN,71,NaN,NaN,-1,60,60,NaN,83,NaN,NaN,NaN,93,NaN,72,46,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415029,65,NaN,58,NaN,NaN,NaN,69,65,NaN,52,NaN,NaN,NaN,67,NaN,NaN,-1,74,NaN,NaN,77,NaN,65,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415031,72,NaN,NaN,88,56,NaN,81,-1,NaN,NaN,NaN,66,NaN,62,NaN,NaN,-1,66,NaN,70,84,NaN,NaN,NaN,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404415033,63,NaN,NaN,58,91,67,NaN,66,NaN,66,NaN,NaN,NaN,73,83,NaN,-1,80,65,NaN,NaN,90,NaN,93,NaN,78,76,62,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415035,79,NaN,90,NaN,89,NaN,97,67,NaN,NaN,NaN,65,NaN,78,NaN,NaN,-1,91,77,NaN,NaN,93,NaN,86,NaN,87,84,73,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415037,85,NaN,90,NaN,74,82,NaN,NaN,85,NaN,96,NaN,NaN,63,NaN,NaN,-1,86,70,NaN,NaN,91,NaN,95,NaN,40,67,NaN,89,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN
404415039,51,73,58,NaN,NaN,60,NaN,-1,NaN,27,NaN,-1,NaN,37,76,NaN,-1,60,NaN,NaN,78,NaN,46,NaN,70,14,15,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404415041,90,NaN,85,NaN,NaN,NaN,89,84,NaN,NaN,NaN,83,NaN,75,NaN,NaN,-1,78,79,NaN,NaN,96,NaN,97,NaN,NaN,81,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415043,61,NaN,NaN,88,58,70,NaN,65,NaN,NaN,NaN,-1,NaN,71,NaN,NaN,-1,49,41,NaN,NaN,92,67,NaN,NaN,NaN,37,NaN,57,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415045,73,NaN,88,NaN,71,82,NaN,NaN,69,NaN,84,NaN,NaN,73,NaN,NaN,-1,74,60,NaN,NaN,79,NaN,NaN,NaN,69,64,39,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404415047,97,NaN,90,NaN,99,NaN,90,87,NaN,NaN,NaN,89,NaN,95,NaN,NaN,-1,100,99,NaN,NaN,97,NaN,97,NaN,96,92,NaN,100,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415049,60,NaN,NaN,NaN,67,NaN,84,64,NaN,59,NaN,NaN,-1,63,84,NaN,-1,78,74,NaN,NaN,93,NaN,NaN,92,63,70,72,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404415051,70,NaN,90,NaN,73,NaN,86,66,NaN,70,NaN,NaN,NaN,66,NaN,NaN,-1,63,68,NaN,95,NaN,NaN,NaN,92,70,57,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN
404415053,96,NaN,NaN,88,74,NaN,75,73,NaN,NaN,NaN,70,NaN,81,NaN,NaN,-1,87,NaN,95,NaN,92,NaN,NaN,93,83,80,82,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1
404415055,60,NaN,NaN,85,57,76,NaN,75,NaN,68,NaN,NaN,NaN,85,NaN,NaN,-1,76,78,NaN,NaN,84,94,97,NaN,NaN,86,NaN,54,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415057,84,NaN,NaN,90,46,80,NaN,63,NaN,NaN,NaN,66,NaN,61,NaN,NaN,-1,62,46,NaN,86,NaN,63,92,NaN,61,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404415059,60,NaN,NaN,58,17,NaN,70,34,NaN,NaN,NaN,41,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404415061,53,NaN,85,NaN,NaN,NaN,77,NaN,63,NaN,NaN,NaN,82,74,NaN,NaN,-1,53,NaN,NaN,75,NaN,75,NaN,92,NaN,61,64,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415065,79,NaN,NaN,85,67,70,NaN,-1,58,NaN,62,NaN,NaN,54,NaN,NaN,-1,NaN,NaN,83,NaN,77,NaN,78,NaN,47,60,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404415067,62,NaN,88,NaN,83,NaN,90,72,NaN,69,NaN,NaN,NaN,88,NaN,NaN,-1,94,93,NaN,NaN,92,NaN,93,NaN,76,86,NaN,54,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415069,68,NaN,NaN,80,61,NaN,83,-1,56,NaN,82,NaN,NaN,63,NaN,NaN,-1,82,77,NaN,88,NaN,NaN,94,NaN,64,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415071,72,NaN,83,NaN,60,63,NaN,-1,24,NaN,48,-1,NaN,18,NaN,NaN,-1,90,69,NaN,NaN,82,NaN,NaN,92,78,83,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404415073,74,NaN,NaN,92,98,89,NaN,86,NaN,74,NaN,NaN,NaN,91,NaN,NaN,-1,90,94,NaN,94,NaN,NaN,97,NaN,98,90,NaN,96,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404415077,76,NaN,85,NaN,83,NaN,96,80,NaN,75,NaN,NaN,NaN,90,NaN,NaN,-1,80,96,NaN,94,NaN,NaN,93,NaN,91,78,NaN,92,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415079,67,NaN,NaN,88,NaN,82,NaN,66,NaN,NaN,NaN,68,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404415081,53,87,NaN,58,NaN,NaN,79,71,NaN,NaN,NaN,66,NaN,78,83,NaN,-1,79,79,NaN,89,NaN,90,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404415083,73,NaN,NaN,58,65,67,NaN,63,NaN,NaN,NaN,50,-1,70,80,NaN,-1,77,72,NaN,90,NaN,NaN,NaN,71,62,80,61,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404415085,74,NaN,58,NaN,92,NaN,74,78,NaN,63,NaN,NaN,NaN,69,NaN,NaN,-1,62,NaN,72,75,NaN,NaN,NaN,91,63,70,77,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
404415087,60,NaN,90,NaN,65,NaN,97,NaN,77,NaN,93,NaN,NaN,85,NaN,NaN,-1,79,82,NaN,NaN,95,NaN,93,NaN,73,73,69,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
