id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202751@電子電路學（一）@2@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@2,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203104@機械設計@1@2,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203065@專題研究A(二)@2@1,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204301@應用光學與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4203068@專題研究D（二）@2@1,4203755@機電專題實作(一)@2@1
402420001,52,73,NaN,40,44,NaN,90,60,-1,NaN,58,NaN,67,NaN,NaN,-1,23,NaN,27,5,4,28,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420006,77,NaN,71,NaN,78,NaN,NaN,68,NaN,71,NaN,78,NaN,80,NaN,NaN,60,75,68,88,60,63,73,NaN,NaN,75,82,61,68,69,85,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,74,72,NaN,NaN,60,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,66,NaN,NaN,NaN,74,81,NaN,86,70,NaN,NaN,NaN,NaN
402420007,63,71,NaN,88,NaN,88,NaN,69,84,NaN,64,NaN,NaN,NaN,NaN,67,68,76,62,80,72,67,63,NaN,NaN,60,73,65,NaN,66,87,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,71,75,NaN,71,NaN,79,NaN,NaN,NaN,NaN,NaN,82,NaN,73,NaN,NaN,-1,NaN,67,NaN,82,60,NaN,NaN,NaN,NaN
402420008,62,NaN,66,NaN,77,NaN,NaN,75,NaN,81,NaN,72,NaN,70,NaN,NaN,62,80,62,61,85,70,75,-1,NaN,70,83,NaN,65,88,85,NaN,NaN,NaN,NaN,NaN,79,NaN,75,60,NaN,81,78,75,99,80,NaN,NaN,83,96,NaN,-1,86,89,86,NaN,NaN,NaN,93,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420009,71,74,NaN,78,NaN,NaN,83,60,73,NaN,83,NaN,NaN,NaN,NaN,NaN,63,90,63,71,67,70,75,NaN,77,69,70,54,68,66,81,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,76,NaN,76,NaN,86,NaN,80,NaN,NaN,NaN,NaN,-1,75,NaN,NaN,-1,NaN,NaN,82,87,NaN,86,NaN,60,NaN,NaN,NaN,NaN
402420010,85,NaN,80,NaN,83,NaN,NaN,67,NaN,81,NaN,NaN,80,NaN,90,NaN,60,96,77,75,74,68,60,-1,83,77,75,60,72,82,87,NaN,NaN,NaN,NaN,90,67,NaN,75,73,NaN,70,82,89,89,90,NaN,NaN,NaN,NaN,77,-1,80,90,92,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420011,72,73,NaN,89,NaN,NaN,78,67,NaN,75,NaN,77,NaN,NaN,NaN,NaN,74,85,72,80,68,75,67,NaN,73,80,86,71,78,78,82,NaN,NaN,NaN,NaN,NaN,74,NaN,85,NaN,86,NaN,81,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,86,NaN,70,-1,NaN,NaN,73,84,73,93,NaN,NaN,NaN
402420012,93,NaN,66,NaN,60,NaN,NaN,60,NaN,74,NaN,58,72,70,NaN,75,74,61,67,70,72,71,66,NaN,NaN,68,86,NaN,NaN,75,NaN,84,NaN,NaN,NaN,NaN,63,NaN,NaN,81,NaN,81,79,NaN,77,NaN,79,NaN,NaN,NaN,NaN,NaN,86,NaN,66,-1,NaN,-1,NaN,NaN,79,NaN,60,83,NaN,NaN,NaN
402420013,66,65,NaN,73,NaN,NaN,67,87,NaN,81,NaN,79,NaN,NaN,NaN,95,87,99,82,85,74,83,75,NaN,NaN,96,99,89,NaN,84,90,NaN,NaN,NaN,NaN,NaN,NaN,83,98,100,NaN,94,83,NaN,99,80,NaN,94,NaN,NaN,93,-1,93,96,95,-1,NaN,NaN,93,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420014,75,NaN,91,NaN,80,NaN,NaN,60,NaN,88,NaN,83,NaN,NaN,90,NaN,68,96,64,75,60,76,-1,85,NaN,62,66,-1,60,67,85,NaN,NaN,NaN,NaN,NaN,73,56,NaN,66,64,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,73,60,-1,-1,NaN,NaN,NaN,74,NaN,78,NaN,NaN,NaN,NaN,NaN
