id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202053@視窗程式設計@2@1,4202751@電子電路學（一）@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4203151@機器動力學@2@1,4203602@流體力學（一）@2@1,4203754@訊號與影像處理導論@2@1
404420001,62,92,NaN,79,NaN,NaN,90,60,92,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,74,NaN,72,64,76,75,-1,-1,NaN,-1,NaN,NaN,-1,NaN
404420002,72,NaN,84,NaN,72,NaN,NaN,91,NaN,90,73,NaN,NaN,70,NaN,NaN,NaN,71,NaN,81,84,87,91,-1,-1,-1,-1,-1,NaN,-1,NaN
404420003,77,89,NaN,66,NaN,88,NaN,81,90,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,76,NaN,94,85,82,90,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420004,87,NaN,92,NaN,82,NaN,NaN,93,NaN,90,NaN,91,NaN,70,NaN,NaN,-1,88,83,99,99,98,97,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420005,76,92,NaN,69,NaN,NaN,77,74,90,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,80,70,74,75,-1,-1,-1,NaN,-1,NaN,-1,NaN
404420007,87,92,NaN,75,NaN,90,NaN,90,90,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,100,95,94,99,99,97,-1,-1,-1,-1,-1,NaN,-1,NaN
404420008,92,NaN,89,NaN,76,NaN,NaN,84,NaN,94,NaN,89,NaN,NaN,80,NaN,-1,85,83,78,86,78,79,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420009,81,NaN,90,79,NaN,89,NaN,78,90,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,79,NaN,86,88,79,74,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420010,70,NaN,91,NaN,69,NaN,NaN,60,NaN,86,NaN,NaN,89,70,NaN,NaN,-1,60,NaN,66,60,54,67,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420012,91,NaN,92,NaN,84,NaN,NaN,89,NaN,86,NaN,88,NaN,NaN,80,-1,-1,100,87,100,95,90,90,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420013,54,70,NaN,75,NaN,76,NaN,-1,92,NaN,68,NaN,NaN,NaN,NaN,NaN,-1,31,90,65,89,30,47,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
404420015,77,82,NaN,66,NaN,NaN,88,60,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,65,40,71,62,65,66,-1,-1,NaN,-1,-1,NaN,-1,-1
404420016,91,NaN,93,NaN,76,NaN,NaN,98,NaN,92,76,NaN,NaN,70,NaN,NaN,NaN,96,70,100,99,92,95,-1,-1,-1,-1,-1,NaN,-1,NaN
404420019,91,87,NaN,79,NaN,NaN,88,80,90,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,77,90,85,71,82,74,-1,-1,-1,-1,-1,NaN,-1,NaN
404420020,80,NaN,87,NaN,77,NaN,NaN,60,NaN,88,79,NaN,NaN,NaN,80,96,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404420021,84,90,NaN,80,NaN,NaN,83,86,90,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,80,NaN,98,92,84,85,-1,-1,NaN,-1,NaN,NaN,-1,NaN
