id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253911@高分子加工概論@2@1,4253970@特用化學品@2@1,4252710@生物化學@1@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253800@組織工程概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253720@生醫材料@2@1,4253730@分離程序@2@1,4253910@高分子概論@2@1,4253940@觸媒化學概論@2@1,4254410@化工反應工程@2@1,4254500@組織工程實驗@2@1
403425001,64,78,60,NaN,NaN,45,78,NaN,60,68,61,27,12,60,NaN,NaN,80,NaN,62,50,64,62,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
403425002,61,NaN,62,81,NaN,55,60,NaN,52,NaN,74,38,66,-1,-1,NaN,70,NaN,42,41,68,60,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
403425003,81,89,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403425004,85,NaN,73,81,NaN,75,64,NaN,60,87,68,74,75,70,NaN,-1,NaN,NaN,71,70,89,72,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403425008,69,NaN,90,82,NaN,93,99,NaN,83,99,94,91,99,96,NaN,NaN,95,NaN,88,99,98,88,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
403425009,80,89,89,NaN,NaN,65,80,NaN,61,90,79,71,88,NaN,79,75,85,89,60,55,78,62,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1
403425010,78,NaN,79,82,NaN,77,62,NaN,60,85,84,74,80,73,NaN,77,86,NaN,84,80,86,80,-1,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1,-1
403425011,71,82,94,NaN,NaN,76,92,NaN,75,91,89,83,81,80,NaN,NaN,94,95,91,84,87,68,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1
403425012,85,NaN,80,84,NaN,80,75,NaN,66,95,90,78,89,92,74,83,NaN,NaN,82,80,86,78,-1,-1,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN
403425013,73,75,69,NaN,NaN,34,60,63,NaN,60,63,13,47,NaN,-1,NaN,66,NaN,67,10,56,60,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403425016,81,NaN,84,83,70,68,NaN,NaN,NaN,74,81,55,60,-1,-1,-1,88,NaN,83,87,67,63,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
403425017,71,80,64,NaN,71,73,NaN,NaN,NaN,74,74,45,40,-1,-1,NaN,70,NaN,65,66,80,73,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN
