id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252710@生物化學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4251910@計算機概論@2@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252920@應用統計學@2@1,4253910@高分子概論@2@1,4253970@特用化學品@2@1
404425001,79,85,64,NaN,64,NaN,NaN,64,NaN,62,84,-1,-1,-1,-1,NaN,NaN
404425002,73,NaN,68,95,63,NaN,NaN,70,NaN,NaN,91,-1,-1,-1,NaN,NaN,-1
404425003,77,82,-1,NaN,71,66,NaN,NaN,NaN,63,80,NaN,-1,-1,-1,NaN,-1
404425004,79,NaN,63,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404425005,68,79,63,NaN,73,75,76,NaN,NaN,72,79,NaN,-1,-1,-1,NaN,NaN
404425006,92,NaN,64,91,87,73,NaN,97,NaN,71,97,NaN,-1,-1,NaN,NaN,-1
404425007,65,76,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404425008,82,NaN,-1,96,60,NaN,NaN,NaN,NaN,66,NaN,-1,-1,-1,NaN,NaN,-1
404425009,71,85,67,NaN,82,69,NaN,87,NaN,76,82,NaN,-1,-1,NaN,NaN,-1
404425010,82,NaN,-1,76,65,60,NaN,NaN,NaN,64,65,NaN,-1,-1,NaN,NaN,NaN
404425011,68,73,-1,NaN,53,NaN,NaN,NaN,NaN,55,65,NaN,-1,-1,NaN,NaN,NaN
404425012,79,NaN,-1,69,44,62,NaN,NaN,NaN,65,84,NaN,-1,-1,NaN,NaN,NaN
404425013,96,91,86,NaN,78,82,NaN,81,NaN,83,92,NaN,-1,-1,-1,NaN,-1
404425014,79,NaN,60,75,57,60,NaN,70,NaN,61,75,NaN,-1,-1,NaN,NaN,-1
