id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1
405425001,82,79,-1,NaN,-1
405425002,75,NaN,-1,-1,-1
405425003,80,66,-1,NaN,NaN
405425004,70,NaN,-1,-1,-1
405425005,75,68,-1,NaN,NaN
405425006,83,NaN,-1,-1,NaN
405425007,76,70,-1,NaN,-1
405425008,69,NaN,-1,-1,-1
405425009,83,78,-1,NaN,NaN
405425010,79,NaN,-1,-1,-1
405425011,89,73,-1,NaN,-1
405425012,75,NaN,-1,-1,NaN
405425013,92,77,-1,NaN,NaN
405425014,74,NaN,-1,-1,-1
405425015,82,71,-1,NaN,-1
405425016,79,NaN,-1,-1,-1
405425017,73,78,-1,NaN,NaN
405425018,81,NaN,-1,-1,NaN
405425019,80,73,-1,NaN,-1
405425020,61,NaN,-1,-1,NaN
405425021,93,87,-1,NaN,NaN
405425023,57,66,-1,NaN,NaN
405425024,75,NaN,-1,-1,NaN
405425025,81,83,-1,NaN,-1
405425026,79,NaN,-1,-1,NaN
405425027,80,70,-1,NaN,-1
405425028,81,NaN,-1,-1,-1
405425029,78,70,-1,NaN,-1
405425030,77,NaN,-1,-1,NaN
405425031,80,83,-1,NaN,-1
405425032,76,NaN,-1,-1,NaN
405425033,85,68,-1,NaN,NaN
405425034,86,NaN,-1,-1,NaN
405425035,74,66,-1,NaN,NaN
405425036,74,NaN,-1,-1,-1
405425037,81,75,-1,NaN,NaN
405425038,79,NaN,-1,-1,-1
405425039,57,66,-1,NaN,NaN
405425040,78,NaN,-1,-1,-1
405425041,82,73,-1,NaN,-1
405425042,86,NaN,-1,-1,-1
405425043,74,81,-1,NaN,NaN
405425044,74,NaN,-1,-1,-1
405425045,76,88,-1,NaN,-1
405425046,64,NaN,-1,-1,NaN
405425048,80,NaN,-1,-1,NaN
405425049,82,73,-1,NaN,-1
405425050,82,NaN,-1,-1,-1
405425051,83,73,-1,NaN,-1
405425052,83,NaN,-1,-1,NaN
405425053,67,72,-1,NaN,-1
405425054,83,NaN,-1,-1,-1
