id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4253990@光電材料@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252810@無機材料物性@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253720@生醫材料@2@1,4253910@高分子概論@2@1,4253970@特用化學品@2@1,4252710@生物化學@1@1,4253400@單元操作與輸送現象（二）@1@1,4253500@儀器分析@1@1,4253800@組織工程概論@1@1,4254100@程序設計@1@2,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253410@化工熱力學@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253730@分離程序@2@1,4253916@高分子物理@2@1,4253940@觸媒化學概論@2@1,4254500@組織工程實驗@2@1,4254970@專題討論與文獻選讀@2@1,4253910@高分子概論@1@1,4254001@化工專題研究（二）@1@1,4254100@程序設計@1@1,4254402@化學工程實驗（二）@1@1,4254402@化學工程實驗（二）@1@2,4254410@化工反應工程@1@1,4253915@塑橡膠材料與加工@2@1,4254200@化工學士畢業專題@2@1,4254410@化工反應工程@2@1
401425002,93,NaN,75,78,NaN,62,72,NaN,60,65,68,NaN,65,69,77,NaN,NaN,84,NaN,NaN,62,76,84,74,74,NaN,76,NaN,87,71,88,84,NaN,NaN,NaN,69,87,77,NaN,NaN,NaN,NaN,80,60,NaN,NaN,NaN
401425003,65,82,63,NaN,NaN,61,61,67,53,65,68,NaN,52,68,70,NaN,52,NaN,NaN,NaN,75,61,60,50,61,NaN,60,77,NaN,60,76,NaN,82,62,51,NaN,NaN,75,60,NaN,54,72,NaN,30,NaN,NaN,40
401425004,70,NaN,68,78,NaN,60,63,NaN,65,80,85,NaN,66,70,NaN,NaN,69,93,67,77,NaN,68,83,67,67,NaN,72,NaN,83,71,82,81,NaN,NaN,NaN,NaN,85,78,NaN,NaN,NaN,NaN,78,60,NaN,NaN,NaN
401425005,78,86,60,NaN,66,52,51,61,60,NaN,75,NaN,43,-1,NaN,60,NaN,67,62,NaN,NaN,19,60,NaN,NaN,NaN,60,75,NaN,-1,62,NaN,82,NaN,NaN,NaN,85,77,NaN,NaN,72,70,NaN,NaN,60,NaN,10
401425006,85,NaN,61,86,66,84,84,86,NaN,88,71,NaN,81,73,NaN,77,NaN,NaN,52,81,63,82,66,NaN,71,NaN,80,NaN,87,77,80,81,NaN,90,NaN,60,NaN,84,NaN,NaN,NaN,NaN,82,88,83,NaN,NaN
401425007,92,86,63,NaN,81,70,77,NaN,60,75,NaN,NaN,60,82,77,82,84,NaN,NaN,80,NaN,63,81,NaN,NaN,NaN,60,84,NaN,75,92,NaN,86,NaN,78,60,85,74,NaN,NaN,83,80,NaN,50,NaN,NaN,81
401425008,90,NaN,91,88,75,74,NaN,NaN,68,81,79,NaN,68,86,NaN,NaN,NaN,NaN,NaN,81,86,72,94,NaN,70,88,85,NaN,91,70,80,91,NaN,NaN,NaN,76,NaN,92,NaN,90,NaN,NaN,89,78,NaN,NaN,NaN
401425009,98,80,95,NaN,71,64,80,69,72,67,82,NaN,60,68,NaN,82,NaN,NaN,71,80,NaN,60,80,NaN,NaN,NaN,66,95,NaN,61,79,NaN,82,NaN,90,NaN,NaN,78,NaN,NaN,66,85,NaN,NaN,NaN,NaN,63
401425010,78,NaN,75,87,56,63,65,NaN,63,76,74,NaN,60,62,NaN,NaN,73,NaN,NaN,72,60,64,80,66,73,NaN,61,NaN,83,66,82,87,NaN,NaN,NaN,60,82,82,NaN,NaN,NaN,NaN,83,62,NaN,NaN,NaN
401425011,74,80,66,NaN,83,84,85,NaN,76,75,75,NaN,76,69,78,NaN,NaN,76,72,NaN,NaN,79,83,NaN,NaN,85,76,92,NaN,72,85,NaN,88,NaN,77,91,NaN,74,NaN,86,80,84,NaN,70,NaN,NaN,NaN
