id,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255251@奈米製造技術@2@1,4255530@陰離子高分子聚合反應@2@1,4255572@精密材料合成@2@1,4255745@生物醫學特論@2@1,4255804@材料鑑識特論@2@1,4255932@分子螢光學之原理與應用@2@1,4255011@專題討論（一）@1@1,4255062@碩士論文（二）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255510@高分子原理及反應工程@1@1,4255531@高分子材料合成@1@1,4255541@高分子流變學@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255723@電腦在生化系統之應用@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255802@材料鑑識@1@1,4255924@電子構裝@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4255041@專題討論（四）@2@1,4255070@碩士論文（三）@2@1,4255250@粉粒體技術@2@1,4255330@非線性動態學@2@1,4255542@高分子動態學@2@1,4255724@系統生物學@2@1,4255800@無機材料光譜分析@2@1,4255803@材料相平衡@2@1,4255031@專題討論（三）@1@1,4257740@材料分析@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4255570@工業觸媒@2@1,4257761@軟物質材料之多尺度模擬法@2@1,4255803@材料相平衡@1@1
602425001,84,88,78,84,NaN,NaN,75,88,NaN,84,88,NaN,NaN,NaN,NaN,85,NaN,91,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,88,NaN,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425003,79,88,83,NaN,92,87,NaN,97,NaN,85,88,NaN,NaN,NaN,NaN,96,NaN,89,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
602425027,79,86,88,NaN,NaN,78,NaN,NaN,75,79,88,86,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,87,90,NaN,NaN,73,NaN,NaN,77,86,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425004,79,87,73,81,NaN,82,NaN,NaN,91,79,88,NaN,NaN,NaN,83,NaN,NaN,84,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,80,89,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,87,NaN,NaN,NaN,NaN
602425005,79,88,NaN,NaN,90,87,NaN,NaN,84,79,88,NaN,NaN,NaN,94,90,NaN,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425006,79,88,93,96,NaN,NaN,84,NaN,NaN,79,88,NaN,NaN,NaN,NaN,NaN,NaN,91,93,88,NaN,NaN,88,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425007,79,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,86,82,NaN,96,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,88,92,NaN,80,NaN,NaN,NaN,84,NaN,83,80,NaN,88,NaN
602425008,79,88,NaN,99,NaN,98,NaN,NaN,NaN,79,88,NaN,NaN,NaN,NaN,99,NaN,89,NaN,NaN,NaN,NaN,90,NaN,99,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,NaN
602425013,79,90,NaN,NaN,NaN,90,NaN,NaN,NaN,79,90,NaN,NaN,97,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,86,84,88,NaN,NaN,83,NaN,NaN,NaN,84,NaN,NaN,90,NaN,88,NaN
602425017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,85,NaN,87,90,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602425019,79,88,72,NaN,NaN,90,NaN,90,NaN,79,88,NaN,NaN,NaN,NaN,91,NaN,89,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,85,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,92,NaN,NaN
602425020,79,88,85,NaN,NaN,NaN,73,NaN,82,79,88,NaN,NaN,NaN,NaN,77,NaN,92,87,NaN,NaN,92,NaN,NaN,85,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425021,79,88,83,NaN,85,91,NaN,NaN,93,79,87,NaN,NaN,NaN,88,94,NaN,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425023,79,88,75,NaN,NaN,79,NaN,NaN,NaN,79,88,NaN,NaN,NaN,NaN,88,NaN,92,94,NaN,NaN,NaN,94,NaN,90,NaN,NaN,84,90,NaN,NaN,NaN,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425024,79,87,76,NaN,NaN,NaN,76,NaN,NaN,79,88,NaN,NaN,NaN,NaN,84,NaN,87,77,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,84,88,86,NaN,NaN,NaN,86,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425025,79,87,81,NaN,NaN,79,NaN,NaN,88,79,89,NaN,NaN,NaN,NaN,87,NaN,84,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,76,84,89,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425026,79,86,95,NaN,NaN,84,84,NaN,NaN,79,88,91,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,90,85,NaN,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425028,79,88,90,95,NaN,NaN,NaN,NaN,NaN,79,90,NaN,NaN,NaN,NaN,93,NaN,94,NaN,NaN,NaN,NaN,95,NaN,95,85,NaN,84,90,NaN,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425030,79,88,90,93,NaN,NaN,NaN,NaN,NaN,84,85,NaN,NaN,NaN,NaN,87,NaN,94,NaN,NaN,NaN,NaN,95,NaN,97,85,NaN,84,86,NaN,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425032,79,88,91,NaN,80,90,NaN,NaN,89,79,88,NaN,NaN,79,81,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,86,NaN,NaN,NaN,NaN
602425033,79,88,80,91,NaN,90,NaN,85,NaN,79,88,NaN,NaN,NaN,NaN,91,NaN,87,NaN,NaN,NaN,NaN,92,NaN,95,NaN,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425034,79,88,96,99,NaN,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,93,NaN,99,85,NaN,84,90,NaN,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425035,79,90,97,NaN,NaN,78,NaN,85,NaN,79,88,93,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,87,91,NaN,NaN,77,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425037,79,88,64,99,NaN,NaN,NaN,NaN,NaN,79,88,NaN,NaN,70,NaN,80,NaN,78,NaN,NaN,NaN,NaN,77,88,93,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,91,89,87,85,NaN,NaN,NaN,NaN
602425039,79,88,78,84,NaN,84,NaN,NaN,83,79,88,NaN,NaN,NaN,NaN,97,NaN,89,NaN,NaN,NaN,NaN,92,NaN,67,NaN,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,NaN
602425041,79,88,71,NaN,NaN,NaN,60,85,NaN,79,88,NaN,NaN,NaN,NaN,84,NaN,91,85,87,NaN,NaN,85,NaN,NaN,NaN,NaN,84,84,NaN,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425042,79,88,80,NaN,NaN,79,NaN,95,NaN,79,88,NaN,NaN,NaN,NaN,85,NaN,89,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,78,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,92,NaN,NaN
602425043,79,87,84,NaN,NaN,88,95,NaN,86,79,88,NaN,NaN,NaN,NaN,90,NaN,87,81,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425044,79,87,88,NaN,NaN,78,NaN,NaN,91,79,87,NaN,NaN,NaN,NaN,84,NaN,84,NaN,NaN,NaN,87,87,NaN,NaN,NaN,75,84,86,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425045,79,88,90,NaN,90,91,NaN,NaN,87,79,89,NaN,NaN,NaN,80,89,NaN,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,84,89,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
