id,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255530@陰離子高分子聚合反應@2@1,4255572@精密材料合成@2@1,4255745@生物醫學特論@2@1,4255932@分子螢光學之原理與應用@2@1,4255011@專題討論（一）@1@1,4255062@碩士論文（二）@1@1,4255211@膠體與界面現象@1@1,4255400@高等化工熱力學@1@1,4255510@高分子原理及反應工程@1@1,4255541@高分子流變學@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255724@系統生物學@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255802@材料鑑識@1@1,4255803@材料相平衡@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4257750@化工單元操作應用實務@1@1,4257762@生物精煉與生質能源@1@1,4255041@專題討論（四）@2@1,4255070@碩士論文（三）@2@1,4255130@化工程序最適化@2@1,4255251@奈米製造技術@2@1,4255330@非線性動態學@2@1,4255531@高分子材料合成@2@1,4255542@高分子動態學@2@1,4255740@生物技術@2@1,4255800@無機材料光譜分析@2@1,4255801@材料分析@2@1,4255804@材料鑑識特論@2@1,4255031@專題討論（三）@1@1,4255924@電子構裝@1@1,4257760@光散射之複雜流體分析@1@1,4255570@工業觸媒@2@1,4255803@材料相平衡@2@1,4257761@軟物質材料之多尺度模擬法@2@1
604425009,84,89,82,90,93,NaN,85,88,90,NaN,NaN,86,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,91,NaN,NaN,88,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425010,84,87,95,NaN,87,78,90,93,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,91,77,NaN,94,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604425001,94,89,NaN,NaN,NaN,96,NaN,94,87,NaN,NaN,NaN,NaN,95,95,NaN,NaN,90,NaN,NaN,NaN,NaN,97,NaN,NaN,-1,-1,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
604425002,88,87,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,83,NaN,NaN,88,80,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604425003,95,88,NaN,NaN,99,NaN,NaN,94,88,NaN,NaN,93,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,89,NaN,-1,-1,NaN,99,NaN,98,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425004,94,90,78,NaN,NaN,NaN,NaN,95,88,NaN,NaN,95,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,87,93,NaN,-1,-1,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425005,88,88,77,NaN,93,NaN,NaN,93,88,NaN,NaN,85,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,85,NaN,-1,-1,NaN,95,NaN,87,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604425007,94,87,91,NaN,NaN,NaN,NaN,94,88,89,NaN,NaN,NaN,93,NaN,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,83,NaN,NaN,88,NaN,NaN,88,NaN,NaN,-1,NaN,NaN
604425008,93,88,78,NaN,NaN,NaN,NaN,88,89,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,96,NaN,95,85,NaN,94,NaN,-1,-1,NaN,98,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425011,88,87,86,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,96,NaN,NaN,NaN,NaN,83,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,97,88,NaN,NaN,-1,NaN,NaN
604425012,88,87,NaN,NaN,NaN,87,NaN,88,87,NaN,NaN,NaN,NaN,84,89,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
604425013,94,88,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,98,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604425014,88,88,85,NaN,NaN,NaN,NaN,88,88,NaN,NaN,88,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,89,95,NaN,-1,-1,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425015,88,89,85,NaN,NaN,75,NaN,88,92,88,NaN,NaN,NaN,83,NaN,NaN,89,87,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425018,88,86,NaN,NaN,85,NaN,87,88,88,NaN,NaN,NaN,NaN,85,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,81,NaN,-1,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425020,88,89,90,NaN,NaN,NaN,NaN,88,89,NaN,NaN,90,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,85,98,NaN,-1,-1,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425024,88,88,73,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,84,70,90,NaN,85,NaN,NaN,70,NaN,NaN,84,NaN,-1,-1,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604425025,94,88,86,NaN,91,NaN,NaN,93,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,82,NaN,NaN,81,NaN,-1,-1,NaN,96,NaN,84,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425027,93,88,80,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,99,NaN,92,97,NaN,93,NaN,-1,-1,NaN,99,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425029,88,88,78,NaN,NaN,NaN,NaN,88,87,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,92,NaN,94,85,NaN,85,NaN,-1,-1,NaN,98,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425030,88,86,75,NaN,NaN,NaN,NaN,88,87,NaN,NaN,82,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,84,90,NaN,-1,-1,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425031,88,90,84,NaN,75,NaN,NaN,88,88,NaN,NaN,87,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,81,82,NaN,-1,-1,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425032,93,88,93,NaN,89,NaN,NaN,93,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,87,NaN,NaN,82,NaN,-1,-1,NaN,86,NaN,92,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425035,88,90,74,NaN,NaN,NaN,NaN,88,88,NaN,NaN,80,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,79,87,NaN,-1,-1,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425036,93,88,73,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,85,80,NaN,NaN,NaN,78,NaN,90,-1,-1,NaN,NaN,NaN,70,NaN,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425038,88,88,91,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,95,NaN,93,85,NaN,91,NaN,-1,-1,NaN,96,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425039,88,88,88,NaN,NaN,70,NaN,88,88,85,NaN,NaN,NaN,83,NaN,NaN,87,84,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425040,88,87,91,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,85,96,NaN,NaN,NaN,NaN,79,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,97,88,NaN,NaN,-1,NaN,NaN
604425041,88,86,88,NaN,NaN,NaN,94,88,90,NaN,NaN,NaN,NaN,85,75,NaN,NaN,NaN,NaN,NaN,79,NaN,88,81,NaN,-1,-1,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425045,88,87,71,NaN,70,NaN,NaN,88,88,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,70,NaN,72,78,NaN,-1,-1,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425046,93,88,88,NaN,NaN,NaN,NaN,88,88,NaN,96,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,86,NaN,-1,-1,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,93,NaN,90,NaN,NaN,-1
604425047,88,87,95,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,96,NaN,NaN,NaN,NaN,80,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,97,88,NaN,NaN,-1,NaN,NaN
604425048,93,89,86,NaN,NaN,NaN,NaN,94,88,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,89,NaN,NaN,90,NaN,-1,-1,NaN,99,NaN,NaN,NaN,NaN,NaN,93,NaN,88,82,NaN,NaN,NaN,NaN
604425051,88,87,82,NaN,NaN,NaN,NaN,88,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,77,NaN,NaN,82,NaN,-1,-1,NaN,92,NaN,NaN,NaN,NaN,NaN,93,NaN,88,80,NaN,NaN,NaN,NaN
604425052,88,90,81,NaN,78,NaN,NaN,88,89,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,89,NaN,79,85,NaN,-1,-1,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425054,88,88,83,NaN,NaN,NaN,NaN,95,88,88,NaN,NaN,NaN,83,70,NaN,88,NaN,NaN,NaN,78,NaN,NaN,84,NaN,-1,-1,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425055,88,87,81,NaN,NaN,80,NaN,88,87,NaN,NaN,NaN,NaN,84,92,NaN,NaN,87,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425056,93,88,70,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,83,80,NaN,NaN,NaN,83,NaN,88,-1,-1,NaN,NaN,NaN,75,NaN,83,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425057,88,88,92,NaN,NaN,NaN,NaN,88,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,87,NaN,NaN,90,NaN,-1,-1,NaN,95,NaN,NaN,NaN,NaN,NaN,80,NaN,86,76,NaN,NaN,NaN,NaN
604425058,88,88,91,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,85,80,NaN,NaN,NaN,80,NaN,88,-1,-1,NaN,NaN,NaN,76,NaN,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425059,88,87,73,NaN,76,NaN,NaN,88,92,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,94,NaN,78,80,NaN,-1,-1,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
604425060,-1,-1,-1,NaN,NaN,NaN,-1,88,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1
604425061,-1,-1,-1,NaN,NaN,NaN,NaN,88,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,-1,NaN
