id,4255011@專題討論（一）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255531@高分子材料合成@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255725@代謝工程學@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255760@蛋白體學原理與應用@1@1,4255802@材料鑑識@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4257740@材料分析@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255250@粉粒體技術@2@1,4255251@奈米製造技術@2@1,4255330@非線性動態學@2@1,4255530@陰離子高分子聚合反應@2@1,4255570@工業觸媒@2@1,4255572@精密材料合成@2@1,4255723@電腦在生化系統之應用@2@1,4255740@生物技術@2@1,4255745@生物醫學特論@2@1,4255804@材料鑑識特論@2@1,4255924@電子構裝@2@1,4255932@分子螢光學之原理與應用@2@1,4257761@軟物質材料之多尺度模擬法@2@1,4255031@專題討論（三）@1@1,4255062@碩士論文（二）@1@1,4255510@高分子原理及反應工程@1@1,4255541@高分子流變學@1@1,4255803@材料相平衡@1@1,4255041@專題討論（四）@2@1,4255070@碩士論文（三）@2@1,4255130@化工程序最適化@2@1,4255542@高分子動態學@2@1,4255800@無機材料光譜分析@2@1
603425001,84,NaN,NaN,NaN,96,85,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,90,NaN,89,89,NaN,NaN,99,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,94,90,NaN,NaN,NaN
603425002,84,NaN,NaN,NaN,93,85,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,85,NaN,84,87,88,NaN,95,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,89,NaN,NaN,NaN,88,89,NaN,NaN,NaN
603425003,84,NaN,NaN,NaN,91,87,82,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,NaN,NaN,NaN,NaN,NaN,NaN,95,90,NaN,94,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,93,88,NaN,NaN,NaN
603425004,89,86,90,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,88,NaN,89,88,91,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,88,88,NaN,NaN,87
603425005,84,NaN,NaN,NaN,96,96,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,87,98,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425007,84,NaN,NaN,NaN,94,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,84,87,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425008,84,NaN,NaN,NaN,87,86,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,94,NaN,85,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,89,NaN,93,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425010,84,NaN,NaN,NaN,78,84,NaN,NaN,NaN,NaN,NaN,NaN,91,88,NaN,NaN,85,NaN,84,88,81,NaN,83,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,80,NaN,NaN,NaN,88,70,NaN,NaN,NaN
603425011,91,NaN,NaN,NaN,98,95,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,95,NaN,NaN,NaN,90,88,NaN,NaN,98,NaN,90,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,93,88,NaN,NaN,NaN
603425013,89,90,NaN,NaN,NaN,83,70,NaN,89,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,95,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,78,NaN,NaN,NaN,NaN,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603425014,84,NaN,NaN,NaN,82,84,NaN,NaN,NaN,NaN,NaN,NaN,93,88,NaN,NaN,89,NaN,84,88,70,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,88,90,NaN,NaN,NaN
603425015,84,NaN,NaN,NaN,89,93,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,89,NaN,84,88,77,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,88,88,NaN,NaN,NaN,93,88,NaN,NaN,87
603425017,84,NaN,NaN,NaN,90,87,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,86,89,NaN,NaN,NaN,NaN,NaN,94,86,NaN,92,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,88,NaN,NaN
