id,4301002@計算機概論@1@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303013@電腦網路導論@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1,4303043@電力電子導論@1@1,4303044@影像處理導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1
401430001,64,NaN,81,53,NaN,90,23,NaN,48,NaN,NaN,70,NaN,NaN,48,NaN,8,81,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401430003,62,NaN,77,NaN,75,90,91,NaN,60,NaN,NaN,NaN,74,NaN,98,NaN,90,77,98,51,65,91,82,NaN,91,NaN,95,95,NaN,82,88,NaN,95,NaN,NaN,78,NaN,98,92,93,NaN,100,NaN,85,NaN,NaN,NaN,NaN,80,85,NaN,92,NaN,NaN,NaN,88,NaN,94,NaN,NaN,NaN,94,NaN
401430004,70,NaN,68,64,32,NaN,67,NaN,60,NaN,NaN,84,NaN,90,61,60,30,79,68,NaN,70,NaN,36,62,71,NaN,62,60,NaN,87,66,NaN,55,71,60,75,76,65,NaN,NaN,70,NaN,63,61,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,80,NaN,NaN,80,NaN,NaN,93
401430007,60,27,75,61,34,90,60,53,66,NaN,NaN,NaN,65,NaN,63,64,40,75,70,NaN,9,68,46,53,NaN,75,79,72,NaN,81,73,NaN,80,NaN,NaN,71,84,82,63,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,81,80,93,NaN,NaN,NaN,90,NaN,85,NaN,75,NaN,NaN,NaN
401430011,52,62,74,68,56,90,60,60,NaN,72,NaN,26,NaN,NaN,50,16,78,79,60,NaN,NaN,NaN,NaN,60,NaN,NaN,73,NaN,NaN,NaN,70,NaN,NaN,NaN,60,69,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,8,87,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401430013,60,NaN,72,NaN,64,90,60,NaN,72,NaN,NaN,NaN,78,NaN,69,62,NaN,73,68,63,NaN,89,62,82,NaN,67,62,48,NaN,90,63,44,86,NaN,NaN,73,81,61,NaN,64,71,69,NaN,65,NaN,NaN,NaN,73,NaN,60,89,NaN,NaN,84,NaN,NaN,NaN,69,NaN,NaN,89,NaN,NaN
401430014,51,71,82,60,NaN,NaN,61,NaN,60,NaN,NaN,NaN,76,90,70,NaN,50,77,62,NaN,78,89,69,89,74,NaN,NaN,40,NaN,83,70,NaN,83,NaN,NaN,77,NaN,89,NaN,NaN,NaN,NaN,62,78,81,NaN,NaN,67,NaN,77,89,NaN,NaN,84,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN
401430016,85,NaN,85,NaN,99,NaN,94,NaN,88,NaN,NaN,NaN,94,90,98,91,NaN,95,94,86,NaN,95,92,94,99,NaN,NaN,89,NaN,95,91,98,96,NaN,NaN,82,NaN,98,NaN,100,95,NaN,94,86,83,NaN,NaN,75,NaN,67,NaN,NaN,NaN,NaN,81,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401430017,83,NaN,82,NaN,72,90,67,NaN,60,NaN,NaN,78,NaN,NaN,71,NaN,63,80,60,NaN,65,75,61,67,45,NaN,NaN,69,NaN,75,60,NaN,75,NaN,NaN,78,NaN,70,68,NaN,NaN,75,NaN,60,86,NaN,NaN,NaN,65,44,NaN,NaN,NaN,NaN,NaN,90,NaN,69,NaN,NaN,NaN,NaN,NaN
401430018,60,NaN,75,61,39,NaN,68,NaN,60,NaN,NaN,81,NaN,90,61,NaN,50,74,62,NaN,61,68,60,NaN,47,NaN,NaN,72,NaN,78,60,NaN,91,NaN,60,84,NaN,69,64,NaN,NaN,82,NaN,64,87,NaN,NaN,NaN,76,42,NaN,92,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,94,NaN
401430019,60,NaN,78,61,NaN,90,64,NaN,60,NaN,NaN,80,NaN,NaN,72,NaN,65,69,66,NaN,63,88,64,60,68,NaN,NaN,70,NaN,75,65,61,86,NaN,NaN,80,81,76,NaN,74,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,62,89,NaN,NaN,83,NaN,NaN,NaN,68,NaN,NaN,88,NaN,NaN
401430020,49,66,79,62,41,NaN,60,NaN,63,NaN,NaN,73,NaN,90,66,NaN,65,80,72,NaN,63,69,60,61,64,NaN,NaN,66,NaN,75,63,68,82,NaN,NaN,80,81,80,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,72,88,NaN,NaN,81,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
401430021,63,NaN,85,66,NaN,90,62,44,73,81,NaN,NaN,NaN,NaN,73,60,NaN,87,80,70,NaN,88,67,78,70,NaN,75,49,NaN,93,74,58,84,NaN,NaN,76,80,81,NaN,82,NaN,89,NaN,75,NaN,NaN,NaN,NaN,NaN,75,88,NaN,NaN,82,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN
401430023,67,NaN,77,63,NaN,90,77,NaN,60,NaN,NaN,81,NaN,NaN,64,NaN,75,79,80,NaN,60,86,77,81,70,NaN,NaN,72,NaN,83,72,63,87,NaN,NaN,72,76,87,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,82,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN
401430024,72,NaN,78,NaN,62,NaN,75,NaN,76,NaN,NaN,NaN,88,90,84,62,NaN,72,78,NaN,80,88,68,65,NaN,66,97,67,NaN,84,68,63,74,NaN,63,77,87,80,NaN,76,74,NaN,71,71,NaN,NaN,NaN,73,NaN,63,NaN,NaN,NaN,NaN,72,NaN,90,83,NaN,NaN,NaN,NaN,NaN
401430028,76,NaN,91,66,NaN,NaN,67,62,NaN,94,NaN,NaN,NaN,90,77,70,NaN,98,82,75,NaN,91,84,95,NaN,88,NaN,84,NaN,96,69,78,94,NaN,76,87,NaN,85,NaN,80,85,NaN,84,85,98,NaN,NaN,82,NaN,76,NaN,NaN,93,NaN,88,NaN,90,93,NaN,NaN,NaN,NaN,92
