id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1
405430001,71,79,NaN,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430002,68,80,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
405430003,65,79,67,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430004,60,79,NaN,77,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430005,65,79,NaN,NaN,95,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
405430006,74,96,NaN,90,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430007,61,62,52,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430008,76,79,NaN,78,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430009,77,87,64,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430010,80,89,78,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430011,43,78,63,NaN,95,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405430012,60,82,62,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430013,47,79,42,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430014,21,85,58,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430016,60,77,65,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
405430017,62,82,NaN,73,95,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
405430018,76,76,81,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430019,62,76,76,NaN,95,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405430020,62,79,NaN,43,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430022,74,74,63,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
405430023,60,79,58,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430025,71,90,70,NaN,95,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
405430026,54,79,69,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
405430028,76,92,93,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430029,65,94,61,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430031,69,86,69,NaN,95,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405430032,43,78,23,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
405430033,49,64,15,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405430034,74,85,72,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430035,43,77,53,NaN,95,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
405430036,73,85,77,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430037,65,84,NaN,91,95,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405430038,44,77,NaN,56,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430039,47,76,NaN,32,95,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405430040,53,74,49,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1
405430041,60,84,NaN,NaN,95,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
405430042,50,89,60,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1
405430044,65,79,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430045,70,84,NaN,67,95,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
405430046,68,84,80,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430047,62,75,NaN,60,95,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405430048,93,91,90,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1
405430049,59,85,NaN,72,95,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
