id,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303033@電磁科技導論@1@1,4304004@工程倫理@1@1,4304007@智慧型手機程式設計@1@1,4301001@線性代數@2@2,4301003@程式設計@2@1,4301003@程式設計@2@2,4302010@訊號與系統@2@1,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4301002@計算機概論@1@1,4301005@邏輯設計@1@2,4303034@通訊工程導論@1@1,4303035@演算法導論@1@1,4303036@半導體物理導論@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1,4302019@再生能源導論@2@1,4304004@工程倫理@2@1,4304002@通訊系統專題（二）@1@1,4303039@電機機械@1@1,4303038@數位訊號處理導論@2@1,4302005@資料結構@2@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301007@通訊工程導論@1@1,4301001@線性代數@2@1,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4302003@電工實驗（一）@1@1,4302013@電工實驗（二）@2@1,4302016@計算機組織@2@2
498430051,69,NaN,66,51,NaN,71,94,71,80,NaN,82,NaN,NaN,NaN,NaN,86,40,NaN,60,79,NaN,83,63,NaN,NaN,87,NaN,NaN,75,94,NaN,NaN,89,NaN,NaN,NaN,72,NaN,79,NaN,NaN,NaN,NaN,NaN,87,90,NaN,NaN,NaN,NaN,80,70,NaN,51,NaN,77,NaN,NaN,NaN
498430025,76,76,55,60,72,NaN,NaN,NaN,84,68,78,55,NaN,NaN,94,NaN,NaN,63,61,60,72,NaN,66,NaN,NaN,60,NaN,NaN,71,88,NaN,NaN,87,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,91,74,65,73,NaN,73,74,82,68
498430028,66,73,55,78,65,NaN,88,NaN,68,78,65,NaN,NaN,NaN,95,70,60,NaN,60,60,69,NaN,55,NaN,NaN,60,NaN,88,72,NaN,93,NaN,NaN,NaN,89,NaN,77,56,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,92,75,82,46,99,NaN,84,88,61
498430030,67,60,48,63,NaN,4,NaN,NaN,85,75,66,46,NaN,79,NaN,NaN,53,-1,63,63,73,NaN,48,NaN,76,NaN,-1,NaN,-1,80,NaN,NaN,85,NaN,NaN,NaN,53,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,33,78,66,79,60,69,NaN,69,75,23
498430001,64,48,76,53,NaN,60,NaN,NaN,79,77,72,NaN,NaN,75,92,NaN,42,64,71,72,41,71,50,NaN,NaN,60,NaN,NaN,63,85,NaN,NaN,87,NaN,NaN,NaN,65,37,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,38,86,61,74,62,63,NaN,81,82,NaN
498430009,76,NaN,54,70,NaN,76,NaN,NaN,78,NaN,80,85,NaN,67,94,91,NaN,70,48,53,72,NaN,36,66,65,46,70,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,87,65,47,NaN,69,80,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,70,73,37,NaN,81,87,89,NaN
498430011,77,NaN,54,82,NaN,74,95,60,82,85,72,74,NaN,84,NaN,NaN,67,NaN,64,71,NaN,75,73,NaN,80,NaN,NaN,NaN,93,96,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,94,67,76,64,96,NaN,84,90,64
498430012,61,NaN,40,72,62,NaN,NaN,NaN,81,NaN,60,63,NaN,52,NaN,67,NaN,60,60,69,64,NaN,60,51,67,51,NaN,NaN,83,NaN,NaN,NaN,NaN,73,NaN,90,71,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42,80,56,64,51,NaN,61,76,78,NaN
498430019,67,38,78,55,NaN,61,95,NaN,70,80,61,NaN,70,NaN,95,NaN,65,NaN,60,60,60,43,72,42,68,NaN,NaN,61,49,NaN,90,NaN,NaN,NaN,86,NaN,77,63,NaN,NaN,70,87,NaN,NaN,76,NaN,63,NaN,NaN,NaN,92,NaN,70,61,90,NaN,88,84,48
498430022,67,34,76,63,NaN,73,95,44,78,NaN,78,72,84,NaN,95,82,NaN,62,65,71,NaN,68,63,NaN,70,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,78,NaN,90,84,NaN,NaN,74,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,64,77,37,NaN,62,90,86,64
