id,4301002@計算機概論@1@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4304004@工程倫理@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4302005@資料結構@2@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302016@計算機組織@2@2,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303039@電機機械@1@1,4303042@數據通訊@1@1,4303043@電力電子導論@1@1,4303044@影像處理導論@1@1,4304004@工程倫理@1@1,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1,4303040@電力系統@2@1,4303035@演算法導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1
402430001,73,NaN,63,NaN,64,88,15,NaN,61,NaN,80,NaN,NaN,NaN,NaN,26,NaN,41,85,NaN,47,41,NaN,NaN,NaN,NaN,27,NaN,NaN,NaN,68,20,17,60,77,NaN,60,63,70,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,83,65,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
402430003,47,NaN,79,NaN,53,88,30,60,NaN,NaN,NaN,65,NaN,NaN,NaN,35,NaN,NaN,33,35,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,20,NaN,NaN,51,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430004,63,NaN,68,NaN,83,NaN,60,NaN,60,NaN,76,NaN,NaN,90,NaN,76,NaN,71,76,60,NaN,64,87,62,NaN,83,NaN,75,69,NaN,81,83,NaN,NaN,86,NaN,NaN,71,90,NaN,87,65,NaN,NaN,NaN,73,83,NaN,NaN,NaN,NaN,76,89,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430006,68,NaN,68,NaN,65,NaN,60,74,NaN,63,NaN,NaN,NaN,90,NaN,73,NaN,61,76,60,NaN,63,NaN,NaN,NaN,64,NaN,80,71,NaN,71,69,NaN,NaN,92,NaN,72,76,66,NaN,NaN,70,NaN,98,NaN,NaN,77,NaN,76,-1,NaN,82,89,NaN,NaN,87,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN
402430008,89,NaN,70,NaN,69,NaN,62,NaN,65,NaN,NaN,NaN,78,90,85,81,NaN,60,68,73,68,40,86,62,NaN,NaN,73,76,78,NaN,85,64,NaN,NaN,84,NaN,NaN,75,79,71,NaN,NaN,NaN,95,NaN,84,NaN,NaN,NaN,NaN,82,NaN,NaN,97,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,98,NaN
402430009,80,NaN,83,60,NaN,88,60,NaN,70,NaN,78,NaN,NaN,NaN,84,79,NaN,60,78,75,NaN,NaN,88,65,NaN,66,NaN,NaN,68,NaN,66,76,79,NaN,87,NaN,78,78,76,NaN,NaN,78,NaN,NaN,NaN,81,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,90,NaN,NaN,88,NaN,NaN,90
402430011,78,NaN,70,NaN,67,88,60,60,NaN,NaN,NaN,64,NaN,NaN,NaN,78,NaN,NaN,68,62,NaN,60,88,64,NaN,63,NaN,66,71,NaN,80,60,75,NaN,86,NaN,66,74,73,NaN,63,60,NaN,NaN,NaN,69,54,NaN,NaN,65,NaN,-1,NaN,NaN,81,NaN,69,NaN,67,77,NaN,66,NaN,NaN,70
402430014,73,NaN,68,NaN,66,NaN,65,60,NaN,63,NaN,NaN,NaN,90,NaN,65,NaN,60,67,71,NaN,77,NaN,NaN,NaN,67,NaN,NaN,65,NaN,68,68,62,NaN,68,NaN,NaN,72,40,NaN,NaN,NaN,NaN,78,NaN,81,67,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,90,NaN,NaN,66,NaN,NaN,NaN
402430015,73,NaN,70,70,NaN,88,75,79,NaN,67,NaN,NaN,NaN,NaN,NaN,69,NaN,60,71,62,75,NaN,77,NaN,NaN,72,NaN,-1,-1,NaN,67,64,NaN,67,75,NaN,61,67,60,NaN,NaN,70,NaN,NaN,NaN,80,NaN,NaN,85,72,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,90,-1,NaN,74,NaN,NaN,90
402430017,70,NaN,78,62,NaN,88,60,NaN,66,NaN,NaN,NaN,69,NaN,NaN,77,NaN,61,72,64,83,NaN,87,60,NaN,60,NaN,NaN,73,NaN,62,61,68,NaN,83,NaN,73,69,72,NaN,NaN,73,NaN,NaN,NaN,74,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,90,NaN,NaN,NaN,NaN,NaN,90
402430018,91,NaN,93,NaN,73,NaN,70,NaN,81,NaN,84,NaN,NaN,90,87,95,NaN,70,89,74,NaN,73,91,73,NaN,70,NaN,83,84,NaN,90,91,87,NaN,89,NaN,81,68,66,NaN,85,67,NaN,98,NaN,84,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,83,NaN,NaN,90
402430019,87,NaN,93,80,58,88,66,NaN,78,NaN,NaN,NaN,82,NaN,87,71,NaN,63,75,80,79,43,74,NaN,NaN,NaN,60,72,63,NaN,87,72,50,76,79,NaN,61,71,66,NaN,NaN,73,NaN,NaN,NaN,82,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88
402430020,78,NaN,88,NaN,60,NaN,60,80,NaN,NaN,NaN,74,NaN,90,-1,65,NaN,65,54,82,NaN,35,NaN,NaN,60,28,76,-1,60,NaN,80,79,71,NaN,84,NaN,67,68,51,NaN,NaN,64,92,NaN,NaN,74,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,90,NaN,NaN,87,NaN,NaN,90
402430022,62,NaN,81,NaN,61,NaN,60,NaN,64,NaN,80,NaN,NaN,90,NaN,69,NaN,60,86,60,56,63,73,41,NaN,68,22,65,NaN,-1,84,60,NaN,NaN,NaN,61,NaN,76,55,61,NaN,NaN,88,94,NaN,NaN,87,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430025,83,NaN,80,NaN,65,88,82,NaN,76,NaN,84,NaN,NaN,NaN,NaN,84,NaN,86,77,79,NaN,64,86,73,NaN,88,NaN,88,74,NaN,84,83,NaN,NaN,93,NaN,NaN,80,98,NaN,100,NaN,NaN,NaN,NaN,85,89,NaN,93,NaN,NaN,97,89,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN
402430026,69,NaN,77,NaN,77,NaN,85,NaN,60,NaN,80,NaN,NaN,100,NaN,89,NaN,61,77,72,NaN,71,88,67,NaN,71,NaN,75,88,50,90,97,NaN,NaN,NaN,NaN,76,71,77,NaN,NaN,82,NaN,NaN,NaN,81,NaN,88,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,96,NaN,NaN,NaN,NaN,NaN,90
402430027,81,NaN,86,NaN,66,88,71,68,NaN,NaN,NaN,74,NaN,NaN,NaN,81,NaN,63,72,71,NaN,68,86,66,NaN,62,NaN,62,60,NaN,83,71,61,NaN,90,NaN,NaN,74,74,71,NaN,NaN,NaN,98,NaN,NaN,82,NaN,NaN,NaN,71,NaN,NaN,97,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,98,NaN
402430029,95,NaN,91,NaN,79,88,83,NaN,77,NaN,88,NaN,NaN,NaN,NaN,87,NaN,62,80,87,NaN,71,85,83,NaN,69,NaN,89,65,NaN,93,74,NaN,80,NaN,NaN,NaN,69,94,NaN,NaN,71,NaN,NaN,NaN,81,84,NaN,91,70,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402430031,67,NaN,82,62,58,88,63,NaN,71,NaN,NaN,NaN,74,NaN,86,68,40,78,73,60,62,NaN,81,NaN,NaN,NaN,60,75,69,NaN,71,62,NaN,61,89,NaN,69,72,60,NaN,NaN,60,NaN,NaN,NaN,NaN,60,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,90,NaN,NaN,72,NaN,NaN,89
402430032,63,NaN,81,70,NaN,NaN,63,37,NaN,65,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430033,67,NaN,83,NaN,66,88,75,NaN,70,NaN,87,NaN,NaN,NaN,NaN,77,60,NaN,76,67,67,46,78,65,NaN,17,-1,64,65,NaN,72,-1,NaN,60,88,NaN,64,65,62,NaN,NaN,48,51,NaN,NaN,67,NaN,NaN,80,61,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,89,NaN,NaN,NaN,NaN,NaN,90
402430034,63,NaN,75,NaN,72,NaN,69,66,NaN,41,NaN,70,NaN,90,NaN,70,NaN,60,69,83,74,42,NaN,NaN,NaN,72,NaN,87,71,NaN,73,60,NaN,NaN,86,NaN,77,80,60,NaN,NaN,NaN,NaN,76,NaN,NaN,77,NaN,NaN,NaN,NaN,71,89,NaN,NaN,74,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN
402430037,72,NaN,68,NaN,64,88,62,70,NaN,60,NaN,NaN,NaN,NaN,NaN,72,NaN,60,66,74,NaN,65,NaN,NaN,NaN,76,NaN,75,68,NaN,72,64,NaN,NaN,86,NaN,74,65,82,NaN,82,69,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,81,91,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430038,84,NaN,86,NaN,65,NaN,72,71,NaN,76,NaN,NaN,NaN,90,-1,68,NaN,60,77,64,70,NaN,73,NaN,NaN,69,NaN,77,70,NaN,74,62,65,NaN,87,NaN,NaN,76,73,NaN,NaN,71,NaN,NaN,NaN,75,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,90,NaN,NaN,83,NaN,NaN,90
402430042,72,NaN,15,NaN,57,NaN,-1,66,NaN,60,NaN,NaN,NaN,90,83,84,NaN,60,NaN,60,NaN,65,NaN,NaN,NaN,30,-1,54,-1,NaN,NaN,54,-1,NaN,NaN,NaN,70,83,40,NaN,NaN,NaN,NaN,64,56,NaN,60,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430043,90,NaN,83,62,NaN,88,61,NaN,62,NaN,NaN,NaN,82,NaN,88,83,NaN,60,76,60,63,NaN,90,48,NaN,NaN,62,70,33,60,73,65,52,-1,77,NaN,64,70,68,NaN,NaN,52,NaN,98,57,NaN,74,NaN,NaN,NaN,NaN,73,91,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430044,64,NaN,67,NaN,65,NaN,61,65,NaN,60,NaN,NaN,NaN,90,NaN,64,NaN,60,62,61,NaN,52,NaN,NaN,-1,82,NaN,75,62,NaN,63,60,NaN,NaN,86,NaN,64,71,79,NaN,NaN,NaN,NaN,89,NaN,65,NaN,NaN,74,-1,NaN,69,90,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430045,85,NaN,82,NaN,79,88,77,NaN,72,NaN,83,NaN,NaN,NaN,93,98,NaN,65,85,67,NaN,78,85,69,NaN,69,NaN,89,65,NaN,76,88,NaN,NaN,NaN,67,NaN,74,95,NaN,88,NaN,84,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,89,89,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN
402430046,68,NaN,83,66,NaN,NaN,80,NaN,77,NaN,85,NaN,NaN,90,88,90,NaN,84,76,83,NaN,67,86,73,NaN,89,NaN,95,95,NaN,94,69,NaN,NaN,92,NaN,72,69,99,89,NaN,NaN,NaN,98,NaN,NaN,99,NaN,NaN,NaN,98,NaN,NaN,97,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,98,NaN
402430047,94,NaN,75,77,NaN,88,60,NaN,73,NaN,75,NaN,NaN,NaN,93,79,NaN,70,71,68,75,NaN,73,64,NaN,73,NaN,79,77,NaN,82,78,NaN,NaN,NaN,72,83,78,84,88,NaN,NaN,NaN,98,NaN,NaN,98,NaN,NaN,NaN,83,NaN,NaN,97,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,98,NaN
402430048,80,NaN,93,NaN,62,NaN,74,NaN,78,NaN,NaN,NaN,86,90,NaN,100,NaN,93,80,90,NaN,78,90,84,NaN,91,NaN,100,84,NaN,87,90,86,NaN,93,NaN,79,74,88,NaN,99,76,NaN,NaN,NaN,87,95,88,91,87,NaN,NaN,NaN,NaN,85,NaN,76,NaN,90,95,NaN,82,NaN,NaN,92
402430005,NaN,8,64,66,NaN,88,60,74,48,NaN,NaN,NaN,61,NaN,80,88,60,NaN,60,68,75,45,78,NaN,NaN,NaN,84,79,74,NaN,68,67,NaN,NaN,91,NaN,NaN,78,66,92,NaN,32,NaN,70,NaN,NaN,63,66,NaN,-1,81,NaN,NaN,97,NaN,NaN,NaN,92,NaN,NaN,50,NaN,NaN,98,NaN
402430007,NaN,54,71,NaN,64,88,69,NaN,73,NaN,NaN,NaN,89,NaN,89,96,NaN,62,70,68,NaN,84,89,61,NaN,78,NaN,NaN,71,NaN,68,79,84,NaN,95,NaN,82,72,78,NaN,NaN,77,NaN,NaN,NaN,86,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,92,NaN,NaN,88,NaN,NaN,NaN
402430010,66,18,55,8,65,NaN,60,62,NaN,30,NaN,68,NaN,NaN,NaN,70,19,60,54,60,NaN,55,NaN,NaN,-1,68,NaN,52,61,NaN,62,-1,NaN,NaN,NaN,NaN,NaN,63,60,NaN,NaN,51,NaN,NaN,NaN,NaN,76,NaN,80,-1,NaN,60,89,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430012,NaN,56,72,NaN,64,NaN,67,NaN,74,NaN,NaN,NaN,70,90,NaN,83,NaN,66,71,60,NaN,60,84,NaN,NaN,82,NaN,68,60,NaN,71,60,NaN,NaN,85,NaN,76,70,64,NaN,69,NaN,NaN,NaN,NaN,NaN,83,NaN,84,-1,NaN,85,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN
402430013,NaN,60,86,NaN,66,88,60,NaN,73,NaN,NaN,NaN,80,NaN,87,77,60,NaN,83,63,NaN,60,74,53,NaN,68,NaN,83,60,NaN,79,60,72,NaN,NaN,NaN,62,79,54,67,NaN,NaN,NaN,89,NaN,NaN,69,NaN,NaN,NaN,86,NaN,NaN,97,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,98,NaN
402430016,NaN,49,79,70,NaN,NaN,61,NaN,60,NaN,NaN,NaN,86,90,NaN,60,NaN,63,64,80,65,NaN,75,63,NaN,NaN,63,-1,69,NaN,74,-1,NaN,NaN,89,NaN,NaN,70,66,NaN,NaN,55,66,NaN,NaN,68,79,NaN,80,68,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
402430021,NaN,70,75,NaN,51,88,70,73,NaN,79,NaN,NaN,NaN,NaN,NaN,67,NaN,62,77,68,NaN,72,62,NaN,NaN,75,NaN,65,69,NaN,70,69,NaN,NaN,81,NaN,NaN,80,76,NaN,NaN,79,NaN,NaN,NaN,81,NaN,NaN,80,70,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,-1,78,NaN,NaN,NaN
402430023,81,21,61,NaN,69,88,61,-1,NaN,30,NaN,72,NaN,NaN,NaN,73,NaN,60,66,75,NaN,NaN,NaN,NaN,-1,60,NaN,65,60,NaN,62,82,NaN,NaN,71,NaN,65,69,63,NaN,NaN,63,NaN,NaN,NaN,NaN,77,NaN,80,-1,NaN,69,89,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430024,NaN,70,16,91,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,90,75,80,69,NaN,NaN,76,54,62,62,62,NaN,-1,40,-1,-1,50,NaN,53,76,NaN,NaN,74,67,78,NaN,60,NaN,NaN,NaN,81,NaN,NaN,73,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402430028,NaN,83,70,NaN,87,NaN,69,NaN,78,NaN,NaN,NaN,90,90,86,81,45,81,78,60,95,51,77,68,NaN,60,NaN,91,65,NaN,77,86,84,NaN,88,NaN,69,74,53,NaN,NaN,54,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86
402430030,NaN,72,82,NaN,79,NaN,73,82,NaN,NaN,NaN,60,NaN,90,NaN,77,NaN,60,87,75,69,NaN,84,65,NaN,70,NaN,69,NaN,60,93,60,62,NaN,87,NaN,NaN,73,62,NaN,NaN,77,NaN,NaN,NaN,84,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,91,NaN,NaN,63,NaN,NaN,90
402430035,NaN,74,70,53,51,88,60,NaN,66,NaN,90,NaN,NaN,NaN,NaN,61,NaN,60,68,60,NaN,77,67,NaN,NaN,68,NaN,NaN,60,NaN,81,66,62,NaN,79,NaN,65,71,70,NaN,NaN,81,NaN,NaN,NaN,81,NaN,NaN,76,72,NaN,-1,NaN,NaN,NaN,NaN,86,NaN,90,NaN,-1,84,NaN,NaN,NaN
