id,4415001@專題討論@1@1,4415035@精密機械設計@1@1,4415036@新式節能材料在光電產業的應用@1@1,4415057@色彩工程學@1@1,4415082@石墨烯製程、檢測及應用@1@1,4415085@前瞻綠能與環保科技導論@1@1,4415091@平面顯示器@1@1,4415092@光機電材料@1@1,4415093@光電元件物理（一）@1@1,4415095@奈米元件製程與檢測@1@1,4415096@寬能隙半導體@1@1,4415100@光機電整合工程導論@1@1,4415001@專題討論@2@1,4415015@光電工程實驗@2@1,4415018@有機電激發光元件及顯示器@2@1,4415038@奈米光電@2@1,4415042@光電材料分析技術@2@1,4415044@奈米製程與檢測實驗@2@1,4415066@新能源技術與節能減碳應用@2@1,4415078@固態物理導論@2@1,4415088@光電子學@2@1,4415098@光機系統設計@2@1,4415099@奈米科技專論@2@1,4415102@科學研究概論@2@1,4415103@智慧材料與智慧元件概論@2@1,4415005@光電子學（一）@1@1,4415062@非線性光學@1@1,4415102@科學研究概論@1@1,4415104@自動化光學檢測技術與實作@1@1,4415087@高科技專利取得與攻防@2@1
604441005,83,76,NaN,95,NaN,NaN,NaN,NaN,NaN,87,NaN,98,-1,80,NaN,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN
604441006,87,81,NaN,93,NaN,NaN,NaN,NaN,NaN,89,NaN,96,-1,90,NaN,NaN,NaN,NaN,NaN,NaN,92,85,NaN,NaN,NaN,NaN,NaN,NaN,85,-1
604441007,88,NaN,NaN,NaN,93,NaN,NaN,NaN,93,93,93,83,-1,79,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,95,98,NaN,NaN,NaN,NaN,NaN,NaN
604441008,82,NaN,NaN,NaN,93,NaN,NaN,NaN,88,97,94,88,-1,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,93,NaN,NaN,NaN,NaN,NaN,NaN
604441009,82,NaN,NaN,NaN,83,NaN,NaN,95,93,85,NaN,86,-1,91,NaN,NaN,NaN,NaN,NaN,90,NaN,77,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
604441014,99,NaN,NaN,NaN,95,NaN,NaN,95,96,92,NaN,93,-1,70,NaN,NaN,NaN,84,NaN,90,80,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
604441018,86,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,88,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN
604441024,96,NaN,NaN,NaN,91,NaN,NaN,92,92,93,NaN,91,-1,88,NaN,NaN,NaN,NaN,NaN,90,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
604441025,84,NaN,NaN,NaN,94,NaN,NaN,NaN,94,98,95,85,-1,95,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,93,86,NaN,NaN,NaN,NaN,NaN,NaN
604441028,94,NaN,NaN,80,NaN,NaN,NaN,87,NaN,65,NaN,85,-1,98,NaN,83,NaN,73,NaN,70,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604441029,92,NaN,NaN,NaN,83,NaN,NaN,NaN,87,90,91,81,-1,91,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,91,88,NaN,NaN,NaN,NaN,NaN,NaN
604441030,91,72,NaN,83,NaN,NaN,NaN,NaN,NaN,84,NaN,93,-1,78,NaN,NaN,NaN,NaN,NaN,NaN,93,89,NaN,NaN,NaN,NaN,NaN,NaN,84,-1
604441031,89,NaN,89,NaN,NaN,92,85,92,NaN,NaN,NaN,75,-1,89,88,NaN,NaN,NaN,90,NaN,NaN,68,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
604441033,88,80,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,93,-1,70,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN
604441035,89,NaN,91,NaN,NaN,91,89,92,NaN,NaN,NaN,79,-1,80,94,NaN,NaN,NaN,96,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604441036,89,NaN,90,NaN,NaN,94,NaN,90,NaN,NaN,NaN,80,-1,90,91,NaN,NaN,NaN,92,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604441037,97,77,NaN,91,NaN,NaN,NaN,NaN,NaN,93,NaN,98,-1,70,NaN,NaN,NaN,NaN,NaN,NaN,92,89,NaN,NaN,NaN,NaN,NaN,NaN,86,-1
604441040,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,74,-1,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604441041,89,NaN,NaN,NaN,80,NaN,95,95,79,NaN,NaN,86,-1,70,NaN,NaN,93,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
604441042,86,NaN,92,NaN,NaN,NaN,85,90,NaN,NaN,NaN,75,-1,70,86,NaN,NaN,NaN,88,NaN,NaN,65,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
604441043,93,NaN,NaN,NaN,NaN,NaN,95,95,84,NaN,NaN,89,-1,70,NaN,NaN,93,NaN,NaN,NaN,83,62,NaN,NaN,90,NaN,NaN,90,NaN,NaN
604441044,91,NaN,NaN,NaN,NaN,NaN,95,95,77,NaN,NaN,89,-1,84,NaN,NaN,93,NaN,NaN,NaN,78,57,NaN,NaN,95,NaN,NaN,90,NaN,NaN
604441045,98,NaN,NaN,NaN,86,NaN,95,95,NaN,NaN,NaN,92,-1,88,NaN,NaN,93,76,NaN,NaN,81,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604441046,92,NaN,NaN,NaN,84,NaN,95,95,NaN,NaN,NaN,93,-1,86,NaN,NaN,93,NaN,NaN,NaN,88,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
604441047,87,78,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,95,-1,80,NaN,NaN,NaN,NaN,NaN,NaN,87,80,NaN,NaN,NaN,NaN,NaN,NaN,87,-1
604441048,95,NaN,NaN,NaN,82,86,NaN,95,85,83,NaN,82,-1,70,NaN,NaN,NaN,NaN,NaN,85,79,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
