id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103600@發展經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@3,5101003@基礎個體經濟學@1@1,5102360@數理經濟學@1@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5104811@國際經濟組織（一）@1@1,5103105@生產經濟學@2@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103370@國際貨幣制度@2@1,5103404@外人投資@2@1,5103604@公共經濟學@2@1,5104710@國際貿易實務@2@1,5103401@國際貿易理論與政策（一）@1@2,5104920@經濟政策@1@1,5103308@高等統計學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104102@總體經濟理論應用@2@1,5103366@賽局理論（二）@2@1
400510001,86,NaN,85,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510005,72,NaN,NaN,90,73,NaN,NaN,NaN,35,68,60,NaN,NaN,60,80,65,NaN,60,72,NaN,67,NaN,86,NaN,63,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,74,67,74,58,NaN,NaN,NaN,NaN,66,76,NaN,75,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510009,84,NaN,NaN,92,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,32,NaN,NaN,30,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510011,73,NaN,85,NaN,84,NaN,NaN,NaN,NaN,75,78,NaN,83,NaN,NaN,NaN,NaN,85,92,NaN,81,NaN,78,76,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,72,NaN,82,NaN,NaN,76,75,NaN,84,NaN,75,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN
400510014,87,NaN,NaN,NaN,74,NaN,90,NaN,NaN,87,66,NaN,NaN,80,NaN,NaN,NaN,85,NaN,67,NaN,NaN,72,NaN,74,78,NaN,NaN,NaN,NaN,NaN,93,94,NaN,82,87,86,NaN,68,NaN,75,96,NaN,NaN,87,NaN,90,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN
400510015,84,NaN,85,NaN,96,NaN,NaN,NaN,78,NaN,78,NaN,NaN,66,99,77,84,NaN,NaN,88,NaN,NaN,86,NaN,88,85,98,NaN,89,NaN,NaN,NaN,NaN,NaN,92,NaN,93,82,NaN,NaN,88,NaN,NaN,NaN,95,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN
400510017,68,NaN,85,NaN,68,NaN,NaN,NaN,NaN,65,62,NaN,80,NaN,76,NaN,NaN,62,75,NaN,72,NaN,63,71,NaN,69,NaN,NaN,63,NaN,NaN,60,NaN,NaN,62,33,68,NaN,80,NaN,NaN,NaN,70,NaN,62,NaN,85,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510018,73,NaN,NaN,NaN,67,NaN,90,NaN,NaN,70,70,NaN,NaN,67,78,84,NaN,80,87,80,NaN,NaN,80,NaN,82,92,NaN,NaN,73,NaN,NaN,61,NaN,NaN,70,72,70,NaN,75,NaN,NaN,NaN,NaN,73,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510019,80,NaN,88,NaN,81,NaN,NaN,NaN,NaN,78,64,NaN,NaN,70,75,NaN,NaN,85,91,72,NaN,NaN,78,NaN,76,73,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,71,70,73,NaN,74,NaN,NaN,NaN,NaN,80,90,NaN,80,NaN,74,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510020,88,NaN,NaN,NaN,78,NaN,90,NaN,NaN,86,70,NaN,89,NaN,96,NaN,66,NaN,NaN,72,NaN,60,NaN,84,NaN,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,81,NaN,77,NaN,NaN,NaN,84,NaN,90,NaN,NaN,NaN,89,95,NaN,94,NaN,NaN,80,NaN,NaN
400510021,79,NaN,88,NaN,86,NaN,NaN,NaN,74,NaN,77,NaN,90,NaN,NaN,NaN,91,NaN,NaN,88,NaN,NaN,89,89,NaN,80,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,87,NaN,87,80,NaN,84,77,NaN,NaN,NaN,89,NaN,77,NaN,78,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510022,86,NaN,NaN,NaN,86,NaN,NaN,90,72,NaN,84,NaN,NaN,75,NaN,95,66,NaN,NaN,88,NaN,66,NaN,NaN,81,90,93,NaN,73,NaN,NaN,NaN,NaN,80,NaN,NaN,81,NaN,83,NaN,91,NaN,74,NaN,78,NaN,99,NaN,NaN,73,NaN,90,NaN,NaN,81,NaN,NaN
400510023,69,NaN,NaN,91,72,NaN,NaN,NaN,NaN,68,70,NaN,NaN,71,NaN,NaN,NaN,68,88,77,NaN,NaN,62,NaN,76,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,80,75,NaN,62,NaN,73,92,95,NaN,87,NaN,84,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510025,90,NaN,86,NaN,90,NaN,NaN,NaN,80,NaN,78,NaN,NaN,83,NaN,NaN,87,NaN,NaN,82,NaN,NaN,85,NaN,94,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,88,84,61,NaN,82,91,NaN,NaN,NaN,95,NaN,97,NaN,NaN,NaN,NaN,84,NaN,87,NaN,NaN,NaN
400510027,94,NaN,NaN,92,91,NaN,NaN,NaN,85,NaN,91,NaN,94,NaN,NaN,93,90,NaN,NaN,91,NaN,NaN,77,91,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,86,NaN,91,NaN,86,NaN,94,NaN,NaN,NaN,NaN,NaN,95,NaN,97,NaN,80,74,NaN,82,82,NaN,NaN,NaN,NaN
400510029,92,NaN,85,NaN,91,NaN,NaN,NaN,NaN,91,73,NaN,NaN,80,NaN,94,NaN,98,NaN,79,NaN,NaN,84,NaN,80,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,88,NaN,86,NaN,83,91,NaN,NaN,97,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510031,84,NaN,87,NaN,82,NaN,NaN,NaN,60,NaN,70,NaN,NaN,63,NaN,76,67,NaN,89,62,NaN,NaN,82,NaN,72,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,82,84,NaN,62,NaN,73,NaN,92,NaN,85,NaN,81,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510033,88,NaN,NaN,91,93,NaN,NaN,NaN,72,NaN,75,NaN,NaN,79,NaN,NaN,67,NaN,99,75,NaN,NaN,84,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,82,76,83,NaN,81,NaN,70,89,99,NaN,92,NaN,80,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510035,62,NaN,87,NaN,60,NaN,NaN,NaN,8,77,66,NaN,52,72,NaN,84,52,85,81,60,NaN,65,NaN,NaN,69,82,64,NaN,70,NaN,NaN,NaN,NaN,NaN,75,70,66,76,NaN,NaN,81,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71
400510037,75,NaN,88,NaN,71,NaN,NaN,NaN,44,64,72,NaN,NaN,60,60,NaN,40,75,75,60,NaN,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,44,75,60,NaN,NaN,64,NaN,NaN,NaN,63,NaN,81,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
400510038,81,NaN,NaN,NaN,72,NaN,NaN,90,NaN,65,NaN,60,NaN,63,62,NaN,NaN,65,82,68,58,NaN,68,NaN,60,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,65,71,NaN,65,NaN,73,NaN,80,NaN,66,NaN,74,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510039,74,NaN,85,NaN,89,NaN,NaN,NaN,57,90,68,NaN,NaN,81,NaN,NaN,78,NaN,NaN,76,NaN,NaN,84,NaN,83,84,NaN,NaN,65,NaN,NaN,99,NaN,NaN,67,78,80,NaN,74,NaN,NaN,NaN,NaN,88,60,NaN,87,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510043,89,NaN,NaN,91,86,NaN,NaN,NaN,78,NaN,84,NaN,NaN,85,NaN,NaN,74,NaN,93,78,NaN,NaN,88,NaN,93,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,74,77,61,NaN,85,74,NaN,90,NaN,NaN,NaN,84,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510044,89,NaN,NaN,NaN,97,NaN,NaN,90,83,NaN,88,NaN,NaN,93,NaN,85,90,NaN,91,88,NaN,NaN,77,NaN,88,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,91,83,NaN,84,NaN,76,NaN,NaN,86,93,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510045,63,NaN,NaN,90,63,NaN,NaN,NaN,NaN,64,61,NaN,NaN,60,NaN,88,55,79,77,48,70,NaN,66,NaN,80,62,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,65,68,69,60,49,NaN,69,NaN,80,NaN,NaN,NaN,71,NaN,66,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
400510046,90,NaN,NaN,NaN,92,NaN,90,NaN,NaN,93,84,NaN,90,NaN,NaN,NaN,NaN,93,89,NaN,82,NaN,91,89,NaN,95,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,94,88,NaN,97,NaN,84,NaN,NaN,NaN,85,NaN,71,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510049,89,NaN,NaN,90,89,NaN,NaN,NaN,NaN,93,82,NaN,NaN,94,85,NaN,NaN,95,98,88,NaN,NaN,92,NaN,92,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,80,91,NaN,91,NaN,NaN,NaN,NaN,NaN,88,NaN,74,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510051,88,NaN,NaN,91,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510052,80,NaN,NaN,NaN,86,NaN,NaN,90,61,NaN,73,NaN,NaN,64,NaN,NaN,60,NaN,NaN,75,NaN,68,49,80,25,83,64,NaN,67,NaN,NaN,NaN,NaN,75,NaN,77,76,NaN,83,NaN,77,NaN,NaN,NaN,NaN,73,NaN,97,NaN,82,NaN,NaN,NaN,NaN,NaN,87,NaN
