id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@6,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5101002@經濟學原理（二）@2@4,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1
404510001,78,NaN,NaN,NaN,NaN,NaN,85,60,70,NaN,NaN,NaN,NaN,-1,NaN,64,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510002,88,NaN,NaN,NaN,NaN,NaN,NaN,71,84,NaN,NaN,55,NaN,-1,NaN,75,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510003,78,NaN,NaN,NaN,NaN,NaN,85,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,74,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510007,100,NaN,NaN,NaN,NaN,93,NaN,60,97,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510008,91,NaN,NaN,NaN,NaN,NaN,NaN,69,62,NaN,NaN,80,NaN,-1,NaN,68,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510009,88,NaN,NaN,NaN,NaN,90,NaN,78,78,NaN,NaN,NaN,NaN,-1,NaN,79,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510014,61,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,60,NaN,90,-1,NaN,54,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510015,67,NaN,NaN,NaN,NaN,91,NaN,66,60,NaN,NaN,NaN,NaN,-1,NaN,28,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510017,90,NaN,NaN,NaN,NaN,92,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,70,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510019,86,NaN,NaN,NaN,NaN,93,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,94,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510024,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510026,75,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,47,80,NaN,-1,NaN,53,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510028,58,NaN,NaN,NaN,NaN,NaN,NaN,42,60,NaN,NaN,NaN,90,-1,51,44,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510032,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,90,NaN,NaN,75,NaN,NaN,65,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404510034,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,52,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510035,92,NaN,NaN,NaN,NaN,90,NaN,86,90,NaN,NaN,NaN,NaN,-1,NaN,76,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510036,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,85,NaN,NaN,NaN,87,NaN,NaN,77,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510037,72,NaN,NaN,NaN,NaN,90,NaN,79,68,NaN,NaN,NaN,NaN,-1,NaN,68,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510039,81,NaN,NaN,NaN,NaN,NaN,85,NaN,79,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510040,70,NaN,NaN,NaN,NaN,NaN,NaN,67,65,NaN,NaN,80,NaN,-1,NaN,63,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510045,100,NaN,NaN,NaN,NaN,NaN,85,92,100,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510050,73,NaN,NaN,NaN,NaN,NaN,NaN,65,60,NaN,NaN,NaN,90,-1,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510051,62,NaN,NaN,NaN,NaN,NaN,85,72,52,-1,NaN,NaN,NaN,-1,NaN,66,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510052,83,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,71,NaN,95,-1,NaN,74,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510057,72,NaN,NaN,NaN,NaN,NaN,85,41,52,NaN,NaN,NaN,NaN,-1,NaN,67,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510059,89,NaN,NaN,NaN,NaN,90,NaN,57,76,NaN,NaN,NaN,NaN,-1,NaN,78,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,72,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510064,68,NaN,NaN,NaN,NaN,NaN,NaN,52,65,NaN,NaN,80,NaN,-1,NaN,50,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510065,63,NaN,NaN,NaN,NaN,90,NaN,65,63,NaN,NaN,NaN,NaN,-1,NaN,54,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510071,57,NaN,NaN,NaN,NaN,91,NaN,66,60,NaN,NaN,NaN,NaN,-1,58,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510078,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510082,73,NaN,NaN,NaN,NaN,NaN,NaN,74,73,NaN,NaN,85,NaN,-1,NaN,55,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510085,66,NaN,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,56,NaN,NaN,NaN,61,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510090,93,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,82,NaN,NaN,68,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510091,89,NaN,NaN,NaN,NaN,89,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,77,71,NaN,NaN,NaN,NaN,73,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404510093,75,NaN,NaN,NaN,NaN,92,NaN,NaN,62,NaN,NaN,NaN,NaN,-1,NaN,64,NaN,NaN,60,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
