id,5101001@經濟學原理（一）@1@4,5101001@經濟學原理（一）@1@5,5101001@經濟學原理（一）@1@6,5101002@經濟學原理（二）@2@4,5101002@經濟學原理（二）@2@5,5102101@個體經濟學（一）@1@1,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102301@統計學（一）@1@1,5103620@亞太地區經濟@1@1,5101002@經濟學原理（二）@2@1,5102102@個體經濟學（二）@2@1,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102203@總體經濟學@2@1,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5103160@產業經濟學@2@1
404520002,85,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520006,68,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404520011,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520016,72,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404520021,72,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520026,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520028,71,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404520031,87,NaN,NaN,88,NaN,90,NaN,95,96,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
404520032,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520037,76,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520040,81,NaN,NaN,76,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
404520042,85,NaN,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520043,66,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520048,84,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404520051,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520052,60,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520053,60,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520056,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520059,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520060,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404520064,61,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520065,94,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404520066,84,NaN,NaN,84,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404520067,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
