id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101001@經濟學原理（一）@1@7,5101096@經濟學（一）@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@3,5101002@經濟學原理（二）@2@4,5101002@經濟學原理（二）@2@6,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102302@統計學（二）@2@1
405510001,54,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405510003,62,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510009,68,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510019,93,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510025,68,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510050,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405510051,53,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405510057,70,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510060,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510061,54,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405510071,93,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510072,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510078,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405510080,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510084,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510097,75,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510099,60,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510101,72,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510103,94,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510106,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405510017,NaN,93,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510023,NaN,68,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510039,NaN,70,NaN,NaN,NaN,NaN,NaN,94,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405510045,NaN,77,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510088,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510090,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
405510107,NaN,68,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510053,NaN,NaN,80,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405510004,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
405510016,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510022,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
405510046,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
405510062,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510068,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
405510082,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510002,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510005,NaN,NaN,NaN,NaN,92,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510006,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510007,NaN,NaN,NaN,NaN,98,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510008,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510010,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510011,NaN,NaN,NaN,NaN,79,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510013,NaN,NaN,NaN,NaN,82,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510014,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405510015,NaN,NaN,NaN,NaN,89,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510018,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510020,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510021,NaN,NaN,NaN,NaN,66,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510024,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510026,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510028,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510029,NaN,NaN,NaN,NaN,86,NaN,95,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405510030,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510031,NaN,NaN,NaN,NaN,65,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510032,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510033,NaN,NaN,NaN,NaN,69,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510034,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510036,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510037,NaN,NaN,NaN,NaN,77,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510038,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510040,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510042,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510043,NaN,NaN,NaN,NaN,73,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510044,NaN,NaN,NaN,NaN,74,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510047,NaN,NaN,NaN,NaN,86,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510048,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510049,NaN,NaN,NaN,NaN,97,NaN,87,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405510059,NaN,NaN,NaN,NaN,93,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510063,NaN,NaN,NaN,NaN,78,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510064,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
405510066,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510069,NaN,NaN,NaN,NaN,93,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510073,NaN,NaN,NaN,NaN,51,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405510075,NaN,NaN,NaN,NaN,68,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510076,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405510077,NaN,NaN,NaN,NaN,67,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510079,NaN,NaN,NaN,NaN,73,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405510081,NaN,NaN,NaN,NaN,91,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
