id,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@2,5152100@財務管理（一）@1@3,5152100@財務管理（一）@1@4,5153300@金融市場與機構@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152101@財務管理（二）@2@3,5152101@財務管理（二）@2@4,5153174@企業價值評估@2@1,5154180@國際財務管理@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154661@財務預測@2@1,5151032@初級會計學（一）@1@1,5153300@金融市場與機構@1@2,5154172@財務金融個案研究@1@2,5154313@資本市場與基金組合管理@1@1,5154314@金融風險與金控公司管理@2@1,5154316@銀行管理與金融科技@2@1,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
402515007,80,NaN,NaN,NaN,76,NaN,NaN,68,67,75,77,62,NaN,NaN,83,NaN,NaN,81,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,70,73,NaN,NaN,NaN,NaN,NaN,NaN,77,67,NaN,65,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN
402515009,80,NaN,NaN,NaN,NaN,99,87,NaN,86,90,100,95,NaN,NaN,NaN,99,91,NaN,98,NaN,86,-1,100,NaN,NaN,NaN,90,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,94,NaN,NaN,NaN,NaN,98,NaN,-1,NaN,NaN,NaN
402515011,80,NaN,NaN,NaN,72,NaN,64,NaN,75,84,87,NaN,NaN,80,NaN,83,82,NaN,NaN,77,78,-1,68,80,NaN,NaN,88,71,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,93,NaN,-1,NaN,NaN,NaN
402515013,80,NaN,NaN,NaN,81,NaN,77,NaN,77,88,92,NaN,NaN,NaN,97,NaN,79,NaN,NaN,86,NaN,-1,91,83,NaN,NaN,86,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
402515015,82,NaN,NaN,NaN,84,NaN,81,NaN,82,96,95,NaN,NaN,NaN,80,NaN,82,NaN,89,NaN,NaN,95,NaN,93,NaN,NaN,90,89,90,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN
402515017,80,NaN,NaN,NaN,76,NaN,70,NaN,65,77,70,NaN,NaN,65,66,NaN,74,NaN,78,NaN,100,72,63,NaN,NaN,NaN,87,73,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,70,76,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
402515019,80,NaN,NaN,NaN,98,NaN,82,NaN,67,88,84,NaN,NaN,NaN,88,NaN,85,NaN,98,NaN,NaN,NaN,80,91,NaN,NaN,90,85,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,-1
402515021,80,NaN,NaN,NaN,80,NaN,75,NaN,73,NaN,88,81,NaN,NaN,73,NaN,82,NaN,97,NaN,94,72,75,NaN,NaN,NaN,86,85,70,NaN,87,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515025,80,NaN,NaN,NaN,NaN,76,56,NaN,70,75,73,74,NaN,NaN,NaN,85,66,NaN,84,NaN,80,84,NaN,85,80,NaN,87,77,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN
402515029,80,NaN,NaN,NaN,77,NaN,NaN,81,78,81,92,NaN,NaN,NaN,NaN,84,NaN,94,88,NaN,81,-1,NaN,-1,NaN,NaN,94,86,74,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
