id,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5151032@初級會計學（一）@1@1,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5152100@財務管理（一）@1@4,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153340@期貨與選擇權@1@2,5154350@國際金融市場@1@1,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152101@財務管理（二）@2@4,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154315@銀行管理@2@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154172@財務金融個案研究@1@1,5154210@投資組合分析@1@1,5153174@企業價值評估@2@1,5154314@金融風險與金控公司管理@2@1,5154316@銀行管理與金融科技@2@1,5154320@投資銀行@2@1,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
403515003,85,NaN,80,NaN,NaN,NaN,NaN,NaN,93,76,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,91,73,NaN,NaN,NaN,69,NaN,NaN,-1,NaN,NaN,-1,NaN,80,NaN,NaN,93,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403515005,85,NaN,61,NaN,NaN,NaN,NaN,NaN,73,74,NaN,NaN,NaN,63,NaN,30,NaN,NaN,NaN,NaN,54,-1,NaN,NaN,NaN,47,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515009,85,NaN,88,NaN,NaN,NaN,NaN,NaN,97,89,NaN,NaN,NaN,77,85,NaN,NaN,NaN,NaN,NaN,94,88,NaN,NaN,NaN,NaN,90,86,-1,NaN,NaN,-1,NaN,94,NaN,84,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515011,85,NaN,94,NaN,NaN,NaN,NaN,NaN,99,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,100,87,NaN,NaN,NaN,90,NaN,86,NaN,NaN,NaN,-1,NaN,NaN,92,89,86,98,NaN,-1,NaN,NaN,-1,NaN,NaN
403515015,85,NaN,73,NaN,NaN,NaN,63,82,NaN,60,NaN,NaN,NaN,60,73,NaN,NaN,NaN,-1,-1,NaN,57,-1,NaN,NaN,60,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,61,69,65,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403515019,85,NaN,84,NaN,NaN,NaN,NaN,NaN,74,NaN,82,NaN,NaN,60,79,NaN,NaN,NaN,NaN,NaN,74,NaN,65,NaN,NaN,80,NaN,80,72,NaN,NaN,-1,NaN,NaN,78,72,67,NaN,NaN,-1,NaN,NaN,NaN,-1,-1
403515029,85,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,76,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,76,NaN,NaN,88,81,-1,NaN,NaN,-1,NaN,96,NaN,76,72,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403515033,85,NaN,88,NaN,NaN,NaN,68,NaN,95,NaN,NaN,80,NaN,71,87,NaN,NaN,NaN,NaN,NaN,98,75,NaN,NaN,NaN,74,NaN,NaN,NaN,86,NaN,-1,NaN,98,NaN,77,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515039,85,NaN,83,NaN,NaN,NaN,NaN,NaN,85,66,NaN,NaN,NaN,60,82,NaN,NaN,NaN,NaN,NaN,66,73,NaN,NaN,NaN,60,NaN,84,NaN,99,-1,NaN,NaN,80,NaN,70,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515041,85,NaN,81,NaN,NaN,NaN,NaN,NaN,90,68,NaN,NaN,NaN,65,79,NaN,NaN,NaN,NaN,NaN,80,75,NaN,NaN,NaN,NaN,74,84,-1,NaN,NaN,-1,NaN,92,NaN,72,68,87,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515045,85,NaN,87,NaN,NaN,NaN,NaN,NaN,84,78,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,82,72,NaN,NaN,NaN,NaN,75,94,-1,NaN,-1,NaN,NaN,86,NaN,68,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515047,85,NaN,83,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,81,NaN,66,88,NaN,NaN,NaN,NaN,76,NaN,87,NaN,NaN,NaN,84,NaN,NaN,-1,48,NaN,-1,NaN,70,NaN,75,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515053,87,NaN,85,NaN,NaN,NaN,NaN,62,NaN,63,NaN,NaN,NaN,63,82,NaN,NaN,NaN,60,-1,NaN,60,NaN,NaN,NaN,-1,NaN,80,-1,NaN,NaN,-1,NaN,90,NaN,74,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403515067,85,NaN,87,NaN,NaN,NaN,NaN,NaN,99,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,87,NaN,NaN,NaN,84,NaN,NaN,-1,NaN,NaN,-1,NaN,97,NaN,86,71,NaN,95,NaN,NaN,NaN,NaN,NaN,-1
403515075,85,NaN,90,NaN,NaN,NaN,NaN,NaN,96,80,NaN,NaN,NaN,65,88,NaN,NaN,NaN,NaN,NaN,89,77,NaN,NaN,NaN,NaN,84,NaN,-1,NaN,-1,NaN,NaN,92,NaN,81,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515001,NaN,85,89,90,NaN,NaN,NaN,NaN,98,91,NaN,NaN,NaN,84,92,NaN,NaN,NaN,NaN,95,NaN,88,NaN,NaN,NaN,NaN,85,86,-1,NaN,-1,NaN,NaN,88,NaN,96,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515007,NaN,85,83,NaN,NaN,NaN,63,NaN,76,NaN,NaN,71,NaN,71,84,NaN,NaN,NaN,NaN,NaN,67,58,-1,NaN,NaN,NaN,71,84,-1,86,-1,NaN,NaN,NaN,77,73,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515013,NaN,85,68,NaN,NaN,NaN,NaN,NaN,75,73,NaN,NaN,NaN,73,82,NaN,NaN,NaN,NaN,NaN,96,66,NaN,NaN,NaN,NaN,80,NaN,-1,100,NaN,-1,68,82,NaN,77,80,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403515017,NaN,87,74,NaN,NaN,NaN,NaN,80,NaN,70,NaN,NaN,NaN,60,79,NaN,NaN,NaN,NaN,65,NaN,61,NaN,NaN,NaN,NaN,73,84,-1,NaN,NaN,-1,NaN,74,NaN,NaN,60,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403515021,NaN,85,82,NaN,NaN,NaN,NaN,NaN,71,64,NaN,NaN,NaN,60,80,NaN,NaN,NaN,NaN,NaN,68,66,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,-1,NaN,NaN,NaN,76,73,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515025,NaN,87,97,NaN,NaN,NaN,NaN,NaN,84,84,NaN,NaN,NaN,78,86,NaN,NaN,NaN,NaN,89,NaN,84,NaN,NaN,NaN,NaN,89,99,-1,NaN,-1,NaN,NaN,98,NaN,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515027,NaN,85,70,NaN,NaN,NaN,NaN,NaN,84,74,NaN,NaN,NaN,68,75,NaN,NaN,NaN,NaN,NaN,89,69,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,-1,NaN,86,NaN,66,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515031,NaN,85,76,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,68,NaN,66,76,NaN,NaN,NaN,NaN,NaN,69,NaN,61,NaN,NaN,NaN,63,81,NaN,NaN,NaN,-1,NaN,NaN,73,63,71,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515043,NaN,85,91,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,75,NaN,71,75,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,82,NaN,80,NaN,83,-1,NaN,NaN,-1,NaN,74,NaN,NaN,60,NaN,NaN,NaN,-1,-1,NaN,NaN,-1
403515051,NaN,85,87,NaN,NaN,NaN,NaN,NaN,90,72,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,75,71,NaN,NaN,NaN,-1,NaN,82,NaN,NaN,NaN,-1,NaN,94,NaN,68,64,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403515055,NaN,85,87,NaN,NaN,NaN,NaN,NaN,99,92,NaN,NaN,NaN,75,90,NaN,NaN,NaN,NaN,NaN,90,92,NaN,NaN,NaN,NaN,90,90,-1,NaN,NaN,-1,NaN,96,NaN,87,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403515057,NaN,85,81,NaN,NaN,NaN,NaN,NaN,89,79,NaN,NaN,NaN,65,86,NaN,NaN,NaN,NaN,NaN,89,83,NaN,NaN,NaN,72,NaN,83,-1,70,-1,NaN,NaN,92,NaN,84,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515059,NaN,85,72,NaN,NaN,NaN,70,NaN,77,NaN,NaN,68,NaN,54,70,66,NaN,NaN,NaN,-1,58,NaN,NaN,NaN,-1,66,NaN,90,NaN,NaN,NaN,-1,60,NaN,66,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403515063,NaN,85,82,NaN,NaN,NaN,62,NaN,78,71,NaN,NaN,NaN,60,NaN,67,NaN,NaN,NaN,NaN,83,67,NaN,NaN,NaN,67,NaN,82,NaN,NaN,NaN,-1,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1
403515065,NaN,85,86,NaN,NaN,NaN,NaN,100,NaN,88,NaN,NaN,NaN,74,82,NaN,NaN,NaN,NaN,95,NaN,84,NaN,NaN,NaN,83,NaN,NaN,-1,NaN,-1,NaN,NaN,98,NaN,86,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515069,NaN,85,73,NaN,NaN,NaN,68,85,NaN,65,NaN,NaN,NaN,51,78,NaN,NaN,NaN,NaN,74,NaN,62,NaN,NaN,NaN,52,-1,75,-1,60,NaN,-1,NaN,82,NaN,60,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515071,NaN,87,74,NaN,NaN,NaN,68,NaN,78,NaN,NaN,60,NaN,64,75,65,NaN,NaN,62,NaN,75,62,NaN,NaN,NaN,NaN,73,82,-1,80,NaN,-1,NaN,86,NaN,60,NaN,87,60,NaN,NaN,NaN,NaN,-1,NaN
403515073,NaN,87,82,NaN,NaN,NaN,NaN,83,NaN,71,NaN,NaN,NaN,52,72,NaN,NaN,NaN,NaN,68,NaN,64,NaN,NaN,NaN,60,NaN,93,-1,64,-1,NaN,NaN,NaN,70,76,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515077,NaN,85,83,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,83,NaN,74,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,90,NaN,64,NaN,86,NaN,NaN,NaN,-1,80,88,NaN,NaN,60,NaN,90,NaN,-1,NaN,NaN,NaN,NaN
403515056,NaN,NaN,77,75,NaN,84,NaN,NaN,86,77,NaN,NaN,NaN,60,79,NaN,NaN,NaN,NaN,NaN,90,65,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,-1,NaN,60,NaN,82,74,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
403515006,NaN,NaN,96,NaN,87,NaN,NaN,NaN,99,NaN,NaN,81,NaN,67,91,NaN,NaN,NaN,NaN,NaN,100,85,NaN,NaN,NaN,70,NaN,NaN,-1,100,NaN,-1,NaN,100,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515008,NaN,NaN,96,NaN,85,NaN,NaN,NaN,91,75,NaN,NaN,NaN,70,88,NaN,NaN,NaN,NaN,60,NaN,73,NaN,NaN,NaN,73,NaN,81,NaN,NaN,-1,NaN,NaN,98,NaN,83,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515010,NaN,NaN,85,NaN,87,NaN,NaN,NaN,77,72,NaN,NaN,NaN,70,86,NaN,NaN,NaN,NaN,76,NaN,80,NaN,NaN,NaN,NaN,-1,80,-1,NaN,NaN,-1,NaN,NaN,88,84,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403515014,NaN,NaN,97,NaN,85,NaN,NaN,NaN,100,95,NaN,NaN,NaN,85,92,NaN,NaN,NaN,NaN,NaN,100,95,NaN,NaN,NaN,NaN,96,NaN,-1,NaN,-1,NaN,NaN,100,NaN,92,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
