id,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@4,5153173@金融倫理學@1@1,5153340@期貨與選擇權@1@2,5151009@民法概要@2@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@4,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5154313@資本市場與基金組合管理@1@1,5154441@不動產概論@1@1,5153100@財務理論與政策@2@1,5153174@企業價值評估@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154314@金融風險與金控公司管理@2@1,5154400@風險管理與保險@2@1
403520053,91,NaN,86,NaN,83,60,80,74,NaN,NaN,72,NaN,85,NaN,NaN,78,83,76,NaN,80,NaN,84,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403520071,95,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520048,NaN,85,90,NaN,77,NaN,86,87,NaN,85,NaN,NaN,NaN,82,NaN,76,83,96,NaN,76,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520056,NaN,100,91,NaN,91,NaN,81,NaN,100,87,NaN,NaN,81,NaN,NaN,70,NaN,NaN,80,NaN,65,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1
403520059,NaN,NaN,NaN,75,NaN,NaN,NaN,79,NaN,NaN,NaN,78,86,NaN,85,60,NaN,NaN,96,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403520064,NaN,NaN,NaN,91,NaN,81,NaN,NaN,NaN,NaN,NaN,83,NaN,94,NaN,76,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403520065,NaN,NaN,NaN,80,75,70,NaN,79,NaN,NaN,NaN,74,75,NaN,85,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520069,NaN,NaN,NaN,93,92,70,NaN,79,NaN,NaN,NaN,72,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520023,NaN,NaN,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520036,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN
403520052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN
403520086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
