id,5152100@財務管理（一）@1@4,5152101@財務管理（二）@2@4,5152102@財務管理@2@1,5151032@初級會計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@3,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@2,5153340@期貨與選擇權@1@1,5151009@民法概要@2@1,5152021@統計學（二）@2@2,5152022@統計學@2@1,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152200@投資學@2@2,5152200@投資學@2@3
404510018,79,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510046,82,NaN,NaN,NaN,NaN,NaN,NaN,82,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510060,82,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510079,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510089,79,66,NaN,NaN,NaN,NaN,79,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404510023,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510039,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510097,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510073,NaN,NaN,NaN,NaN,88,76,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN
404510001,NaN,-1,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510048,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510003,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510005,77,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510006,61,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
