id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152200@投資學@2@2,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
404515001,77,85,NaN,90,90,NaN,NaN,NaN,92,NaN,NaN,85,70,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404515002,81,NaN,NaN,93,82,NaN,80,100,NaN,91,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515003,61,82,NaN,67,-1,NaN,NaN,80,NaN,78,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515004,91,NaN,NaN,90,88,80,NaN,NaN,92,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515005,73,NaN,NaN,87,70,85,NaN,NaN,84,86,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515006,87,NaN,NaN,94,92,85,NaN,NaN,100,94,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515007,95,NaN,82,93,85,NaN,NaN,NaN,96,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515008,82,NaN,NaN,78,72,80,NaN,NaN,92,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515009,72,NaN,74,77,68,NaN,NaN,86,NaN,78,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404515012,68,NaN,NaN,80,68,70,NaN,NaN,80,NaN,NaN,63,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515014,76,NaN,NaN,86,74,85,NaN,NaN,86,NaN,NaN,63,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
404515015,64,NaN,81,72,-1,NaN,NaN,66,NaN,74,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515016,60,NaN,NaN,74,-1,NaN,65,67,NaN,NaN,55,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
