id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2
405515001,88,75,NaN,-1,-1,NaN,NaN
405515002,81,NaN,NaN,-1,-1,NaN,-1
405515003,99,NaN,83,-1,-1,NaN,NaN
405515004,91,NaN,NaN,-1,-1,NaN,-1
405515005,81,75,NaN,-1,-1,NaN,NaN
405515006,60,NaN,NaN,-1,-1,-1,NaN
405515007,63,92,NaN,-1,-1,NaN,NaN
405515008,84,NaN,NaN,-1,-1,-1,NaN
405515009,88,83,NaN,-1,-1,NaN,NaN
405515010,62,NaN,NaN,-1,NaN,NaN,NaN
405515011,72,89,NaN,-1,-1,NaN,NaN
405515012,83,NaN,NaN,-1,-1,-1,NaN
405515013,71,NaN,83,-1,-1,NaN,NaN
405515014,87,NaN,NaN,-1,-1,-1,NaN
405515015,78,95,NaN,-1,-1,NaN,NaN
405515016,84,NaN,NaN,-1,-1,NaN,-1
405515017,77,81,NaN,-1,-1,NaN,NaN
405515018,80,NaN,NaN,-1,-1,-1,NaN
405515019,71,82,NaN,-1,-1,NaN,NaN
405515020,80,NaN,NaN,-1,-1,NaN,-1
405515021,75,92,NaN,-1,-1,NaN,NaN
405515022,86,NaN,NaN,-1,-1,NaN,-1
405515023,88,83,NaN,-1,-1,NaN,NaN
405515024,85,NaN,NaN,-1,-1,-1,NaN
405515025,93,98,NaN,-1,-1,NaN,NaN
405515027,80,NaN,81,-1,-1,NaN,NaN
405515028,86,NaN,NaN,-1,-1,NaN,-1
405515029,62,75,NaN,-1,-1,NaN,NaN
405515030,85,NaN,NaN,-1,-1,-1,NaN
405515031,67,94,NaN,-1,-1,NaN,NaN
405515032,81,NaN,NaN,-1,-1,-1,NaN
405515033,83,94,NaN,-1,-1,NaN,NaN
405515034,96,NaN,NaN,-1,-1,NaN,-1
405515035,60,NaN,83,-1,NaN,NaN,NaN
405515036,60,NaN,NaN,-1,-1,-1,NaN
405515037,62,NaN,85,-1,-1,NaN,NaN
405515041,77,NaN,83,-1,NaN,NaN,NaN
405515043,97,NaN,95,-1,-1,NaN,NaN
405515044,86,NaN,NaN,-1,-1,NaN,-1
405515045,80,NaN,84,-1,-1,NaN,NaN
405515046,62,NaN,NaN,-1,-1,-1,NaN
405515047,73,NaN,94,-1,-1,NaN,NaN
405515049,83,NaN,83,-1,-1,NaN,NaN
405515050,64,NaN,NaN,NaN,NaN,NaN,NaN
405515051,92,NaN,81,-1,-1,NaN,NaN
405515053,60,84,NaN,-1,-1,NaN,NaN
405515054,92,NaN,NaN,-1,-1,-1,NaN
405515055,72,NaN,94,-1,-1,NaN,NaN
405515056,78,NaN,NaN,-1,-1,-1,NaN
405515058,81,NaN,NaN,-1,-1,NaN,-1
405515059,65,NaN,98,-1,-1,NaN,NaN
405515060,88,NaN,NaN,-1,-1,-1,NaN
405515062,70,NaN,NaN,-1,NaN,NaN,NaN
405515063,90,NaN,82,-1,-1,NaN,NaN
405515064,76,NaN,NaN,-1,-1,NaN,-1
405515065,70,50,NaN,-1,-1,NaN,NaN
405515066,82,NaN,NaN,-1,-1,NaN,-1
405515068,72,NaN,NaN,-1,-1,NaN,-1
405515069,63,NaN,82,-1,-1,NaN,NaN
405515070,61,NaN,NaN,-1,-1,-1,NaN
405515072,71,NaN,NaN,-1,-1,-1,NaN
405515073,83,NaN,83,-1,-1,NaN,NaN
405515074,82,NaN,NaN,-1,-1,NaN,-1
405515075,71,NaN,85,-1,-1,NaN,NaN
405515076,77,NaN,NaN,-1,-1,NaN,-1
405515077,91,NaN,86,-1,-1,NaN,NaN
405515078,88,NaN,NaN,-1,-1,NaN,-1
405515039,NaN,94,NaN,-1,NaN,NaN,NaN
405515026,NaN,NaN,NaN,-1,NaN,NaN,NaN
405515038,NaN,NaN,NaN,-1,NaN,-1,NaN
405515042,NaN,NaN,NaN,-1,NaN,NaN,-1
