id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@2,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@2,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152020@統計學（一）@1@1,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5151013@經濟學原理（二）@2@1,5152021@統計學（二）@2@1,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152300@貨幣銀行@2@1,5152400@商用軟體應用與設計@2@2,5153174@企業價值評估@2@1,5154180@國際財務管理@2@2,5154313@資本市場與基金組合管理@2@1,5154320@投資銀行@2@1,5154340@實質選擇權@2@1,5154661@財務預測@2@1,5153010@總體經濟學@1@2,5153300@金融市場與機構@1@1,5153340@期貨與選擇權@1@2,5154170@財務管理個案研究@1@1,5154170@財務管理個案研究@1@2,5154171@高階財務管理@1@1,5154441@不動產概論@1@1,5152101@財務管理（二）@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154411@人身風險與退休規畫@2@1,5154172@財務金融個案研究@1@1,5154172@財務金融個案研究@1@2,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154171@高階財務管理@2@1,5154350@國際金融市場@1@1
400515002,90,NaN,NaN,83,83,78,81,NaN,78,82,NaN,NaN,NaN,NaN,NaN,90,79,86,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,90,NaN,98,NaN,80,NaN,NaN,NaN,92,NaN,85,84,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,88,NaN,95,82,NaN,NaN,NaN
400515004,84,NaN,NaN,85,82,78,82,NaN,93,78,NaN,NaN,NaN,NaN,NaN,85,78,77,NaN,77,NaN,NaN,74,NaN,NaN,NaN,95,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,91,NaN,NaN,NaN,NaN,NaN,NaN,89,71,91,NaN,83,NaN,NaN,NaN,NaN
400515005,67,80,NaN,72,NaN,60,NaN,NaN,47,61,83,NaN,NaN,61,NaN,60,66,73,NaN,NaN,60,NaN,68,NaN,65,NaN,NaN,NaN,75,NaN,60,NaN,NaN,67,NaN,NaN,69,NaN,NaN,NaN,NaN,60,NaN,60,50,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400515006,75,NaN,NaN,NaN,78,62,NaN,80,NaN,78,NaN,NaN,85,NaN,NaN,86,79,69,NaN,NaN,71,82,63,NaN,79,NaN,81,NaN,81,NaN,62,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,65,NaN,74,83,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN
400515007,73,NaN,80,88,80,63,NaN,NaN,81,82,93,NaN,NaN,NaN,NaN,80,82,80,NaN,76,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,78,NaN,87,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,71,87,NaN,NaN,NaN,NaN,NaN
400515008,81,NaN,NaN,77,74,70,NaN,80,60,72,NaN,NaN,NaN,NaN,NaN,75,75,79,NaN,73,NaN,75,NaN,NaN,NaN,NaN,79,NaN,92,NaN,NaN,NaN,NaN,91,88,NaN,82,88,NaN,NaN,NaN,NaN,NaN,NaN,76,60,89,NaN,82,NaN,NaN,NaN,NaN
400515009,95,NaN,80,NaN,91,77,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,81,82,85,NaN,78,87,89,NaN,NaN,78,NaN,94,NaN,75,NaN,NaN,97,75,91,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,93,NaN,77,NaN,83,NaN,89,NaN
400515010,84,NaN,NaN,85,87,78,NaN,82,87,88,NaN,NaN,NaN,NaN,NaN,99,84,98,NaN,84,94,90,NaN,NaN,NaN,NaN,93,NaN,91,NaN,81,NaN,81,94,94,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
400515011,84,84,NaN,74,NaN,87,NaN,NaN,72,85,NaN,NaN,NaN,93,NaN,85,91,95,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,91,NaN,NaN,92,91,NaN,90,NaN,79,73,NaN,NaN,NaN,NaN,NaN,77,66,91,NaN,NaN,87,NaN,NaN,88,NaN
400515012,62,NaN,NaN,NaN,73,62,NaN,80,NaN,71,NaN,NaN,77,NaN,NaN,77,74,68,NaN,67,NaN,70,64,NaN,68,NaN,78,NaN,75,NaN,74,NaN,76,NaN,91,NaN,79,81,NaN,NaN,NaN,NaN,NaN,67,89,NaN,83,NaN,86,NaN,NaN,NaN,NaN
400515014,87,NaN,NaN,85,82,82,80,NaN,85,86,NaN,NaN,NaN,NaN,NaN,95,86,81,NaN,83,87,85,NaN,NaN,NaN,NaN,96,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,87,91,NaN,89,NaN,NaN,NaN,NaN
400515015,82,NaN,80,80,74,67,NaN,NaN,66,71,NaN,NaN,NaN,NaN,NaN,90,84,91,NaN,76,83,87,NaN,NaN,NaN,NaN,85,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN,NaN,NaN
400515016,96,NaN,NaN,100,89,84,NaN,80,93,90,NaN,NaN,NaN,NaN,NaN,91,88,85,NaN,83,88,NaN,93,NaN,NaN,NaN,89,NaN,88,NaN,NaN,NaN,81,92,93,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,91,NaN,89,NaN,NaN,NaN,NaN
400515017,81,82,NaN,100,82,66,NaN,NaN,91,79,NaN,NaN,NaN,NaN,NaN,83,84,97,NaN,89,81,NaN,NaN,NaN,NaN,NaN,94,NaN,80,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,81,84,NaN,97,NaN,94,NaN,NaN,NaN,NaN
400515018,68,NaN,NaN,NaN,83,66,NaN,81,NaN,79,NaN,81,92,NaN,NaN,99,81,81,NaN,78,NaN,85,NaN,NaN,90,NaN,94,NaN,NaN,NaN,88,NaN,NaN,NaN,91,NaN,87,91,NaN,NaN,NaN,NaN,NaN,77,95,NaN,83,NaN,85,NaN,NaN,NaN,NaN
400515019,75,NaN,80,NaN,81,64,NaN,NaN,NaN,81,NaN,81,87,NaN,NaN,90,81,90,90,NaN,NaN,81,NaN,NaN,74,NaN,92,NaN,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,83,93,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
400515020,91,NaN,NaN,91,NaN,88,82,NaN,88,84,NaN,NaN,NaN,NaN,94,95,80,95,NaN,77,80,NaN,76,NaN,NaN,NaN,97,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN
400515021,76,NaN,80,81,80,64,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,99,80,98,NaN,74,78,NaN,NaN,NaN,NaN,NaN,90,NaN,100,NaN,91,NaN,NaN,94,93,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,87,99,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
400515022,85,NaN,NaN,NaN,NaN,67,80,NaN,NaN,NaN,90,NaN,68,NaN,74,82,85,89,80,NaN,84,92,NaN,NaN,60,86,NaN,NaN,79,NaN,80,NaN,78,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,77,NaN,NaN,89,NaN,94,83,NaN,88,NaN
400515023,90,84,NaN,83,81,85,NaN,NaN,98,90,94,NaN,NaN,NaN,NaN,87,NaN,85,NaN,NaN,80,92,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,87,NaN,85,NaN,92,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
400515024,67,NaN,NaN,67,70,60,NaN,81,67,76,NaN,NaN,NaN,NaN,NaN,73,83,95,NaN,79,81,NaN,NaN,NaN,NaN,NaN,83,NaN,91,NaN,76,NaN,NaN,NaN,93,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,67,92,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
400515026,83,NaN,NaN,NaN,79,80,82,NaN,NaN,69,NaN,NaN,89,NaN,NaN,86,87,83,NaN,90,95,91,NaN,NaN,76,NaN,86,NaN,91,NaN,76,NaN,NaN,NaN,83,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,84,NaN,NaN,NaN,NaN
400515030,82,NaN,NaN,82,79,65,NaN,82,73,75,NaN,NaN,NaN,NaN,NaN,72,NaN,91,NaN,79,86,91,NaN,NaN,NaN,NaN,89,NaN,88,NaN,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
400515031,53,NaN,80,NaN,62,66,NaN,NaN,63,60,NaN,NaN,64,NaN,NaN,64,74,77,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,81,NaN,89,NaN,45,NaN,60,NaN,50,NaN,84,65,NaN,NaN,NaN,NaN,NaN,62,NaN,0,81,84,NaN,0,NaN,NaN,NaN
400515032,84,NaN,NaN,87,81,69,NaN,81,75,87,NaN,NaN,NaN,NaN,NaN,82,81,82,NaN,NaN,82,92,NaN,NaN,NaN,NaN,74,NaN,85,NaN,84,NaN,83,NaN,92,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,82,NaN,NaN,NaN
