id,5155052@行為財務學@2@1,5155303@國際金融服務管理@2@1,5155503@風險管理與保險@2@1,5155908@財務金融專題研討（一）@2@1,5156152@公司併購與治理@2@1,5156210@投資組合分析@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155180@國際財務管理@1@1,5155200@投資管理學@1@1,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155653@財務計量與實證@1@1,5155909@財務金融專題研討（二）@1@1,5156241@財務工程@1@1,5156300@財金個案研究@1@1,5156300@財金個案研究@1@2,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155312@金融風險與金控公司管理@2@1,5155321@投資哲理@2@1,5155510@企業價值評估@2@1,5155562@資本市場與基金組合管理@2@1,5155654@財務經濟@2@1,5155660@財務報表分析@2@1,5156243@財務風險管理@2@1,5155330@債券市場@1@1,5156130@金融倫理學@1@1,5156152@公司併購與治理@1@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1
603515007,94,90,99,87,99,99,NaN,100,NaN,95,82,NaN,85,NaN,100,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,99,NaN,NaN,97,NaN,NaN,NaN
603515014,90,90,87,87,93,90,94,NaN,NaN,90,NaN,88,83,NaN,96,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,98,NaN,NaN,92,NaN,NaN,NaN
603515002,98,NaN,90,94,NaN,92,91,NaN,NaN,94,81,NaN,88,NaN,97,94,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,95,95,NaN,NaN,89,NaN,84,NaN
603515004,96,NaN,NaN,99,NaN,NaN,97,NaN,NaN,95,84,NaN,88,NaN,98,95,94,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,92,94,90,NaN,NaN
603515006,94,NaN,83,84,NaN,81,88,NaN,99,89,78,NaN,88,NaN,83,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,85,NaN,92,NaN
603515010,95,NaN,99,96,NaN,77,89,NaN,97,83,79,NaN,83,NaN,99,93,95,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN
603515013,97,NaN,87,86,NaN,NaN,86,NaN,94,90,80,NaN,83,NaN,83,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,97,NaN,89,89,NaN,92,NaN
603515016,95,NaN,NaN,94,NaN,80,82,NaN,95,83,80,NaN,75,NaN,95,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,92,86,85,NaN
603515017,90,NaN,81,84,NaN,96,86,NaN,97,83,78,NaN,75,NaN,93,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,94,NaN,89,NaN
603515021,NaN,NaN,82,96,NaN,94,90,NaN,83,86,NaN,84,84,NaN,91,93,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,84,94,76,NaN,89,NaN,NaN,93
603515022,91,NaN,NaN,84,NaN,98,87,NaN,96,83,75,NaN,89,NaN,83,NaN,NaN,87,NaN,81,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,87,86,NaN,93
603515023,91,NaN,NaN,99,NaN,NaN,88,NaN,93,83,NaN,85,NaN,NaN,97,94,94,NaN,NaN,NaN,99,NaN,95,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
603515024,95,NaN,91,89,NaN,91,97,NaN,NaN,80,NaN,89,84,NaN,93,92,NaN,86,88,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,89,NaN,NaN,NaN
603515026,NaN,NaN,90,99,NaN,86,91,NaN,NaN,94,82,NaN,83,NaN,97,93,93,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,97,89,NaN,81,NaN,NaN,NaN
