id,5155052@行為財務學@2@1,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155660@財務報表分析@2@1,5155908@財務金融專題研討（一）@2@1,5156243@財務風險管理@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155200@投資管理學@1@1,5155200@投資管理學@1@2,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155909@財務金融專題研討（二）@1@1,5156130@金融倫理學@1@1,5156300@財金個案研究@1@1,5155562@資本市場與基金組合管理@2@1,5156120@財務計劃與管理專題研討@2@1,5156210@投資組合分析@2@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1,5155180@國際財務管理@1@1,5155312@金融風險與金控公司管理@1@1,5155330@債券市場@1@1,5156121@市場微結構@1@1,5156152@公司併購與治理@1@1,5156273@創業投資與私募股權@1@1,5155173@財務程式設計@2@1,5155504@保險財務與精算@2@1,5155653@財務計量與實證@2@1,5156244@結構型證券@2@1,5156382@國際金融@2@1
604515014,93,78,52,84,84,74,NaN,81,80,NaN,89,NaN,76,97,85,93,NaN,82,81,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515002,95,84,NaN,92,96,NaN,94,NaN,90,NaN,NaN,95,80,99,88,95,NaN,91,NaN,86,NaN,NaN,NaN,NaN,94,NaN,95,NaN,-1,NaN,NaN,NaN
604515005,93,85,NaN,93,95,NaN,80,NaN,88,NaN,90,NaN,73,99,88,86,-1,NaN,NaN,94,96,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515006,NaN,NaN,NaN,93,96,NaN,99,NaN,95,NaN,88,NaN,80,99,89,83,96,NaN,94,86,96,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN
604515007,91,94,NaN,96,86,NaN,80,NaN,86,NaN,88,NaN,80,99,90,88,NaN,NaN,-1,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515008,95,99,NaN,97,99,NaN,82,NaN,90,NaN,88,NaN,82,99,89,96,NaN,92,-1,87,NaN,94,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515009,91,90,NaN,98,96,NaN,88,NaN,94,NaN,87,NaN,76,99,87,91,NaN,NaN,97,NaN,NaN,94,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515012,95,85,NaN,86,96,NaN,84,NaN,86,NaN,88,NaN,75,99,88,83,NaN,NaN,96,NaN,96,NaN,NaN,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604515013,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,85,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604515015,93,NaN,NaN,92,96,NaN,94,NaN,90,NaN,91,NaN,77,99,90,85,NaN,NaN,94,86,96,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,NaN
