id,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201001@企業概論@1@1,5201001@企業概論@1@4,5201001@企業概論@1@5,5201010@初級會計學(一)@1@2,5202003@統計學（一）@1@2,5202009@管理科學概論@1@2,5201002@管理學@2@3,5202005@組織行為@2@2,5202012@運籌管理@2@1,5203051@管理時事英文選讀（一）@2@1,5204031@廣告管理@2@1,5201001@企業概論@1@3,5202001@行銷管理@1@2,5202009@管理科學概論@1@1,5202011@財務管理@1@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203083@領導學@2@1,5202012@運籌管理@1@1,5202041@服務業行銷管理@1@1,5204002@策略管理@1@1,5204076@人文思考與創造力@1@1,5203078@非營利組織會計@2@1
402310018,-1,71,79,NaN,NaN,60,71,42,67,79,78,NaN,82,NaN,82,75,63,77,85,73,NaN,92,88,NaN,NaN
402310054,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310007,NaN,NaN,NaN,NaN,60,70,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310032,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310037,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,-1
402310038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN
402310024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
