id,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205005@管理資訊系統@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205040@多變量分析@1@1,5205069@消費者行為@1@1,5205107@國際財務管理@1@1,5205110@組織學習@1@1,5205119@訓練與發展@1@1,5205128@投資銀行@1@1,5205137@數學規劃應用@1@1,5205159@人文領導與企業倫理@1@1,5205164@品牌管理@1@1,5205205@管理專題講座@1@1,5205211@影像．故事．行銷創意@1@1,5206126@隨機過程與應用@1@1,5205002@研究方法@2@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205064@公司理財研討@2@1,5205106@組織發展@2@1,5205109@管理時事英文選讀@2@1,5205136@創意思考與行銷@2@1,5205153@系統思考@2@1,5205200@人力招募與甄選@2@1,5205204@通路管理@2@1,5205206@商業模式創新與管理@2@1,5205210@管理專案實習（一）@2@1,5205214@消費者的決策@2@1,5206121@產品研發與管理@2@1,5206142@電腦套裝軟體應用@2@1,5205056@系統模擬@1@1,5205057@廣告管理@1@1,5205061@專案管理@1@1,5205090@財務實證研究@1@1,5205097@服務業行銷管理@1@1,5205212@管理專案實習（二）@1@1,5206008@行銷研究專題研討@1@1,5206154@企業動力學@1@1,5205113@電子商務與全球運籌@2@1,5205122@網路行銷@2@1,5205158@金融市場與機構@2@1,5205207@電腦套裝軟體應用與設計@2@1,5205127@決策分析@1@1
601520001,84,87,89,88,98,NaN,NaN,94,NaN,90,97,NaN,NaN,NaN,NaN,88,NaN,NaN,77,85,NaN,NaN,NaN,90,NaN,89,86,88,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520002,86,93,90,85,92,88,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520003,83,NaN,90,85,89,NaN,NaN,96,NaN,87,NaN,NaN,NaN,87,80,88,NaN,NaN,79,87,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,88,83,NaN,NaN,95,NaN,90,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520004,88,NaN,93,81,NaN,92,NaN,NaN,NaN,NaN,NaN,95,92,90,NaN,88,NaN,NaN,84,90,NaN,NaN,NaN,NaN,98,95,NaN,NaN,NaN,90,94,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520005,86,72,90,84,89,82,NaN,96,82,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,82,90,70,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,92,NaN,NaN,NaN,83,NaN,NaN,NaN,88,NaN,85,NaN,80,NaN,NaN,NaN
601520006,90,92,95,84,92,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,90,86,89,98,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,88,86,NaN,NaN,90,86,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520008,87,89,NaN,90,NaN,NaN,NaN,NaN,96,95,97,NaN,NaN,NaN,NaN,88,NaN,90,86,86,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,86,85,NaN,NaN,95,NaN,94,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520009,85,72,90,89,78,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,88,NaN,NaN,78,85,83,95,NaN,NaN,80,NaN,NaN,NaN,95,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520014,83,83,94,90,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,83,86,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,84,84,NaN,NaN,90,78,NaN,NaN,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520017,87,88,92,84,98,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,84,85,NaN,NaN,NaN,NaN,NaN,NaN,87,91,NaN,NaN,87,NaN,NaN,90,90,93,94,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
