id,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205056@系統模擬@1@1,5205061@專案管理@1@1,5205097@服務業行銷管理@1@1,5205110@組織學習@1@1,5205159@人文領導與企業倫理@1@1,5205205@管理專題講座@1@1,5206154@企業動力學@1@1,5205002@研究方法@2@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205106@組織發展@2@1,5205113@電子商務與全球運籌@2@1,5205122@網路行銷@2@1,5205137@數學規劃應用@2@1,5205153@系統思考@2@1,5205158@金融市場與機構@2@1,5205164@品牌管理@2@1,5205206@商業模式創新與管理@2@1,5205207@電腦套裝軟體應用與設計@2@1,5205209@企業形象與招募專題@2@1,5205210@管理專案實習（一）@2@1,5205211@影像．故事．行銷創意@2@1,5205005@管理資訊系統@1@1,5205069@消費者行為@1@1,5205107@國際財務管理@1@1,5205127@決策分析@1@1,5205212@管理專案實習（二）@1@1,5206141@獨立研究－行銷倫理@1@1,5205109@管理時事英文選讀@2@1,5205215@行銷文案寫作與溝通@2@1,5206126@隨機過程與應用@2@1,5206142@電腦套裝軟體應用@2@1
602520001,82,94,84,91,85,NaN,NaN,NaN,NaN,87,86,NaN,85,80,NaN,96,NaN,NaN,85,NaN,80,NaN,NaN,NaN,NaN,NaN,85,86,76,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
602520002,89,NaN,93,82,NaN,NaN,NaN,88,90,89,89,NaN,84,86,NaN,NaN,90,91,NaN,NaN,NaN,NaN,88,90,NaN,NaN,86,NaN,NaN,NaN,98,88,87,NaN,NaN,NaN,NaN,NaN
602520004,83,95,85,78,90,NaN,85,NaN,75,83,86,NaN,82,85,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,90,NaN,NaN,87,86,79,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN
602520005,87,95,84,81,88,NaN,NaN,88,NaN,88,88,NaN,84,84,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,87,90,NaN,NaN,85,NaN,85,85,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
602520006,88,NaN,93,79,85,NaN,NaN,NaN,88,90,88,NaN,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,88,86,86,82,NaN,NaN,91,84,NaN,91,NaN,NaN,NaN
602520007,86,NaN,93,87,90,NaN,NaN,88,NaN,88,85,NaN,83,86,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,84,92,NaN,NaN,87,NaN,81,NaN,97,91,90,NaN,NaN,NaN,NaN,NaN
602520008,85,91,88,77,87,NaN,NaN,88,NaN,88,85,NaN,83,80,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,89,90,NaN,NaN,83,NaN,82,86,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
602520009,82,95,90,84,96,NaN,92,NaN,90,NaN,83,85,82,84,NaN,NaN,91,NaN,NaN,94,NaN,NaN,NaN,NaN,90,NaN,86,NaN,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
602520010,82,91,86,74,85,NaN,NaN,88,NaN,NaN,80,NaN,83,80,NaN,95,NaN,88,NaN,NaN,NaN,NaN,84,NaN,85,NaN,83,NaN,81,NaN,NaN,87,83,NaN,NaN,NaN,NaN,NaN
602520012,86,NaN,80,82,NaN,NaN,84,88,85,88,87,NaN,82,80,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,88,90,NaN,NaN,83,NaN,87,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN
