id,5205002@研究方法@2@1,5205122@網路行銷@2@1,5205203@國際人力資源管理@2@1,5206142@電腦套裝軟體應用@2@1,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205040@多變量分析@1@1,5205056@系統模擬@1@1,5205061@專案管理@1@1,5205067@國際企業@1@1,5205097@服務業行銷管理@1@1,5205109@管理時事英文選讀@1@1,5205159@人文領導與企業倫理@1@1,5205164@品牌管理@1@1,5205205@管理專題講座@1@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205064@公司理財研討@2@1,5205107@國際財務管理@2@1,5205199@人力資源發展@2@1,5205204@通路管理@2@1,5205210@管理專案實習（一）@2@1,5205215@行銷文案寫作與溝通@2@1,5206141@獨立研究－行銷倫理@2@1
605520012,93,96,90,88,95,NaN,NaN,95,90,NaN,NaN,NaN,97,NaN,84,92,NaN,86,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
605520006,-1,NaN,NaN,-1,86,NaN,91,95,94,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
605520007,-1,NaN,NaN,NaN,81,90,90,NaN,94,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
605520009,-1,NaN,NaN,-1,88,92,95,92,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
605520010,-1,NaN,NaN,-1,87,86,91,92,88,NaN,NaN,NaN,NaN,NaN,71,90,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
605520011,-1,NaN,NaN,-1,81,87,89,97,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
605520013,-1,NaN,NaN,-1,85,86,93,94,90,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605520014,-1,NaN,NaN,-1,85,86,91,NaN,94,99,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN
605520015,-1,NaN,NaN,-1,86,91,90,95,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
605520016,-1,NaN,NaN,-1,88,88,NaN,92,NaN,NaN,NaN,NaN,94,NaN,NaN,92,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN
