id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5262207@採購管理@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5263613@政府會計@1@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263109@審計學（一）@2@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5263615@中級會計學(三)@1@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264017@電子商務@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@3,5263002@企業分析與評價@2@1,5263108@高級會計學（二）@2@1,5264000@會計資訊系統@2@1,5262203@公司法@1@1,5262407@統計學（二）@1@1,5263001@中級會計學(三)@1@1,5264019@電腦審計@1@1,5261611@商用軟體應用與設計@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1
402526004,91,NaN,99,87,95,87,85,85,84,NaN,89,89,90,98,99,89,92,91,92,NaN,82,NaN,95,99,90,81,NaN,NaN,85,-1,NaN,NaN
402526005,99,90,99,90,NaN,91,90,90,96,NaN,95,97,91,98,99,93,91,93,88,NaN,93,NaN,96,92,99,NaN,NaN,NaN,84,NaN,NaN,NaN
402526006,81,NaN,86,84,95,80,91,98,95,NaN,83,88,88,95,91,86,84,94,85,NaN,81,NaN,96,93,94,NaN,NaN,NaN,87,NaN,NaN,-1
402526007,99,90,99,93,NaN,86,91,81,81,NaN,87,85,83,88,93,88,91,96,83,NaN,86,NaN,NaN,86,87,77,NaN,NaN,91,NaN,NaN,NaN
402526008,94,NaN,99,83,95,89,91,80,96,NaN,88,89,91,81,95,89,89,81,78,88,83,NaN,93,71,93,NaN,NaN,NaN,82,NaN,-1,NaN
402526009,82,90,86,69,NaN,79,71,70,86,NaN,74,76,78,76,82,87,70,82,78,NaN,76,NaN,85,75,84,61,NaN,NaN,88,NaN,NaN,NaN
402526010,73,NaN,87,72,95,64,79,66,86,NaN,66,81,77,66,74,71,63,82,75,NaN,87,NaN,86,-1,86,NaN,93,NaN,83,NaN,NaN,NaN
402526011,95,90,95,72,NaN,82,86,72,91,NaN,82,84,78,80,76,83,84,83,84,NaN,81,NaN,NaN,67,88,74,NaN,NaN,80,NaN,-1,NaN
402526012,85,NaN,90,72,95,81,73,76,88,NaN,83,83,76,80,87,77,85,80,80,NaN,75,NaN,83,74,84,NaN,NaN,NaN,85,NaN,NaN,NaN
402526013,62,90,91,81,NaN,72,80,66,82,77,82,86,87,86,93,88,89,89,83,NaN,83,NaN,NaN,79,88,NaN,NaN,NaN,87,NaN,NaN,NaN
402526014,70,NaN,83,72,95,66,74,60,83,NaN,69,67,67,65,72,70,NaN,69,67,NaN,77,NaN,NaN,-1,88,60,NaN,76,82,NaN,NaN,-1
402526015,85,90,97,69,NaN,89,86,85,91,NaN,90,95,89,85,96,87,93,88,75,NaN,91,NaN,97,91,90,NaN,NaN,NaN,83,NaN,NaN,NaN
402526016,96,NaN,98,79,95,84,75,66,84,NaN,83,82,81,84,93,74,78,84,78,NaN,74,NaN,81,78,84,NaN,86,NaN,82,NaN,NaN,-1
402526017,94,90,99,87,NaN,96,87,72,96,NaN,91,87,89,91,98,96,92,91,90,NaN,85,NaN,89,98,90,NaN,92,NaN,90,NaN,NaN,NaN
402526018,85,NaN,78,83,95,70,79,68,91,NaN,70,61,74,78,62,77,73,66,80,NaN,79,NaN,85,68,91,NaN,93,NaN,73,NaN,NaN,NaN
402526019,64,90,71,68,NaN,64,63,64,89,NaN,67,86,70,78,87,78,75,91,80,77,75,NaN,89,87,84,NaN,NaN,NaN,87,NaN,NaN,-1
402526020,85,NaN,93,85,95,77,90,72,84,NaN,84,80,89,82,96,92,89,80,75,91,85,NaN,93,83,93,NaN,NaN,NaN,90,NaN,NaN,NaN
402526021,82,90,99,77,NaN,81,84,66,85,64,87,92,85,96,94,92,88,88,85,NaN,87,NaN,95,85,86,NaN,NaN,NaN,78,NaN,NaN,NaN
402526023,84,90,97,93,NaN,86,82,85,84,NaN,85,83,82,89,79,86,84,89,78,NaN,85,NaN,NaN,83,88,69,NaN,NaN,82,NaN,NaN,NaN
402526024,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402526025,84,90,85,75,NaN,64,78,67,66,NaN,65,71,72,68,60,65,62,71,70,71,76,NaN,81,-1,83,67,NaN,NaN,80,NaN,NaN,-1
402526026,81,NaN,89,75,95,62,80,63,90,NaN,69,78,75,65,63,84,66,77,75,NaN,83,NaN,87,-1,90,NaN,94,NaN,84,NaN,NaN,NaN
402526027,88,90,91,73,NaN,80,78,75,96,NaN,80,74,80,77,67,77,68,73,77,NaN,77,NaN,77,-1,87,NaN,85,NaN,83,NaN,NaN,-1
402526028,80,NaN,97,79,95,73,78,65,84,75,76,72,85,83,83,79,83,92,75,NaN,82,NaN,91,85,88,NaN,NaN,NaN,76,-1,NaN,NaN
402526029,67,90,74,66,NaN,61,77,60,71,NaN,-1,62,76,61,50,60,NaN,67,74,NaN,79,NaN,NaN,-1,88,66,NaN,60,71,NaN,NaN,NaN
402526030,95,NaN,99,82,95,88,71,76,82,NaN,88,93,79,86,87,84,87,91,80,NaN,72,NaN,88,87,87,69,80,NaN,90,NaN,NaN,NaN
402526031,87,90,99,84,NaN,83,80,70,85,NaN,89,87,82,77,97,89,88,86,75,NaN,81,NaN,NaN,91,86,71,NaN,NaN,91,NaN,NaN,NaN
