id,5265002@資料庫管理研討@1@1,5265024@企業資源規劃研討@1@1,5265035@會計數量方法@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5268510@高等知識管理與商業智慧研究@1@1,5265006@國際會計準則研討@2@1,5265026@成本及管理會計學@2@1,5265038@統計資料分析與應用@2@1,5265049@系統分析與設計研討@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265100@風險管理與電腦稽核@2@1,5265148@衍生性商品與市場@2@1,5265003@顧客關係管理專題@1@1,5265022@會計資訊系統研討@1@1,5265041@會計師產業專題@1@1,5265064@高等管理會計@1@1,5266008@會計與資訊科技專題研究（二）@1@1,5265028@中級會計學@2@1,5266002@ 財務報表分析@2@1
602526001,85,NaN,85,90,81,84,86,NaN,NaN,NaN,NaN,NaN,92,NaN,87,NaN,92,87,91,83,88,NaN,NaN
602526002,91,NaN,80,90,83,93,89,NaN,93,NaN,NaN,NaN,90,NaN,81,NaN,NaN,86,NaN,90,86,NaN,NaN
602526003,89,91,94,NaN,80,87,84,NaN,95,NaN,93,88,NaN,98,83,91,NaN,87,NaN,90,86,NaN,NaN
602526004,87,90,80,NaN,83,92,91,NaN,NaN,NaN,95,91,NaN,95,74,82,94,94,NaN,85,86,NaN,NaN
602526005,89,NaN,96,94,86,86,88,NaN,94,NaN,NaN,NaN,97,80,87,NaN,97,90,NaN,84,88,NaN,NaN
602526007,84,89,86,NaN,80,82,89,NaN,NaN,NaN,NaN,92,85,80,83,78,NaN,87,NaN,78,86,NaN,NaN
602526008,88,NaN,85,86,87,83,89,NaN,NaN,NaN,86,NaN,88,NaN,77,87,NaN,87,NaN,84,86,NaN,NaN
602526009,89,88,95,NaN,83,85,91,NaN,95,NaN,NaN,91,NaN,84,81,NaN,96,87,NaN,90,88,NaN,NaN
602526010,85,89,88,NaN,83,90,89,NaN,93,NaN,87,92,NaN,86,75,NaN,NaN,91,NaN,90,82,NaN,NaN
602526011,86,91,81,NaN,84,93,89,93,NaN,NaN,NaN,95,99,85,94,91,NaN,90,NaN,88,96,NaN,NaN
602526012,83,86,NaN,92,83,NaN,91,NaN,85,76,NaN,NaN,90,NaN,86,73,NaN,84,NaN,83,92,90,87
602526013,77,NaN,77,91,80,82,86,NaN,NaN,NaN,NaN,NaN,84,80,80,84,91,86,NaN,88,80,NaN,NaN
602526014,70,90,NaN,85,84,NaN,89,NaN,83,71,NaN,NaN,90,NaN,81,70,NaN,90,NaN,81,86,73,74
602526015,83,89,91,NaN,80,92,93,NaN,92,NaN,95,89,NaN,82,82,NaN,NaN,90,NaN,81,84,NaN,NaN
602526017,77,85,NaN,85,84,NaN,89,NaN,82,76,NaN,NaN,85,NaN,87,85,NaN,87,NaN,86,88,85,88
602526018,90,92,92,NaN,90,91,88,NaN,NaN,NaN,87,88,89,NaN,80,95,NaN,95,NaN,90,86,NaN,NaN
602526019,78,91,NaN,89,82,NaN,86,NaN,84,76,NaN,NaN,86,NaN,79,74,93,90,NaN,80,80,75,88
602526022,88,93,94,NaN,83,92,89,NaN,NaN,NaN,98,95,NaN,98,78,NaN,NaN,90,92,90,88,NaN,NaN
602526028,86,90,80,NaN,90,91,91,NaN,NaN,NaN,91,90,85,NaN,79,95,NaN,86,NaN,82,86,NaN,NaN
602526030,78,87,85,NaN,84,82,88,NaN,NaN,NaN,NaN,88,NaN,80,81,86,90,84,NaN,81,84,NaN,NaN
602526032,88,89,87,NaN,86,90,93,NaN,NaN,NaN,97,95,83,82,76,NaN,NaN,90,NaN,91,86,NaN,NaN
602526033,87,90,89,NaN,85,89,89,NaN,NaN,NaN,94,90,NaN,96,85,NaN,94,92,NaN,84,88,NaN,NaN
602526034,88,91,91,NaN,88,89,91,NaN,NaN,NaN,90,94,87,95,78,NaN,NaN,90,NaN,90,86,NaN,NaN
602526035,79,87,NaN,88,83,NaN,89,NaN,83,80,NaN,NaN,88,80,78,NaN,NaN,93,NaN,87,84,81,83
602526036,70,88,NaN,87,80,NaN,87,NaN,84,73,80,NaN,87,NaN,76,NaN,NaN,83,NaN,80,84,77,79
602526006,NaN,89,NaN,95,82,NaN,91,93,95,84,NaN,NaN,NaN,NaN,85,84,NaN,87,NaN,87,78,90,79
602526020,NaN,86,NaN,88,92,NaN,89,NaN,NaN,77,NaN,NaN,88,80,80,NaN,82,83,NaN,75,70,91,80
602526025,NaN,88,NaN,85,86,NaN,89,NaN,88,77,NaN,NaN,90,80,81,NaN,NaN,90,NaN,82,84,73,76
602526027,NaN,88,NaN,89,86,NaN,87,NaN,NaN,77,NaN,NaN,86,80,80,71,NaN,87,NaN,86,82,84,76
602526029,87,85,91,93,80,79,84,NaN,NaN,NaN,89,88,NaN,NaN,74,95,NaN,93,NaN,90,87,NaN,NaN
