id,5265002@資料庫管理研討@1@1,5265022@會計資訊系統研討@1@1,5265024@企業資源規劃研討@1@1,5265035@會計數量方法@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5265026@成本及管理會計學@2@1,5265028@中級會計學@2@1,5265038@統計資料分析與應用@2@1,5265049@系統分析與設計研討@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265148@衍生性商品與市場@2@1,5266002@ 財務報表分析@2@1,5265003@顧客關係管理專題@1@1,5265064@高等管理會計@1@1,5266008@會計與資訊科技專題研究（二）@1@1,5266009@中級會計學@1@1,5266010@新興金融商品之創新與應用@1@1,5266011@財務會計實證專題研討@1@1,5265100@風險管理與電腦稽核@2@1
603526001,83,93,NaN,88,93,85,85,84,NaN,NaN,97,NaN,93,NaN,87,NaN,NaN,90,84,NaN,NaN,NaN,82
603526002,82,87,85,93,NaN,87,81,86,NaN,NaN,82,82,80,95,NaN,NaN,NaN,81,83,NaN,NaN,96,87
603526004,86,93,81,94,NaN,86,86,86,NaN,NaN,89,83,NaN,82,87,NaN,NaN,92,87,NaN,82,NaN,85
603526005,88,91,NaN,80,92,87,89,88,NaN,NaN,92,NaN,93,NaN,NaN,NaN,NaN,87,85,NaN,NaN,97,NaN
603526010,86,90,NaN,97,92,90,83,86,NaN,NaN,92,NaN,90,93,97,NaN,NaN,86,84,NaN,NaN,96,75
603526011,85,90,88,88,NaN,89,84,86,NaN,NaN,84,85,NaN,80,87,NaN,NaN,88,85,NaN,82,NaN,86
603526012,81,90,84,96,NaN,91,83,86,NaN,85,94,84,85,73,NaN,NaN,87,90,86,NaN,NaN,NaN,82
603526015,87,88,89,98,NaN,90,82,86,NaN,NaN,90,92,NaN,88,87,NaN,NaN,86,84,NaN,NaN,NaN,89
603526016,75,90,90,80,NaN,88,82,86,NaN,NaN,87,83,NaN,88,88,NaN,NaN,85,87,NaN,87,NaN,79
603526017,88,86,90,92,NaN,87,83,88,NaN,NaN,90,84,89,87,86,NaN,NaN,83,86,NaN,NaN,NaN,82
603526018,82,90,84,96,91,90,77,86,NaN,NaN,84,NaN,80,80,89,NaN,NaN,84,83,NaN,NaN,NaN,82
603526020,83,90,78,93,NaN,88,84,86,NaN,NaN,85,85,87,90,90,NaN,NaN,86,84,NaN,NaN,NaN,85
603526026,82,86,NaN,96,91,88,84,82,NaN,NaN,90,NaN,85,81,87,NaN,NaN,90,86,NaN,73,NaN,85
603526027,86,92,88,86,NaN,87,85,86,NaN,NaN,97,92,93,NaN,88,NaN,NaN,80,86,NaN,NaN,97,83
603526028,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603526029,80,86,83,NaN,89,89,NaN,86,83,NaN,NaN,NaN,NaN,85,87,81,86,80,86,80,NaN,NaN,84
603526031,82,85,NaN,94,93,86,80,86,NaN,NaN,94,NaN,88,93,90,NaN,NaN,86,85,NaN,85,NaN,81
603526032,85,87,83,80,NaN,87,82,88,NaN,NaN,87,83,83,77,92,NaN,NaN,93,84,NaN,NaN,NaN,82
603526034,86,87,88,86,NaN,89,86,86,NaN,NaN,94,88,NaN,97,92,NaN,NaN,88,87,NaN,86,NaN,81
603526037,80,87,87,95,NaN,87,81,82,NaN,NaN,86,80,85,72,80,NaN,NaN,80,85,NaN,NaN,NaN,79
603526009,NaN,87,84,NaN,93,88,NaN,86,84,NaN,90,NaN,NaN,82,89,75,NaN,81,87,80,NaN,NaN,82
603526025,NaN,90,86,93,92,89,NaN,82,NaN,NaN,94,NaN,92,75,94,73,NaN,85,85,83,NaN,NaN,81
