id,5265002@資料庫管理研討@1@1,5265003@顧客關係管理專題@1@1,5265024@企業資源規劃研討@1@1,5265035@會計數量方法@1@1,5265036@研究方法@1@1,5265044@會計實務個案分析@1@1,5265603@高等財務會計理論@1@1,5266007@會計與資訊科技專題研究（一）@1@1,5266009@中級會計學@1@1,5266010@新興金融商品之創新與應用@1@1,5265012@財金經理人英文溝通會話@2@1,5265014@資訊治理與內部控制研討@2@1,5265038@統計資料分析與應用@2@1,5265041@會計師產業專題@2@1,5265049@系統分析與設計研討@2@1,5265072@投資實務@2@1,5265074@資料探勘之商業應用@2@1,5265078@租稅專題研討@2@1,5265100@風險管理與電腦稽核@2@1,5265001@計量經濟學@1@1,5265005@公司治理@1@1,5265022@會計資訊系統研討@1@1,5265064@高等管理會計@1@1,5266008@會計與資訊科技專題研究（二）@1@1,5266011@財務會計實證專題研討@1@1,5265026@成本及管理會計學@2@1,5265079@企業評價分析@2@1,5266002@ 財務報表分析@2@1
604526002,90,90,NaN,93,93,88,85,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,93,90,-1,NaN,NaN,92,86,95,NaN,NaN,NaN,NaN
604526003,92,89,NaN,93,96,88,88,85,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,92,88,NaN,NaN,84,91,95,NaN,NaN,NaN,NaN
604526004,87,86,89,91,NaN,91,89,85,NaN,NaN,NaN,NaN,91,NaN,92,NaN,NaN,85,-1,NaN,89,90,91,98,NaN,NaN,NaN,NaN
604526006,89,88,80,NaN,94,85,NaN,86,86,NaN,NaN,88,NaN,NaN,NaN,NaN,84,83,73,NaN,NaN,82,84,90,NaN,-1,NaN,-1
604526008,82,NaN,77,85,89,86,83,84,NaN,NaN,92,NaN,NaN,NaN,70,91,NaN,80,-1,NaN,NaN,87,82,95,NaN,NaN,NaN,NaN
604526010,90,NaN,89,95,NaN,86,86,83,NaN,NaN,NaN,NaN,NaN,87,89,85,NaN,86,-1,NaN,NaN,86,86,95,92,NaN,NaN,NaN
604526011,88,83,86,87,NaN,90,82,87,NaN,NaN,90,NaN,NaN,NaN,85,70,NaN,88,-1,NaN,NaN,86,85,95,NaN,NaN,NaN,NaN
604526013,91,83,88,95,NaN,84,83,85,NaN,NaN,96,NaN,NaN,NaN,86,84,87,93,-1,NaN,NaN,93,91,95,NaN,NaN,NaN,NaN
604526015,89,84,81,95,90,84,73,86,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,83,-1,NaN,NaN,90,86,85,NaN,NaN,NaN,NaN
604526016,83,80,85,80,NaN,88,80,85,NaN,NaN,NaN,NaN,NaN,88,75,NaN,NaN,80,-1,NaN,78,85,88,90,NaN,NaN,NaN,NaN
604526017,90,NaN,93,87,91,88,79,86,NaN,NaN,92,84,NaN,NaN,86,90,NaN,NaN,-1,NaN,NaN,94,91,95,NaN,NaN,NaN,NaN
604526018,92,NaN,93,95,NaN,88,85,85,NaN,NaN,NaN,NaN,NaN,88,94,NaN,94,94,-1,NaN,NaN,93,90,95,94,NaN,NaN,NaN
604526019,77,84,87,85,NaN,85,82,96,NaN,NaN,85,NaN,86,NaN,74,NaN,NaN,80,-1,NaN,NaN,92,84,NaN,NaN,NaN,NaN,NaN
604526023,80,81,NaN,73,94,89,73,86,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,82,72,-1,NaN,78,81,77,80,NaN,NaN,NaN,NaN
604526030,91,NaN,90,95,NaN,88,85,84,NaN,NaN,NaN,89,NaN,NaN,93,NaN,91,80,-1,NaN,NaN,88,90,85,94,NaN,NaN,NaN
604526033,82,89,81,88,NaN,NaN,77,83,80,NaN,NaN,NaN,NaN,NaN,78,NaN,84,81,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604526036,80,NaN,86,73,NaN,89,77,87,82,NaN,88,NaN,NaN,NaN,70,76,83,83,-1,NaN,NaN,84,84,90,NaN,NaN,NaN,NaN
604526037,87,84,NaN,91,90,86,83,86,NaN,NaN,NaN,83,NaN,NaN,NaN,77,78,85,-1,NaN,NaN,90,85,90,NaN,NaN,NaN,NaN
604526038,88,82,88,95,NaN,86,80,84,NaN,NaN,NaN,86,80,NaN,89,NaN,NaN,86,-1,NaN,NaN,93,82,95,NaN,NaN,NaN,NaN
604526039,80,77,84,85,NaN,87,79,87,NaN,NaN,NaN,NaN,76,NaN,72,NaN,NaN,81,-1,NaN,NaN,85,80,90,90,NaN,NaN,NaN
