id,5305202@資料通訊與網路@1@1,5305209@決策支援系統@1@1,5305221@研究方法@1@1,5306206@資訊安全管理@1@1,5306209@遠距健康照護@1@1,5307124@電子化供應鏈管理@1@1,5307133@會計資訊系統@1@1,5307135@網路行銷策略@1@1,5307137@結構方程模式之原理與應用@1@1,5305226@多變量資料分析@2@1,5305233@企業資源規劃@2@1,5305235@網路消費者行為@2@1,5305241@英文學術論文寫作@2@1,5305243@資訊系統專案管理@2@1,5306116@電子商務與應用@2@1,5306210@統計分析應用研究@2@1,5306211@行銷資訊系統@2@1,5307127@醫學影像處理@2@1,5307130@醫療行銷管理@2@1,5307134@機器學習@2@1,5305228@資訊安全@1@1,5305242@物件導向系統分析與設計@1@1,5306207@多媒體系統@1@1,5306208@管理資訊系統研究@1@1,5307143@高等資料庫管理@1@1,5306222@服務與資訊管理@2@1,5306223@大數據的分析與應用@2@1,5307128@顧客關係管理@2@1,5305208@人工智慧與專家系統@2@1
603530002,88,NaN,98,NaN,NaN,NaN,NaN,96,94,92,NaN,NaN,92,NaN,96,NaN,NaN,90,NaN,94,NaN,99,94,90,NaN,NaN,NaN,NaN,NaN
603530006,94,NaN,92,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,87,NaN,88,90,NaN,92,NaN,92,NaN,71,NaN,86,NaN,86,NaN,NaN,NaN
603530007,86,NaN,83,NaN,NaN,NaN,NaN,91,82,88,NaN,NaN,87,NaN,88,NaN,NaN,81,NaN,90,87,71,NaN,84,NaN,NaN,NaN,NaN,NaN
603530009,94,NaN,91,NaN,NaN,NaN,NaN,91,NaN,85,NaN,NaN,94,NaN,95,NaN,NaN,96,NaN,96,NaN,71,95,84,NaN,87,NaN,NaN,NaN
603530010,87,88,94,NaN,NaN,92,NaN,92,NaN,90,NaN,90,94,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,96,90,NaN,NaN,NaN,NaN
603530011,90,NaN,85,NaN,NaN,92,NaN,91,NaN,83,NaN,NaN,96,NaN,95,NaN,NaN,94,NaN,94,NaN,71,92,94,NaN,NaN,NaN,NaN,NaN
603530012,93,NaN,89,NaN,NaN,NaN,NaN,94,93,84,NaN,NaN,84,NaN,93,88,NaN,87,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603530013,96,NaN,84,96,NaN,NaN,NaN,95,90,91,NaN,NaN,92,NaN,96,NaN,NaN,NaN,NaN,93,NaN,71,NaN,91,NaN,NaN,NaN,NaN,NaN
603530017,88,NaN,84,NaN,NaN,NaN,NaN,NaN,93,89,NaN,NaN,88,NaN,87,NaN,NaN,90,85,91,NaN,71,89,90,NaN,NaN,87,NaN,-1
603530018,84,89,80,91,NaN,NaN,NaN,NaN,87,81,NaN,NaN,87,NaN,90,NaN,NaN,89,NaN,91,NaN,71,NaN,83,NaN,NaN,NaN,NaN,NaN
603530019,94,NaN,83,NaN,NaN,NaN,90,NaN,96,76,NaN,NaN,NaN,NaN,87,97,91,93,NaN,88,NaN,71,NaN,87,NaN,NaN,NaN,NaN,NaN
603530020,82,NaN,70,NaN,NaN,90,80,NaN,88,77,NaN,NaN,NaN,90,86,87,NaN,NaN,NaN,84,NaN,71,NaN,84,NaN,NaN,NaN,NaN,NaN
603530023,81,NaN,77,NaN,NaN,NaN,NaN,91,90,77,NaN,NaN,84,NaN,86,NaN,NaN,91,NaN,92,NaN,71,88,87,NaN,NaN,NaN,NaN,NaN
