id,5305202@資料通訊與網路@1@1,5305209@決策支援系統@1@1,5305221@研究方法@1@1,5305242@物件導向系統分析與設計@1@1,5305246@影像處理與應用@1@1,5306114@醫療資訊系統@1@1,5306207@多媒體系統@1@1,5306208@管理資訊系統研究@1@1,5307124@電子化供應鏈管理@1@1,5307125@醫務品質管理@1@1,5307132@模式與模擬@1@1,5307133@會計資訊系統@1@1,5307135@網路行銷策略@1@1,5307138@高等統計學@1@1,5307140@高等企業資料通訊與網路@1@1,5305208@人工智慧與專家系統@2@1,5305226@多變量資料分析@2@1,5305231@策略與資訊管理@2@1,5305241@英文學術論文寫作@2@1,5305243@資訊系統專案管理@2@1,5306116@電子商務與應用@2@1,5306206@資訊安全管理@2@1,5306223@大數據的分析與應用@2@1,5306225@資訊管理個案研究@2@1,5307128@顧客關係管理@2@1,5307134@機器學習@2@1,5307146@健康知識探索與管理@2@1
605530001,86,83,70,NaN,91,NaN,NaN,NaN,NaN,NaN,92,NaN,88,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530002,99,87,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
605530003,99,84,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
605530005,79,84,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,87,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
605530006,79,NaN,70,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605530007,95,NaN,82,NaN,88,NaN,91,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605530008,99,NaN,99,NaN,87,NaN,NaN,NaN,90,NaN,NaN,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530009,99,NaN,99,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
605530011,96,85,NaN,99,97,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605530012,92,83,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
605530014,46,NaN,76,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605530018,80,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,85,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
605530019,82,83,83,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
605530021,90,NaN,85,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
605530022,77,81,93,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN
605530023,97,86,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
605530027,82,NaN,82,NaN,89,NaN,91,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530031,60,75,77,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530032,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
605530035,74,83,74,NaN,87,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
605530036,92,85,80,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530037,83,NaN,72,NaN,87,NaN,84,NaN,NaN,NaN,92,NaN,88,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530038,86,NaN,75,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605530039,93,NaN,87,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,90,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605530040,90,84,88,NaN,91,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605530041,98,85,94,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
605530042,78,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN
605530043,73,82,77,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
605530044,91,NaN,96,NaN,88,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
