id,5305202@資料通訊與網路@1@1,5305209@決策支援系統@1@1,5305221@研究方法@1@1,5305228@資訊安全@1@1,5305244@醫療決策支援系統@1@1,5306207@多媒體系統@1@1,5306208@管理資訊系統研究@1@1,5306209@遠距健康照護@1@1,5307125@醫務品質管理@1@1,5307133@會計資訊系統@1@1,5307135@網路行銷策略@1@1,5307137@結構方程模式之原理與應用@1@1,5305226@多變量資料分析@2@1,5305231@策略與資訊管理@2@1,5305233@企業資源規劃@2@1,5305235@網路消費者行為@2@1,5305243@資訊系統專案管理@2@1,5306116@電子商務與應用@2@1,5306210@統計分析應用研究@2@1,5306222@服務與資訊管理@2@1,5307127@醫學影像處理@2@1,5307128@顧客關係管理@2@1,5307134@機器學習@2@1,5305242@物件導向系統分析與設計@1@1,5305246@影像處理與應用@1@1,5307124@電子化供應鏈管理@1@1,5307140@高等企業資料通訊與網路@1@1,5305241@英文學術論文寫作@2@1,5306225@資訊管理個案研究@2@1
604530001,98,NaN,72,NaN,92,93,87,80,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,87,NaN,NaN,90,NaN,90,99,NaN,NaN,98,NaN,NaN
604530002,90,NaN,93,NaN,NaN,85,NaN,NaN,NaN,87,NaN,NaN,82,NaN,NaN,80,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604530004,81,NaN,61,NaN,NaN,88,85,NaN,NaN,NaN,95,NaN,70,NaN,94,NaN,NaN,93,NaN,NaN,NaN,NaN,86,84,87,NaN,NaN,NaN,NaN
604530005,85,NaN,77,NaN,88,90,90,NaN,NaN,NaN,91,NaN,88,NaN,91,82,NaN,93,90,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN
604530007,96,88,90,NaN,NaN,97,92,NaN,NaN,NaN,89,94,89,NaN,NaN,NaN,NaN,87,NaN,NaN,98,NaN,97,99,NaN,NaN,NaN,NaN,NaN
604530011,90,NaN,77,82,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,88,85,NaN,NaN,NaN,90,89,83,NaN,95,NaN,NaN
604530012,95,NaN,73,NaN,94,91,85,NaN,NaN,92,NaN,NaN,72,NaN,NaN,82,NaN,88,84,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
604530013,86,82,72,NaN,NaN,91,85,NaN,NaN,88,NaN,NaN,80,NaN,NaN,NaN,NaN,87,NaN,85,90,NaN,87,88,NaN,NaN,NaN,NaN,NaN
604530015,87,NaN,79,NaN,90,93,85,NaN,NaN,88,NaN,NaN,75,NaN,NaN,NaN,NaN,93,91,79,NaN,83,NaN,86,NaN,NaN,NaN,NaN,NaN
604530017,99,NaN,82,NaN,94,91,87,NaN,NaN,90,NaN,NaN,83,NaN,NaN,NaN,93,90,NaN,NaN,91,NaN,91,90,NaN,NaN,NaN,NaN,NaN
