id,6055007@德文法學名著選讀（一）@1@1,6055020@法律的經濟分析@1@1,6055053@商事法專題研究－公司法@1@1,6055067@商事法專題研究－國際海事法（二）@1@1,6055102@社會法專題研究（二）@1@1,6055105@憲法專題研究－政府組織（一）@1@1,6055109@行政法專題研究－行政作用法（一）@1@1,6055134@刑法基礎理論專題研究（三）@1@1,6055145@刑事證據法專題研究（一）@1@1,6055155@刑事訴訟法專題研究（一）@1@1,6055183@勞動法專題研究（三）@1@1,6055196@勞動法專論選讀與論文寫作（一）@1@1,6055207@國際公法基礎理論之研究（一）@1@1,6055211@行政法專題研究－行政救濟法（一）@1@1,6055243@憲法基礎理論專題研究（三）@1@1,6055317@民法專題研究（財產法）（一）@1@1,6055325@民事程序法專題研究（民事訴訟法）（一）@1@1,6055343@法學德文（一）@1@1,6055345@法學日文（一）@1@1,6055351@法學英文（一）@1@1,6055378@國際私法專題研究－涉外民事訴訟之理論與實務（三）@1@1,6055397@民事特別法專題研究（十五）－消費者保護法與公平交易法（二）@1@1,6055398@民事特別法專題研究（十六）－農業與法律@1@1,6055403@行政法基礎理論與行政組織法專題研究（一）@1@1,6055406@比較公法專題研究（一）@1@1,6055478@法理學及法學方法專題研究（三）@1@1,6055485@科際法律專題研究（三）@1@1,6055499@法律史專題研究（三）@1@1,6055507@刑事法學專題研究（一）@1@1,6055542@公法理論與實務專題研究（一）－憲法與行政法之整合@1@1,6055563@法院實習（一）@1@1,6055066@商事法專題研究－證券交易法@2@1,6055085@商事法專題研究（一）@2@1,6055090@商事法專題研究（保險法）@2@1,6055100@社會法專題研究（三）@2@1,6055106@憲法專題研究－政府組織（二）@2@1,6055128@刑法基礎理論專題研究（二）@2@1,6055144@刑事政策專題研究（一）@2@1,6055148@刑事證據法專題研究（二）@2@1,6055184@勞動法專題研究（四）@2@1,6055198@比較勞動契約法專題研究@2@1,6055212@行政法專題研究－行政救濟法（二）@2@1,6055213@行政法專題研究－行政作用法（二）@2@1,6055311@法學英文（二）@2@1,6055318@民法專題研究（財產法）（二）@2@1,6055326@民事程序法專題研究（民事訴訟法）（二）@2@1,6055329@民法專題研究（財產法）（八）@2@1,6055344@法學德文（二）@2@1,6055346@法學日文（二）@2@1,6055375@國際私法專題研究－涉外身分爭訟之理論與實務@2@1,6055386@民事特別法專題研究（四）－土地法@2@1,6055411@行政法基礎理論與行政組織法專題研究（二）@2@1,6055417@比較公法專題研究（二）@2@1,6055440@國際環境法專題研究（一）@2@1,6055457@法律社會學專題研究（一）@2@1,6055486@科際法律專題研究（四）@2@1,6055496@法律史專題研究（四）@2@1,6055501@刑事法學專題研究（二）@2@1,6055564@法院實習（二）@2@1,6055068@商事法專題研究－國際海事法（三）@1@1,6055086@商事法專題研究（二）@1@1,6055101@社會法專題研究（一）@1@1,6055103@憲法專題研究－基本人權（一）@1@1,6055147@刑事政策專題研究（二）@1@1,6055175@勞動法專題研究（一）@1@1,6055208@國際公法基礎理論之研究（二）@1@1,6055217@憲法訴訟專題研究（一）@1@1,6055247@憲法基礎理論專題研究（一）@1@1,6055310@法學英文（三）@1@1,6055321@民法專題研究（財產法）（五）@1@1,6055330@民法專題研究（財產法）（九）@1@1,6055335@法學日文（三）@1@1,6055380@民事特別法專題研究（一）－信託法@1@1,6055440@國際環境法專題研究（一）@1@1,6055448@國際私法專題研究－涉外民事訴訟之理論與實務（一）@1@1,6055479@法理學及法學方法專題研究（四）@1@1,6055487@科際法律專題研究（五）@1@1,6055497@法律史專題研究（一）@1@1,6055504@刑事法學專題研究（三）@1@1,6055543@公法理論與實務專題研究（二）－憲法與行政法之整合@1@1,6055008@德文法學名著選讀（二）@2@1,6055020@法律的經濟分析@2@1,6055087@商事法專題研究 (三)@2@1,6055104@憲法專題研究－基本人權（二）@2@1,6055149@刑事政策專題研究 (三)@2@1,6055156@刑事訴訟法專題研究（二）@2@1,6055176@勞動法專題研究（二）@2@1,6055199@日本勞動法專題研究@2@1,6055319@民法專題研究（財產法）（三）@2@1,6055336@法學日文（四）@2@1,6055353@法學英文（四）@2@1,6055379@國際私法專題研究－涉外身分爭訟之理論與實務 (二)@2@1,6055399@民事特別法專題研究(十五)－消費者保護法與公平交易法 (三)@2@1,6055441@國際環境法專題研究（二）@2@1,6055467@法理學及法學方法專題研究@2@1,6055488@科際法律專題研究 (六)@2@1,6055498@法律史專題研究（二）@2@1,6055505@刑事法學專題研究（四）@2@1,6055542@公法理論與實務專題研究（一）－憲法與行政法之整合@2@1,6055060@商事法專題研究－國際保險監理(一)@1@1,6055069@商事法專題研究－國際海事法(四)@1@1,6055088@商事法專題研究（四）@1@1,6055152@刑事政策專題研究 (四)@1@1,6055322@民法專題研究（財產法）（六）@1@1,6055375@國際私法專題研究－涉外身分爭訟之理論與實務@1@1,6055437@憲法理論與實務專題研究（一）@1@1,6055531@民法專題研究（財產法）（七）@1@1,6055070@商事法專題研究（保險法）(二)@2@1,6055244@憲法基礎理論專題研究（四）@2@1,6055325@民事程序法專題研究（民事訴訟法）（一）@2@1,6055438@憲法理論與實務專題研究（二）@2@1,6055478@法理學及法學方法專題研究（三）@2@1,6055485@科際法律專題研究（三）@2@1,6055064@商事法專題研究－國際保險監理(二)@1@1,6055329@民法專題研究（財產法）（八）@1@1,6055484@科際法律專題研究（二）－法律規訓與專業倫理（二）@2@1
601605005,88,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,95,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,92,95,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,NaN
601605060,NaN,93,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,88,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,86,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605004,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,93,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605007,NaN,NaN,81,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,99,93,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,96,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605009,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,93,NaN,91,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,92,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605016,NaN,NaN,88,NaN,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,84,NaN,NaN,NaN,NaN,NaN,87,95,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605019,NaN,NaN,86,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,92,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,91,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605039,NaN,NaN,86,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,95,NaN,89,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,89,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,99,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605047,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,88,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601605048,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,92,NaN,91,NaN,NaN,92,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
