id,6101097@法學緒論@2@1,6102026@民法繼承@2@1,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101054@英美法導論@1@1,6102025@民法親屬@1@1,6102092@行政法（一）@1@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6102090@民法概要@2@1,6102096@行政法（二）@2@1,6101041@憲法（一）@1@1,6101041@憲法（一）@1@2,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102060@日文（一）@1@1,6103025@民法債編各論（一）@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104006@強制執行法@1@1,6101042@憲法（二）@2@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103090@國際環境法@2@1,6104075@法律倫理學@2@1,6102001@法學方法論@1@1,6102062@德文（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6104002@法理學（一）@1@1,6102063@德文（二）@2@1,6103042@民事訴訟法（二）@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104009@法理學（二）@2@1,6104062@刑法實例演習（二）@2@1,6104003@法律社會學導論@1@1,6104014@國際私法@1@1,6104061@刑法實例演習（一）@1@1
401330001,74,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330002,71,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330003,83,81,NaN,86,NaN,84,75,NaN,79,NaN,78,94,NaN,NaN,NaN,79,83,NaN,80,NaN,NaN,89,NaN,NaN,79,NaN,NaN,77,80,86,NaN,NaN,NaN,NaN,81,82,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
401330004,77,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330005,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330006,76,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330007,74,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330009,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330010,71,NaN,79,82,NaN,NaN,84,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330011,73,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
