id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102025@民法親屬@1@1,6103071@法制史（一）@1@1,6104026@法律規訓與專業倫理（三）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101057@法學英文@2@1,6101888@學系服務學習@2@1,6102026@民法繼承@2@1,6104028@多元文化與全球社會@2@1,6104075@法律倫理學@2@1,6101095@拉丁法諺（一）@1@1,6102001@法學方法論@1@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6102062@德文（一）@1@1,6103096@國際公法案例研究@1@1,6104076@多元文化與全球正義（一）@1@1,6101096@拉丁法諺(二)@2@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102061@日文（二）@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6104009@法理學（二）@2@1,6104029@多元文化與全球社會 (二)@2@1,6104036@生命、自由與尊嚴的思辨 (二)@2@1,6103022@票據法@1@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6103083@公平交易法@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104061@刑法實例演習（一）@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6104084@新移民、弱勢族群與人性尊嚴（一）@1@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103090@國際環境法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104062@刑法實例演習（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6102050@刑法總則理論演習@1@1,6104014@國際私法@1@1,6102082@日文（二）@2@1,6104093@法律實習@2@1,6102064@法學英文（一）@1@1,6103077@刑法總則理論演習（二）@1@1
401610002,82,80,72,93,NaN,87,NaN,NaN,86,84,83,85,82,90,86,NaN,88,88,86,80,93,81,87,74,90,98,91,NaN,NaN,75,91,84,77,NaN,99,73,96,91,84,NaN,NaN,81,NaN,NaN,85,90,NaN,79,90,90,92,NaN,NaN,NaN,93,NaN,98,95,73,NaN,NaN,NaN,95,NaN,93,NaN,NaN
401610003,89,83,81,91,90,89,NaN,NaN,84,86,83,73,NaN,NaN,88,87,80,85,91,93,85,90,86,77,90,NaN,90,NaN,85,98,84,90,80,NaN,NaN,NaN,90,88,92,NaN,NaN,80,72,81,90,NaN,96,89,90,88,95,NaN,NaN,NaN,84,93,93,89,92,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN
401610004,72,76,74,90,NaN,75,NaN,87,80,81,78,75,NaN,91,74,86,73,NaN,83,72,78,80,70,61,90,94,NaN,91,NaN,78,68,82,69,NaN,NaN,NaN,NaN,78,78,93,87,81,74,79,61,NaN,NaN,61,75,76,80,NaN,90,88,70,84,90,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610006,88,82,75,87,NaN,92,78,NaN,78,87,81,83,NaN,90,75,88,83,NaN,92,72,77,88,83,63,92,NaN,NaN,NaN,NaN,63,76,87,67,NaN,NaN,NaN,82,87,62,NaN,NaN,82,76,81,71,NaN,NaN,NaN,84,77,97,NaN,NaN,NaN,74,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610007,74,81,86,81,90,66,NaN,NaN,76,92,83,81,NaN,NaN,79,NaN,79,NaN,87,90,82,82,74,66,NaN,97,NaN,NaN,NaN,75,73,85,76,NaN,94,NaN,95,79,78,NaN,NaN,76,74,82,84,NaN,NaN,81,95,78,91,80,NaN,NaN,92,91,93,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610008,80,79,79,77,NaN,92,NaN,NaN,88,91,82,84,NaN,91,84,NaN,78,NaN,90,96,80,88,79,65,NaN,99,NaN,92,NaN,NaN,80,89,80,NaN,99,NaN,90,86,62,92,NaN,82,NaN,83,NaN,NaN,99,70,82,89,92,80,NaN,NaN,NaN,86,NaN,NaN,67,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610009,84,81,84,87,91,94,NaN,NaN,86,90,82,76,NaN,NaN,87,NaN,84,NaN,90,76,88,87,80,76,90,99,NaN,NaN,NaN,75,85,83,87,NaN,97,NaN,88,88,81,NaN,NaN,86,NaN,81,82,NaN,NaN,82,87,85,87,NaN,NaN,NaN,95,88,93,NaN,86,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN
401610010,75,80,83,88,NaN,95,NaN,94,80,90,84,80,NaN,90,88,93,88,85,90,100,84,88,88,73,86,NaN,93,NaN,85,100,76,89,77,NaN,NaN,NaN,96,89,92,NaN,NaN,88,72,85,95,NaN,99,85,90,90,93,NaN,NaN,NaN,92,90,99,94,86,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
401610011,75,81,63,86,91,86,NaN,NaN,84,92,81,77,NaN,NaN,84,87,88,NaN,88,88,75,80,81,61,92,96,NaN,NaN,NaN,99,82,80,81,NaN,95,NaN,96,89,73,NaN,NaN,91,68,81,NaN,NaN,99,85,92,79,87,NaN,NaN,NaN,88,84,NaN,87,86,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN
401610012,78,78,79,66,NaN,70,NaN,NaN,74,93,78,76,NaN,91,78,60,71,NaN,82,74,68,81,69,61,NaN,NaN,NaN,NaN,NaN,45,71,83,66,NaN,NaN,NaN,90,79,77,NaN,NaN,69,70,76,72,NaN,60,60,70,77,86,NaN,NaN,NaN,80,81,90,NaN,63,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN
