id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102023@民法物權（一）@1@1,6102043@行政法總論（一）@1@1,6102062@德文（一）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101888@學系服務學習@2@1,6102063@德文（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103087@企業併購法@2@1,6104075@法律倫理學@2@1
405610001,83,68,74,77,86,68,NaN,NaN,97,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405610002,82,79,83,73,NaN,NaN,NaN,NaN,98,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1
405610003,92,72,79,83,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610004,94,87,86,85,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
405610005,87,76,83,83,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405610006,85,61,54,66,NaN,68,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405610007,88,78,82,77,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
405610008,82,50,55,63,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1
405610009,83,83,67,82,84,NaN,NaN,NaN,94,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610010,86,65,67,73,NaN,57,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405610011,85,60,52,65,90,56,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405610012,85,60,46,73,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
405610013,86,62,60,66,90,60,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405610014,76,48,38,78,NaN,NaN,57,80,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405610015,83,70,84,62,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405610016,85,68,71,86,NaN,79,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405610017,97,82,69,91,90,NaN,NaN,NaN,99,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610019,93,61,60,73,90,NaN,NaN,NaN,98,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405610020,80,72,66,83,NaN,81,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405610021,93,63,70,83,90,74,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610022,80,35,10,54,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405610023,74,53,36,73,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
405610025,88,68,67,65,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610026,90,60,69,78,NaN,81,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405610027,85,47,63,63,90,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610028,88,54,43,68,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405610030,90,79,88,89,NaN,83,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1
405610031,82,60,44,73,90,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610032,85,80,52,83,NaN,NaN,NaN,NaN,96,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405610033,87,84,62,83,90,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610034,91,73,64,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405610035,84,72,63,80,90,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405610036,88,63,48,74,NaN,72,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405610037,75,42,15,63,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
405610038,89,67,70,80,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405610039,91,77,67,73,92,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405610040,71,74,62,72,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
