id,6101020@民法總則@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102085@德文（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6101001@法學緒論@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101097@法學緒論@2@1,6101888@學系服務學習@2@1,6102019@民法債編總論（一）@2@1,6102020@民法債編總論（二）@2@1,6102026@民法繼承@2@1,6102086@德文（二）@2@1,6103058@日文法學名著選讀（二）@2@1,6102001@法學方法論@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102027@民法債編各論（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6104026@法律規訓與專業倫理（三）@1@1,6102024@民法物權（二）@2@1,6102028@民法債編各論（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102061@日文（二）@2@1,6102063@德文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103072@法制史（二）@2@1,6103083@公平交易法@2@1,6103090@國際環境法@2@1,6104028@多元文化與全球社會@2@1,6104075@法律倫理學@2@1,6102064@法學英文（一）@1@1,6103022@票據法@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103067@日文法學名著選讀（三）@1@1,6103071@法制史（一）@1@1,6103083@公平交易法@1@1,6103096@國際公法案例研究@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104035@生命、自由與尊嚴的思辨@1@1,6104041@法律經濟學@1@1,6104076@多元文化與全球正義（一）@1@1,6102065@法學英文 (二)@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103084@消費者保護法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104009@法理學（二）@2@1,6104036@生命、自由與尊嚴的思辨 (二)@2@1,6102019@民法債編總論（一）@1@1,6102035@刑事政策@1@1,6102062@德文（一）@1@1,6103025@民法債編各論（一）@1@1,6104014@國際私法@1@1,6104061@刑法實例演習（一）@1@1,6102082@日文（二）@2@1,6103026@民法債編各論（二）@2@1,6104062@刑法實例演習（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1
400610003,80,74,80,73,82,96,NaN,NaN,63,60,73,NaN,60,60,62,NaN,NaN,80,60,67,67,82,68,74,88,NaN,67,NaN,82,60,NaN,96,88,69,NaN,NaN,NaN,NaN,77,NaN,78,76,85,NaN,NaN,NaN,NaN,60,90,80,88,NaN,NaN,NaN,NaN,82,70,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,70,NaN,NaN
400610004,69,63,61,74,NaN,NaN,NaN,82,67,61,NaN,83,55,46,46,NaN,80,76,62,63,66,80,67,71,70,NaN,63,76,76,61,NaN,89,76,64,NaN,NaN,86,NaN,69,NaN,77,79,79,NaN,NaN,85,90,70,70,70,NaN,NaN,NaN,NaN,78,81,60,NaN,60,65,NaN,NaN,NaN,94,NaN,84,NaN,NaN,NaN,NaN,NaN
400610005,70,70,62,99,85,99,NaN,90,68,80,NaN,NaN,91,91,62,NaN,NaN,89,71,65,83,83,73,69,NaN,NaN,66,88,81,62,NaN,97,98,83,NaN,NaN,NaN,NaN,76,NaN,81,84,88,NaN,NaN,NaN,NaN,70,78,78,96,89,94,NaN,75,79,69,NaN,82,80,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,85,NaN
400610007,84,75,73,69,83,NaN,NaN,85,73,78,NaN,NaN,70,70,85,NaN,NaN,79,79,81,73,83,81,76,66,NaN,74,84,87,87,NaN,NaN,NaN,76,NaN,NaN,76,79,82,NaN,79,80,88,NaN,NaN,80,NaN,NaN,82,62,84,NaN,85,NaN,NaN,85,NaN,NaN,78,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610009,63,75,75,77,86,88,NaN,85,72,78,NaN,NaN,57,57,70,NaN,NaN,78,71,64,68,86,72,66,70,89,76,81,89,70,85,84,83,76,NaN,NaN,NaN,NaN,81,NaN,78,86,90,NaN,NaN,81,NaN,70,83,80,87,NaN,NaN,NaN,NaN,84,85,NaN,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610010,83,73,89,98,NaN,NaN,NaN,90,80,83,NaN,88,79,79,83,NaN,NaN,84,82,61,80,85,72,77,80,NaN,75,82,88,60,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,77,NaN,75,87,90,NaN,NaN,NaN,NaN,NaN,87,91,89,NaN,NaN,NaN,NaN,87,85,87,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610011,80,70,83,82,84,99,NaN,88,71,85,NaN,NaN,57,57,85,NaN,NaN,87,77,74,76,84,80,86,95,NaN,76,83,85,77,NaN,NaN,95,71,NaN,NaN,90,NaN,90,NaN,76,NaN,80,NaN,NaN,NaN,NaN,75,95,94,NaN,NaN,NaN,NaN,79,84,82,NaN,82,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,92
400610012,90,70,83,71,NaN,NaN,NaN,76,69,78,NaN,84,83,83,85,NaN,NaN,84,77,80,84,87,75,83,NaN,NaN,84,85,84,82,NaN,NaN,98,65,80,NaN,NaN,NaN,87,NaN,78,82,89,85,NaN,85,NaN,64,82,78,90,NaN,NaN,NaN,NaN,76,80,NaN,62,77,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
400610013,82,70,85,95,83,93,NaN,87,68,86,NaN,NaN,74,74,72,NaN,NaN,85,83,63,80,81,81,77,NaN,NaN,80,82,82,70,NaN,NaN,82,87,NaN,79,NaN,NaN,NaN,NaN,79,80,93,NaN,88,NaN,NaN,82,86,84,NaN,NaN,NaN,NaN,NaN,87,88,86,85,78,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400610014,89,76,75,68,NaN,95,NaN,80,69,76,NaN,81,83,83,77,97,NaN,86,79,75,67,89,73,63,85,NaN,70,82,90,71,NaN,NaN,88,68,NaN,NaN,NaN,NaN,79,NaN,81,83,90,NaN,NaN,NaN,NaN,61,83,84,91,NaN,NaN,NaN,NaN,84,70,NaN,60,78,NaN,NaN,85,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
400610015,85,70,79,77,84,95,NaN,NaN,67,74,84,NaN,79,79,79,91,NaN,83,67,73,71,72,77,78,82,NaN,70,77,78,65,NaN,NaN,79,82,NaN,NaN,NaN,NaN,75,NaN,74,78,93,NaN,NaN,75,NaN,81,88,85,84,NaN,NaN,80,NaN,84,80,NaN,64,80,NaN,NaN,NaN,NaN,NaN,81,72,NaN,NaN,NaN,NaN
400610016,80,69,81,81,NaN,NaN,NaN,84,72,73,NaN,90,78,78,87,NaN,NaN,88,81,78,77,86,77,74,80,NaN,75,84,87,61,NaN,NaN,97,79,NaN,NaN,NaN,NaN,69,NaN,80,84,79,NaN,NaN,86,NaN,75,78,78,96,NaN,90,NaN,NaN,85,75,NaN,75,78,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
400610017,89,75,77,73,80,97,NaN,81,60,67,NaN,NaN,90,90,82,NaN,NaN,83,71,65,74,89,77,75,85,NaN,70,74,84,77,90,95,NaN,71,NaN,NaN,NaN,NaN,84,NaN,73,84,87,NaN,NaN,80,NaN,74,79,86,86,NaN,NaN,NaN,NaN,86,78,NaN,75,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610018,83,75,77,68,NaN,99,NaN,83,75,81,NaN,87,83,83,89,NaN,NaN,84,80,76,76,85,81,71,NaN,90,75,84,81,75,NaN,99,87,78,NaN,NaN,NaN,NaN,87,NaN,83,84,97,NaN,NaN,89,NaN,93,82,88,88,NaN,NaN,NaN,NaN,87,79,NaN,84,85,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
400610019,87,75,73,88,87,99,NaN,89,67,80,NaN,NaN,98,98,89,NaN,NaN,82,86,86,80,87,87,80,NaN,90,88,91,89,88,NaN,97,85,74,NaN,NaN,89,NaN,90,NaN,81,80,92,NaN,NaN,NaN,95,84,93,90,90,NaN,NaN,NaN,NaN,87,95,NaN,81,85,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400610020,77,76,60,89,NaN,99,NaN,73,66,65,NaN,85,73,73,88,NaN,NaN,78,79,90,72,86,77,61,92,92,80,81,88,60,NaN,99,98,87,NaN,80,87,91,77,NaN,81,83,92,NaN,NaN,NaN,NaN,77,76,78,NaN,NaN,NaN,NaN,NaN,85,73,NaN,74,80,87,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
400610021,80,75,80,80,81,99,NaN,84,67,66,NaN,NaN,92,92,87,NaN,NaN,88,85,83,75,85,85,77,82,NaN,75,80,81,80,88,97,NaN,78,NaN,NaN,NaN,NaN,84,NaN,82,86,87,NaN,NaN,80,NaN,85,84,80,86,NaN,NaN,NaN,NaN,86,93,89,88,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610022,70,70,82,69,NaN,99,NaN,88,71,75,NaN,82,75,75,73,NaN,NaN,86,79,70,67,84,73,67,90,NaN,75,78,87,64,NaN,95,80,81,NaN,NaN,NaN,NaN,81,NaN,76,76,74,NaN,NaN,88,NaN,79,76,85,86,NaN,NaN,NaN,NaN,83,82,NaN,82,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610023,80,76,71,65,81,NaN,NaN,89,69,60,NaN,NaN,67,67,90,NaN,NaN,86,81,66,80,76,82,72,93,NaN,80,81,83,62,NaN,NaN,91,76,NaN,NaN,NaN,NaN,87,NaN,90,85,90,NaN,NaN,86,NaN,66,80,94,86,NaN,NaN,NaN,NaN,87,55,NaN,65,78,NaN,NaN,NaN,NaN,NaN,81,79,NaN,NaN,89,NaN
400610024,70,65,94,69,NaN,NaN,NaN,84,65,75,NaN,72,70,70,86,NaN,NaN,83,71,76,74,84,75,72,85,NaN,76,82,87,67,NaN,96,78,88,NaN,NaN,NaN,NaN,82,NaN,76,77,91,NaN,NaN,88,NaN,85,72,82,85,NaN,NaN,NaN,NaN,82,84,NaN,69,84,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610025,90,79,76,88,86,99,NaN,89,71,66,NaN,NaN,91,91,88,NaN,NaN,87,80,76,73,79,84,76,86,90,75,81,81,73,90,98,92,78,NaN,80,NaN,NaN,84,NaN,84,86,94,88,NaN,NaN,NaN,85,83,90,NaN,NaN,NaN,NaN,NaN,85,89,85,90,82,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400610026,90,72,86,95,NaN,NaN,NaN,NaN,70,78,NaN,81,81,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610027,88,71,68,72,84,NaN,NaN,90,64,75,NaN,NaN,81,81,80,NaN,NaN,80,79,69,69,80,69,72,85,NaN,71,84,82,83,NaN,NaN,99,80,NaN,NaN,NaN,NaN,81,NaN,74,84,93,NaN,NaN,NaN,NaN,79,68,78,86,NaN,NaN,NaN,NaN,87,82,NaN,81,65,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
400610028,76,71,68,63,NaN,NaN,NaN,89,73,74,NaN,80,77,77,84,NaN,NaN,83,87,82,78,89,83,87,92,NaN,76,83,85,86,NaN,NaN,81,80,NaN,NaN,NaN,NaN,86,NaN,85,84,97,92,NaN,NaN,NaN,93,78,85,96,NaN,NaN,NaN,NaN,87,80,NaN,81,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610029,79,40,NaN,6,76,NaN,NaN,85,-1,-1,NaN,NaN,NaN,70,NaN,NaN,NaN,71,72,14,NaN,70,72,82,NaN,NaN,62,NaN,61,-1,NaN,NaN,60,-1,NaN,NaN,16,NaN,75,6,NaN,62,NaN,NaN,NaN,4,NaN,74,66,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,68,NaN,76,NaN,NaN,54,63,NaN,NaN,NaN,NaN,NaN
400610030,80,69,73,76,NaN,94,NaN,88,70,64,NaN,90,81,81,72,NaN,NaN,92,75,60,64,85,72,64,NaN,NaN,72,76,83,62,NaN,NaN,98,70,NaN,NaN,NaN,NaN,78,NaN,78,84,98,NaN,NaN,NaN,NaN,77,92,89,85,89,NaN,NaN,NaN,76,73,NaN,81,79,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
400610031,60,69,70,77,80,99,85,83,60,82,NaN,NaN,76,76,89,NaN,90,85,75,80,80,89,84,78,96,92,85,82,85,69,NaN,93,86,81,NaN,NaN,NaN,NaN,87,NaN,78,84,NaN,NaN,NaN,NaN,NaN,71,94,NaN,NaN,NaN,NaN,NaN,NaN,85,99,NaN,76,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,78,NaN
400610032,76,69,60,74,NaN,NaN,NaN,78,65,60,NaN,86,57,57,63,NaN,NaN,79,76,82,71,78,72,77,76,NaN,70,83,72,61,85,NaN,88,65,NaN,NaN,NaN,NaN,71,NaN,77,75,63,NaN,82,88,NaN,60,88,78,84,88,NaN,NaN,NaN,72,81,85,61,76,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
400610034,82,75,72,68,NaN,NaN,NaN,89,61,60,NaN,83,75,75,80,NaN,NaN,89,93,79,78,81,82,77,75,NaN,90,88,82,90,84,95,96,85,NaN,NaN,NaN,NaN,89,NaN,83,89,85,NaN,NaN,88,NaN,87,92,80,92,NaN,NaN,NaN,NaN,86,80,NaN,81,86,NaN,NaN,93,99,NaN,88,NaN,NaN,NaN,NaN,NaN
400610035,79,74,69,78,81,NaN,NaN,86,65,84,NaN,NaN,69,69,87,NaN,NaN,88,78,80,74,69,82,70,90,NaN,78,73,78,73,90,NaN,80,89,NaN,NaN,NaN,NaN,88,NaN,86,88,86,NaN,NaN,88,NaN,86,88,78,87,NaN,NaN,NaN,NaN,84,75,86,76,72,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400610036,80,69,67,90,NaN,96,NaN,72,61,70,NaN,82,62,62,81,97,NaN,73,71,65,72,87,71,62,NaN,NaN,75,82,89,70,NaN,NaN,77,78,NaN,NaN,NaN,NaN,72,NaN,85,86,84,NaN,NaN,NaN,NaN,77,83,80,85,NaN,86,80,NaN,84,85,NaN,68,70,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
400610037,79,78,83,91,88,NaN,NaN,84,68,94,NaN,NaN,100,100,90,NaN,NaN,77,78,86,80,85,82,75,92,NaN,80,88,86,76,95,NaN,97,80,NaN,NaN,NaN,92,87,NaN,85,87,98,NaN,NaN,90,NaN,90,83,94,92,NaN,100,NaN,NaN,88,97,NaN,91,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
