id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@2,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302004@國際公法（二）@2@2,6302025@所得稅法@2@1,6302003@國際公法（一）@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6303009@票據法@1@1,6304016@著作權法@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303035@兩岸信託法@2@1,6304006@證券交易法@2@1,6302012@營業稅法@1@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304036@智慧財產權法實例演習@1@1,6302024@法學英文@2@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303033@稅捐稽徵法@2@1,6303034@法律倫理學@2@1,6303037@專利法@2@1,6303041@國際經濟法導論@2@1,6303042@破產法暨消費者債務清理條例@2@1,6304008@國際私法（二）@2@1
403630001,62,72,80,73,84,61,72,68,85,63,NaN,NaN,71,78,NaN,60,81,NaN,66,73,63,60,NaN,68,80,65,-1,64,NaN,NaN,85,68,69,75,80,40,NaN,NaN,NaN,67,86,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630002,62,80,60,70,NaN,66,NaN,60,91,77,66,80,NaN,88,82,70,81,NaN,66,77,NaN,78,82,74,78,79,-1,75,81,NaN,NaN,70,77,74,85,66,NaN,NaN,NaN,63,87,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630003,92,88,65,NaN,80,84,NaN,72,88,82,NaN,NaN,NaN,99,84,83,93,83,84,91,NaN,89,88,85,94,85,-1,87,NaN,NaN,NaN,95,90,77,97,70,NaN,NaN,93,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1
403630004,80,80,55,NaN,NaN,57,NaN,61,86,62,NaN,83,NaN,-1,45,55,73,NaN,78,60,49,64,60,64,60,67,60,77,NaN,NaN,NaN,68,76,73,89,60,NaN,NaN,NaN,63,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630005,73,88,84,NaN,80,72,NaN,72,89,65,NaN,NaN,NaN,82,72,63,84,NaN,85,85,NaN,71,83,71,83,71,81,NaN,NaN,NaN,NaN,78,83,78,85,65,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630006,64,80,62,75,NaN,70,70,60,85,66,90,89,NaN,NaN,NaN,64,65,NaN,70,73,NaN,60,77,64,60,68,-1,63,NaN,NaN,88,79,70,66,78,60,81,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630007,69,82,79,NaN,80,70,NaN,65,86,57,NaN,NaN,NaN,78,65,77,86,NaN,69,92,NaN,70,80,74,92,75,-1,74,NaN,NaN,99,85,86,79,82,60,83,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630008,89,84,55,74,NaN,78,NaN,66,91,73,NaN,89,NaN,90,75,77,96,NaN,79,81,NaN,74,82,78,80,80,79,85,NaN,NaN,NaN,76,84,74,88,72,NaN,NaN,NaN,76,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630009,64,82,60,NaN,80,76,82,60,86,69,NaN,NaN,NaN,65,NaN,77,95,NaN,73,87,NaN,76,77,74,88,76,NaN,NaN,NaN,NaN,NaN,78,88,75,93,81,76,70,NaN,82,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403630010,67,76,75,65,NaN,53,NaN,69,82,48,NaN,80,NaN,62,54,66,80,66,68,80,NaN,73,86,73,86,73,-1,75,NaN,NaN,80,71,83,78,88,63,NaN,NaN,NaN,60,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630011,63,74,79,80,80,81,77,74,90,63,89,NaN,NaN,89,NaN,75,90,89,71,82,NaN,66,82,70,90,63,-1,NaN,NaN,NaN,85,77,83,81,91,66,NaN,NaN,77,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1
403630012,83,74,60,NaN,NaN,81,76,62,87,83,NaN,83,76,88,NaN,77,89,NaN,80,68,NaN,72,NaN,78,91,76,79,78,84,NaN,NaN,67,84,79,82,69,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630013,69,84,65,80,80,82,NaN,71,86,77,NaN,NaN,NaN,80,72,76,80,NaN,83,87,NaN,72,83,75,60,70,-1,81,NaN,NaN,89,78,76,77,78,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630014,77,90,60,NaN,NaN,70,NaN,60,78,73,NaN,83,NaN,76,56,71,88,NaN,72,86,NaN,61,74,64,91,73,-1,NaN,NaN,NaN,NaN,73,80,77,81,60,86,73,NaN,NaN,87,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN
403630017,75,84,67,89,80,80,NaN,73,89,83,NaN,NaN,NaN,80,77,73,88,90,75,82,NaN,78,87,81,83,73,-1,89,NaN,NaN,99,79,84,77,97,60,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
