id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302002@民法繼承@2@1,6303015@金融法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6302025@所得稅法@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303020@信託法@2@1,6303042@破產法暨消費者債務清理條例@2@1,6304006@證券交易法@2@1
404630001,83,87,55,NaN,90,72,83,65,NaN,NaN,-1,NaN,70,82,80,75,71,84,70,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404630002,88,87,66,NaN,NaN,79,93,64,NaN,87,-1,NaN,92,88,84,81,80,NaN,84,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
404630003,66,83,64,NaN,45,-1,75,65,NaN,NaN,-1,35,68,87,84,72,70,NaN,73,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630004,83,81,61,86,NaN,91,91,82,90,87,-1,NaN,64,85,84,83,80,94,85,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630005,96,90,76,77,86,76,90,76,90,NaN,-1,NaN,71,83,89,83,77,NaN,94,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630006,86,91,71,88,NaN,80,95,68,NaN,87,-1,NaN,89,88,89,80,77,NaN,89,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630007,89,83,74,90,88,85,95,81,85,NaN,-1,NaN,84,84,90,77,92,NaN,78,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630008,95,89,66,79,NaN,76,86,68,NaN,77,60,NaN,82,80,80,84,82,NaN,89,70,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404630009,94,95,65,83,90,93,95,69,87,NaN,-1,NaN,76,90,94,85,80,95,96,81,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404630010,89,87,76,86,NaN,83,92,78,83,87,-1,NaN,77,76,92,72,91,NaN,83,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630011,86,83,50,NaN,90,76,91,72,NaN,NaN,-1,NaN,95,80,91,83,81,NaN,96,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
404630012,51,61,50,NaN,NaN,10,50,55,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404630014,91,83,75,80,NaN,83,70,64,-1,74,-1,NaN,82,78,90,87,81,NaN,80,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630015,86,89,67,73,92,90,97,67,87,NaN,-1,NaN,80,85,95,85,85,NaN,89,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630016,75,69,63,NaN,NaN,74,76,66,-1,74,61,NaN,66,77,88,80,71,NaN,78,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630017,94,89,68,NaN,94,88,85,79,NaN,NaN,-1,NaN,76,82,90,80,90,81,82,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN
404630018,85,73,60,NaN,NaN,79,81,66,NaN,10,-1,NaN,63,64,NaN,73,80,NaN,82,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404630019,96,85,71,95,96,91,97,63,89,NaN,-1,NaN,79,88,91,88,80,82,90,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
404630020,72,85,78,73,NaN,71,85,66,NaN,80,-1,NaN,53,67,77,68,71,NaN,68,61,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630021,87,93,55,NaN,94,73,93,79,NaN,NaN,60,-1,81,81,78,83,73,72,82,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630022,90,87,68,NaN,NaN,84,85,78,NaN,61,67,NaN,72,81,83,81,77,72,83,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
