id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302019@民法債編總論（一）@1@1,6303021@刑事訴訟法（一）@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6302025@所得稅法@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303022@刑事訴訟法（二）@2@1
404725032,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404725036,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404725015,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404725038,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404725005,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404725035,84,84,56,NaN,NaN,73,88,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404725021,NaN,84,85,84,90,81,95,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,NaN
404725028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404725042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404725043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
