id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302032@財經法律講座@2@1,6304004@金融法@2@1,6304020@法律倫理學@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302003@國際公法（一）@1@2,6302005@刑法分則（一）@1@1,6302007@刑法實例演習（一）@1@1,6302009@消費者保護法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303020@信託法@1@1,6303021@刑事訴訟法（一）@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302004@國際公法（二）@2@2,6302006@刑法分則（二）@2@1,6302008@刑法實例演習（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302018@英美法導論（二）@2@1,6302020@民法債編總論（二）@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303022@刑事訴訟法（二）@2@1,6303001@民法債編各論（一）@1@1,6303003@民事訴訟法（一）@1@1,6303005@商標專利法（一）@1@1,6303024@稅法總論@1@1,6304003@國際貿易法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304016@著作權法@1@1,6304023@商法實例演習（一）@1@1,6302025@所得稅法@2@1,6302058@國際公法@2@1,6303002@民法債編各論（二）@2@1,6303004@民事訴訟法（二）@2@1,6303006@商標專利法（二）@2@1,6303012@公平交易法@2@1,6303015@金融法@2@1,6303029@稅法實例演習@2@1,6303033@稅捐稽徵法@2@1,6303034@法律倫理學@2@1,6304008@國際私法（二）@2@1,6304024@商法實例演習(二)@2@1,6304025@兩岸企業併購法@2@1,6302012@營業稅法@1@1,6304006@證券交易法@1@1,6304027@法律實務(一)@1@1,6304029@國際貿易法@1@1,6304057@智慧財產權法重要案例研討@1@1,6302024@法學英文@2@1,6304005@強制執行法@2@1,6304023@商法實例演習（一）@2@1,6304028@民事審判實務@2@1,6304030@民事實體與程序法綜合演習@2@1,6303036@商標法@1@1,6303038@銀行法@1@1,6303037@專利法@2@1,6304012@行政法實例演習@2@1,6304056@企業併購法@1@1
400630001,60,70,66,77,82,50,78,63,NaN,NaN,NaN,NaN,NaN,60,76,66,60,67,60,60,60,63,60,68,60,NaN,69,35,30,NaN,63,69,70,60,NaN,0,60,NaN,30,74,65,60,81,NaN,70,63,63,NaN,NaN,74,60,76,40,80,67,NaN,NaN,75,NaN,NaN,NaN,NaN,63,50,65,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630003,75,64,71,87,80,70,78,67,77,NaN,NaN,NaN,NaN,60,81,NaN,70,70,NaN,76,81,NaN,70,77,84,74,77,60,76,NaN,68,NaN,84,90,NaN,60,75,60,69,68,NaN,74,80,NaN,NaN,70,63,NaN,NaN,NaN,77,82,60,NaN,85,87,NaN,78,NaN,91,64,86,79,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630004,97,73,76,NaN,NaN,94,92,80,NaN,85,NaN,NaN,NaN,90,89,NaN,87,78,NaN,86,99,89,96,94,97,91,82,94,92,NaN,92,86,90,97,NaN,89,83,89,88,95,96,83,98,NaN,NaN,89,89,NaN,NaN,NaN,93,94,82,NaN,94,95,NaN,98,NaN,NaN,99,NaN,96,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630005,80,62,70,65,80,69,78,71,NaN,NaN,NaN,NaN,NaN,74,75,NaN,68,61,NaN,80,68,60,68,75,74,80,73,60,76,NaN,60,65,77,63,54,60,66,78,63,72,76,60,79,NaN,NaN,62,77,NaN,NaN,NaN,60,80,60,NaN,85,NaN,NaN,75,NaN,NaN,NaN,NaN,67,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630006,90,60,75,NaN,NaN,80,85,63,NaN,85,NaN,83,NaN,63,60,NaN,70,63,NaN,67,72,NaN,79,78,76,NaN,78,60,68,NaN,64,75,67,79,NaN,74,74,NaN,65,79,72,60,79,NaN,NaN,62,72,NaN,NaN,NaN,64,80,60,NaN,NaN,84,NaN,82,NaN,NaN,71,NaN,60,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630007,81,79,74,81,85,68,81,71,NaN,NaN,NaN,NaN,NaN,74,81,NaN,85,75,NaN,72,87,NaN,79,88,89,79,73,83,81,NaN,86,77,78,82,NaN,76,78,NaN,83,88,76,72,84,NaN,NaN,83,88,NaN,NaN,NaN,87,90,66,NaN,91,95,95,84,NaN,NaN,NaN,NaN,82,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630008,70,86,74,NaN,NaN,63,92,69,NaN,85,NaN,86,NaN,74,74,NaN,83,77,NaN,77,73,75,85,89,82,82,75,84,75,NaN,75,75,76,70,NaN,74,72,NaN,77,76,76,61,86,NaN,NaN,67,79,NaN,NaN,NaN,83,87,60,NaN,NaN,90,88,79,NaN,NaN,80,NaN,71,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630009,91,91,78,80,85,89,88,73,94,NaN,NaN,NaN,NaN,83,81,NaN,87,82,88,92,87,NaN,87,91,93,98,85,94,88,NaN,87,85,92,95,NaN,86,93,90,87,84,92,74,92,NaN,NaN,90,89,NaN,NaN,NaN,93,89,66,NaN,90,90,98,84,NaN,NaN,NaN,NaN,91,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630010,85,97,75,NaN,NaN,71,86,66,NaN,80,NaN,NaN,NaN,46,68,NaN,77,NaN,NaN,70,68,NaN,70,74,60,NaN,60,62,86,NaN,60,NaN,68,63,NaN,63,75,NaN,67,60,51,63,60,NaN,75,65,72,NaN,82,NaN,65,NaN,66,NaN,75,NaN,82,50,74,NaN,NaN,NaN,60,NaN,60,0,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,84
400630011,92,81,75,76,83,86,87,78,NaN,NaN,NaN,NaN,NaN,85,81,NaN,90,79,NaN,76,92,NaN,93,89,81,NaN,66,75,65,NaN,93,81,80,60,67,89,79,NaN,73,91,85,60,78,NaN,NaN,83,72,NaN,NaN,NaN,84,80,72,NaN,83,NaN,NaN,69,NaN,NaN,NaN,NaN,83,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
