id,6305030@著作權法專題研究@1@1,6306001@稅法案例專題研究（三）@1@1,6306002@金融刑法專題研究（一）@1@1,6306021@法學英文（一）@1@1,6306105@國際貿易法專題研究（一）@1@1,6306115@消費者保護法專題研究@1@1,6306207@智慧財產權法總論專題研究（一）@1@1,6306303@金融法專題研究@1@1,6306315@美國法總論專題研究（一）@1@1,6306402@公司法專題研究@1@1,6306502@憲法專題研究@1@1,6306504@國際經濟法專題研究（一）@1@1,6306509@稅捐稽徵法專題研究（一）@1@1,6306004@財產法專題研究（二）@2@1,6306005@金融刑法專題研究（二）@2@1,6306006@稅法案例專題研究（四）@2@1,6306022@法學英文（二）@2@1,6306106@國際貿易法專題研究（二）@2@1,6306108@證券交易法專題研究@2@1,6306125@行政法專題研究@2@1,6306209@專利制度專題研究@2@1,6306212@資訊法律專題研究@2@1,6306213@智慧財產權法總論專題研究（二）@2@1,6306316@美國法總論專題研究（二）@2@1,6306510@稅捐稽徵法專題研究（二）@2@1,6306514@國際經濟法專題研究（二）@2@1,6305067@國際投資法專題研究（一）@1@1,6306009@刑事訴訟法專題研究（一）@1@1,6306011@兩岸民事法專題研究（一）@1@1,6306210@商標制度專題研究@1@1,6306216@生物科技法律專題研究@1@1,6306505@稅法基礎理論專題研究（一）@1@1,6306512@稅捐稽徵法專題研究（三）@1@1,6305072@國際智慧財產權法專題研究@2@1,6306303@金融法專題研究@2@1,6306515@稅法基礎理論專題研究（二）@2@1,6306517@稅捐稽徵法專題研究（四）@2@1,6305003@法學英文(二)-契約法@2@1,6306016@行政執行法@2@1,6305084@稅法案例專題研究（二）@2@1
600630008,89,NaN,NaN,90,87,NaN,92,83,NaN,86,76,86,NaN,NaN,NaN,NaN,88,NaN,NaN,84,NaN,87,82,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600630010,95,NaN,NaN,95,92,NaN,78,94,NaN,94,88,87,NaN,NaN,NaN,NaN,92,NaN,88,86,NaN,90,86,NaN,NaN,86,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600630013,93,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,88,89,85,88,NaN,NaN,NaN,NaN,85,NaN,86,NaN,91,85,NaN,NaN,85,NaN,NaN,NaN,87,NaN,89,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
600630014,90,NaN,NaN,89,NaN,NaN,76,87,NaN,90,86,86,NaN,NaN,NaN,NaN,88,92,NaN,87,NaN,87,80,NaN,NaN,92,NaN,NaN,91,88,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
600630017,91,NaN,NaN,NaN,NaN,NaN,88,92,NaN,91,90,87,NaN,NaN,88,NaN,NaN,90,88,87,NaN,NaN,76,NaN,NaN,87,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600630001,NaN,92,NaN,89,90,NaN,90,91,NaN,91,82,88,NaN,NaN,NaN,93,89,NaN,87,90,NaN,89,85,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92
600630002,NaN,92,NaN,NaN,NaN,NaN,85,90,NaN,91,93,85,89,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,88,89,NaN,NaN,NaN,89,NaN,85,NaN
600630016,NaN,NaN,85,NaN,90,93,83,NaN,NaN,88,91,90,NaN,NaN,88,NaN,NaN,89,87,88,NaN,NaN,80,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
600630019,NaN,NaN,87,NaN,90,NaN,90,NaN,NaN,90,76,84,88,NaN,88,NaN,NaN,93,86,87,NaN,NaN,81,NaN,NaN,89,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
600630020,NaN,NaN,84,NaN,NaN,NaN,81,NaN,NaN,91,84,82,NaN,NaN,88,NaN,NaN,NaN,95,84,NaN,NaN,81,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
600630003,NaN,NaN,NaN,89,NaN,NaN,93,89,89,85,87,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,72,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600630007,89,NaN,NaN,94,91,NaN,83,84,NaN,87,74,84,NaN,NaN,NaN,NaN,95,97,NaN,85,NaN,94,92,NaN,NaN,89,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600630011,NaN,NaN,NaN,90,NaN,92,89,NaN,90,89,83,86,NaN,90,NaN,NaN,90,NaN,NaN,86,NaN,NaN,78,86,NaN,91,90,NaN,94,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
600630012,NaN,NaN,NaN,92,NaN,NaN,78,NaN,NaN,83,98,89,NaN,NaN,NaN,NaN,91,NaN,85,93,NaN,87,87,NaN,89,86,NaN,86,NaN,NaN,NaN,88,87,NaN,81,NaN,89,NaN,NaN,NaN
