id,6305001@財政憲法專題研究@1@1,6305004@法學英文(三)-刑法@1@1,6305009@企業併購法專題研究@1@1,6305011@兩岸消費者保護法專題研究(一)@1@1,6305013@國際經貿法專題研究(一)@1@1,6305030@著作權法專題研究@1@1,6305069@稅捐救濟專題研究（三）@1@1,6306009@刑事訴訟法專題研究（一）@1@1,6306207@智慧財產權法總論專題研究（一）@1@1,6306216@生物科技法律專題研究@1@1,6306306@信託法專題研究@1@1,6306315@美國法總論專題研究（一）@1@1,6306505@稅法基礎理論專題研究（一）@1@1,6305002@納稅者權利保護專題研究@2@1,6305005@法學英文(四)-刑事訴訟法@2@1,6305012@兩岸消費者保護法專題研究(二)@2@1,6305014@國際經貿法專題研究(二)@2@1,6305066@稅捐救濟法專題研究（四）@2@1,6305068@國際投資法專題研究（二）@2@1,6305080@智慧財產權授權契約專題研究@2@1,6306010@刑事訴訟法專題研究（二）@2@1,6306025@商事法實務研習與專題研究@2@1,6306213@智慧財產權法總論專題研究（二）@2@1,6306303@金融法專題研究@2@1,6306316@美國法總論專題研究（二）@2@1,6306402@公司法專題研究@2@1,6306515@稅法基礎理論專題研究（二）@2@1
605630009,92,NaN,NaN,NaN,89,NaN,90,NaN,NaN,NaN,NaN,NaN,92,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605630013,92,NaN,NaN,NaN,98,NaN,89,NaN,NaN,NaN,NaN,NaN,92,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
605630017,92,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,91,NaN,92,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1
605630019,92,NaN,NaN,NaN,80,NaN,89,NaN,NaN,NaN,92,NaN,92,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605630020,92,NaN,NaN,NaN,NaN,89,89,NaN,NaN,NaN,NaN,86,92,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
605630001,NaN,94,97,NaN,94,NaN,NaN,87,83,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN
605630002,NaN,89,NaN,90,99,NaN,NaN,85,86,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
605630010,NaN,91,98,NaN,97,NaN,NaN,NaN,91,89,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
605630005,NaN,NaN,86,90,98,89,NaN,NaN,86,NaN,NaN,88,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN
605630006,NaN,NaN,86,91,86,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN
605630007,NaN,NaN,90,NaN,99,88,NaN,NaN,87,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN
605630011,NaN,NaN,88,NaN,84,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
605630015,NaN,NaN,86,NaN,97,NaN,NaN,87,91,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN
605630016,NaN,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
605630021,NaN,NaN,91,NaN,94,88,NaN,NaN,84,NaN,96,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
605630022,NaN,NaN,83,NaN,89,NaN,NaN,NaN,81,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
605630003,NaN,NaN,NaN,90,88,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
605630014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN
