id,3401014@成人心理@1@1,3401020@口語傳播@1@1,3401030@成教生涯探索@1@1,3401101@成人教育導論@1@1,3401110@成人基本教育@1@1,3401888@學系服務學習@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3401015@生涯探索@1@1,3401024@教育傳播與科技@1@1,3402009@成人教育方案規劃@1@1,3402016@生涯規劃@1@1,3402018@溝通與領導@1@1,3402522@教育統計（上）@1@1,3402523@社區教育@1@1,3402020@教育統計（下）@2@1,3402021@成人教學@2@1,3402026@成人教育行銷@2@1,3402027@教育訓練與發展@2@1,3402230@老人健康保健@2@1,3403520@樂齡教育與相關產業@2@1,3402524@教育傳播與科技@1@1,3403026@教育研究法@1@1,3403028@網路學習@1@1,3403031@成人教育專案管理@1@1,3403040@高齡教育學@1@1,3404012@社會老年學@1@1,3402028@成人教材設計與評量@2@1,3403013@比較成人教育@2@1,3403033@成人教育行政與組織管理@2@1,3403034@成人教育社會學@2@1,3403036@數位教材設計與製作@2@1,3404204@性別與學習@2@1,3402026@成人教育行銷@1@1,3403010@成人教育實習@1@1,3404013@成人教育史哲@1@1,3403032@高齡學習@2@1
400710002,86,85,86,90,91,NaN,90,83,NaN,88,90,NaN,82,82,89,NaN,83,85,90,82,87,NaN,84,NaN,NaN,86,77,91,90,85,NaN,90,89,85,NaN,NaN,NaN,92,92,NaN
400710003,86,82,84,90,87,86,90,83,81,80,NaN,NaN,NaN,77,90,85,86,84,82,85,85,NaN,85,NaN,NaN,85,71,89,84,82,NaN,93,83,84,NaN,NaN,NaN,86,88,NaN
400710004,89,88,87,92,95,NaN,87,88,93,85,88,NaN,NaN,84,90,NaN,89,85,81,88,86,85,85,94,91,85,81,NaN,93,90,NaN,94,91,87,NaN,NaN,NaN,93,94,NaN
400710005,85,83,86,92,86,87,89,86,84,85,NaN,NaN,NaN,83,90,NaN,82,84,80,87,89,85,86,NaN,87,85,80,90,88,94,NaN,94,87,87,87,NaN,NaN,89,93,NaN
400710006,89,82,84,92,NaN,NaN,91,87,84,92,92,NaN,NaN,85,90,78,84,88,82,87,91,88,88,91,NaN,90,84,NaN,89,NaN,NaN,94,85,87,NaN,93,NaN,90,92,NaN
400710007,85,80,85,84,NaN,87,90,75,84,85,NaN,NaN,NaN,74,89,93,82,77,78,80,90,84,83,NaN,88,86,83,NaN,81,90,NaN,94,84,83,84,94,NaN,87,93,NaN
400710008,86,83,83,90,88,NaN,88,87,92,87,91,NaN,87,84,89,NaN,82,86,77,85,87,92,90,88,NaN,84,68,NaN,88,NaN,NaN,88,84,79,NaN,90,NaN,87,86,NaN
400710009,87,77,84,80,87,88,89,87,80,80,NaN,NaN,NaN,77,88,87,88,82,76,88,85,85,85,NaN,82,84,79,89,84,93,NaN,92,86,85,NaN,91,NaN,90,92,NaN
400710011,91,89,88,94,94,89,90,89,94,86,NaN,NaN,NaN,90,91,93,92,89,91,89,89,90,93,94,91,90,85,91,93,95,93,96,93,90,90,NaN,NaN,93,94,NaN
400710012,88,80,87,92,92,NaN,90,84,88,80,88,NaN,NaN,80,88,NaN,81,87,87,84,89,NaN,NaN,88,82,89,80,NaN,87,87,93,93,78,84,NaN,88,NaN,90,92,NaN
400710014,82,73,84,82,72,NaN,78,80,NaN,80,88,NaN,NaN,81,90,NaN,81,78,72,74,NaN,NaN,81,88,NaN,89,60,68,81,88,NaN,47,75,54,NaN,29,55,87,72,NaN
400710015,88,87,88,92,94,90,85,87,94,87,NaN,NaN,NaN,82,89,87,81,86,78,89,87,83,86,NaN,NaN,84,83,NaN,89,NaN,NaN,92,77,81,NaN,NaN,NaN,87,90,NaN
400710016,90,85,87,90,96,NaN,86,87,93,86,86,NaN,NaN,80,89,NaN,86,86,90,79,87,81,88,NaN,NaN,84,79,NaN,88,90,NaN,90,72,85,NaN,NaN,NaN,90,90,NaN
400710017,84,70,84,78,62,85,73,60,NaN,78,NaN,NaN,NaN,76,88,NaN,83,72,60,66,84,NaN,77,88,63,84,66,75,82,80,NaN,84,61,60,NaN,29,NaN,90,86,NaN
