id,3401014@成人心理@1@1,3401020@口語傳播@1@1,3401031@成人教育生涯探索@1@1,3401101@成人教育導論@1@1,3401110@成人基本教育@1@1,3401888@學系服務學習@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401019@成人教育英文名著導讀@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3402009@成人教育方案規劃@1@1,3402018@溝通與領導@1@1,3402026@成人教育行銷@1@1,3402522@教育統計（上）@1@1,3402523@社區教育@1@1,3402524@教育傳播與科技@1@1,3402531@成人教育生涯規劃@1@1,3402020@教育統計（下）@2@1,3402021@成人教學@2@1,3402230@老人健康保健@2@1,3403520@樂齡教育與相關產業@2@1,3404204@性別與學習@2@1,3403010@成人教育實習@1@1,3403026@教育研究法@1@1,3403028@網路學習@1@1,3403031@成人教育專案管理@1@1,3403040@高齡教育學@1@1,3403100@成人教育生涯定向@1@1,3404012@社會老年學@1@1,3402027@教育訓練與發展@2@1,3403013@比較成人教育@2@1,3403033@成人教育行政與組織管理@2@1,3403034@成人教育社會學@2@1,3403036@數位教材設計與製作@2@1
403710002,87,91,65,85,82,NaN,90,88,NaN,88,88,99,67,81,85,80,84,NaN,91,85,80,87,NaN,75,NaN,80,79,89,88,83,NaN,NaN,-1,-1,-1,NaN
403710003,90,84,82,85,90,87,84,86,NaN,88,85,NaN,83,NaN,NaN,87,86,90,95,84,83,87,NaN,92,NaN,85,78,NaN,91,91,NaN,NaN,-1,-1,-1,-1
403710004,89,86,84,86,88,NaN,84,86,NaN,85,85,89,89,79,NaN,89,77,81,96,88,80,89,NaN,NaN,NaN,88,81,NaN,89,91,NaN,NaN,-1,-1,-1,NaN
403710005,90,92,90,87,83,89,86,86,NaN,96,87,NaN,86,85,NaN,77,78,67,95,88,86,90,-1,NaN,NaN,85,77,NaN,90,90,85,NaN,-1,-1,-1,NaN
403710006,91,89,90,87,79,NaN,86,88,NaN,94,85,81,84,83,85,83,82,82,90,78,79,89,NaN,NaN,NaN,90,80,NaN,91,89,89,-1,-1,-1,-1,NaN
403710007,96,91,90,88,86,90,85,89,NaN,95,88,NaN,73,91,85,88,86,91,97,87,87,NaN,NaN,NaN,NaN,90,86,NaN,90,89,NaN,NaN,-1,-1,-1,-1
403710008,99,88,90,89,91,NaN,90,90,NaN,96,90,81,90,NaN,88,83,86,NaN,95,84,85,92,NaN,NaN,95,90,76,92,92,91,NaN,-1,-1,-1,-1,NaN
403710009,89,91,88,87,91,90,92,89,NaN,90,88,NaN,89,NaN,NaN,85,68,NaN,78,85,81,90,89,NaN,NaN,86,82,NaN,89,91,NaN,NaN,-1,-1,-1,NaN
403710010,90,80,90,81,79,NaN,72,66,NaN,90,85,88,87,NaN,82,70,74,NaN,80,77,74,NaN,-1,NaN,NaN,86,81,88,90,89,NaN,NaN,-1,-1,-1,NaN
403710011,94,92,82,86,87,88,90,89,NaN,90,91,NaN,92,92,NaN,93,89,92,95,95,88,90,NaN,NaN,NaN,89,86,NaN,91,89,NaN,NaN,-1,-1,-1,-1
403710012,95,90,90,89,93,NaN,90,89,NaN,96,87,90,90,90,NaN,84,85,78,97,93,86,NaN,-1,NaN,NaN,89,80,NaN,90,91,NaN,NaN,-1,-1,-1,NaN
403710013,60,86,61,85,70,75,67,60,NaN,86,86,NaN,67,NaN,85,71,80,NaN,75,76,73,NaN,-1,NaN,NaN,86,72,88,90,82,NaN,NaN,-1,-1,-1,NaN
403710014,93,92,82,86,87,NaN,92,86,NaN,88,88,83,93,NaN,88,92,88,90,95,90,85,89,NaN,92,NaN,90,83,NaN,92,91,NaN,-1,-1,-1,-1,NaN
403710015,90,87,83,87,82,83,85,71,NaN,90,86,NaN,85,87,81,80,85,NaN,68,78,76,88,-1,NaN,NaN,88,77,88,89,80,NaN,NaN,-1,-1,-1,NaN
403710018,89,94,94,88,86,NaN,87,87,NaN,88,88,87,83,89,NaN,84,85,92,95,85,79,89,-1,93,NaN,87,80,NaN,93,90,84,NaN,-1,-1,-1,NaN
403710019,97,92,78,88,88,88,86,86,NaN,84,88,NaN,89,NaN,87,81,88,NaN,96,87,82,89,-1,93,NaN,86,81,NaN,91,91,NaN,NaN,-1,-1,-1,NaN
403710020,90,91,88,87,86,NaN,84,88,NaN,92,87,86,90,NaN,NaN,90,86,87,95,85,82,87,NaN,NaN,NaN,90,85,NaN,92,90,NaN,NaN,-1,-1,-1,-1
403710021,81,90,84,86,NaN,89,84,60,NaN,86,85,NaN,67,NaN,NaN,69,87,81,90,72,69,87,-1,NaN,NaN,88,75,NaN,85,89,70,NaN,-1,-1,-1,-1
403710022,88,89,90,84,90,NaN,86,87,82,86,85,89,91,NaN,85,90,70,NaN,96,90,79,88,NaN,NaN,NaN,89,83,NaN,90,91,NaN,-1,-1,-1,-1,NaN
403710024,91,92,82,87,81,NaN,87,82,NaN,85,85,23,NaN,NaN,NaN,62,73,NaN,95,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403710025,98,90,87,89,90,90,92,89,NaN,96,87,NaN,94,NaN,NaN,92,89,85,94,92,87,87,NaN,NaN,NaN,91,86,NaN,92,91,NaN,-1,-1,-1,-1,NaN
403710026,80,90,88,86,83,NaN,85,84,NaN,92,88,89,92,NaN,85,89,80,NaN,95,91,84,88,NaN,90,NaN,90,83,NaN,92,91,NaN,-1,-1,-1,-1,-1
403710027,85,90,79,83,85,85,90,85,NaN,90,86,NaN,77,NaN,84,82,76,83,77,78,75,86,NaN,NaN,NaN,86,77,NaN,90,90,NaN,-1,-1,-1,-1,-1
403710028,86,91,84,87,84,NaN,86,83,NaN,95,89,89,89,NaN,86,86,76,NaN,70,89,81,88,NaN,NaN,NaN,90,83,NaN,92,91,NaN,-1,-1,-1,-1,-1
403710029,90,90,87,87,90,89,87,88,NaN,94,86,NaN,88,65,86,88,81,82,95,87,85,90,NaN,NaN,NaN,90,81,NaN,93,88,NaN,NaN,-1,-1,-1,-1
403710030,86,92,82,88,88,NaN,72,85,NaN,94,85,81,71,NaN,NaN,88,72,84,76,86,75,85,-1,NaN,NaN,88,83,NaN,89,88,NaN,NaN,-1,-1,-1,NaN
403710032,93,92,93,89,90,NaN,90,88,NaN,96,87,89,87,NaN,86,87,89,87,70,93,78,NaN,NaN,NaN,NaN,89,84,NaN,89,90,NaN,NaN,-1,-1,-1,-1
403710033,87,92,92,88,94,90,87,84,NaN,94,85,NaN,89,90,NaN,91,86,NaN,96,96,85,86,NaN,NaN,NaN,89,78,91,91,90,NaN,NaN,-1,-1,-1,NaN
403710036,96,86,94,86,NaN,NaN,82,86,NaN,90,87,85,82,85,NaN,82,77,85,95,80,79,90,NaN,92,NaN,87,78,91,91,89,92,NaN,-1,-1,-1,-1
403710001,73,84,90,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403710037,89,86,90,86,90,89,88,88,NaN,NaN,-1,NaN,87,NaN,90,80,NaN,NaN,NaN,80,75,87,-1,NaN,NaN,89,84,91,90,90,NaN,NaN,-1,-1,-1,NaN
403710038,92,88,92,87,93,93,90,89,NaN,NaN,-1,NaN,86,NaN,90,89,NaN,NaN,NaN,82,80,89,-1,NaN,NaN,90,83,91,90,89,NaN,NaN,-1,-1,-1,NaN
403710039,92,91,93,85,93,95,84,88,NaN,89,-1,NaN,82,NaN,88,76,NaN,NaN,NaN,75,77,91,-1,NaN,NaN,91,80,NaN,90,90,NaN,NaN,-1,-1,-1,NaN
