id,3401014@成人心理@1@1,3401020@口語傳播@1@1,3401031@成人教育生涯探索@1@1,3401101@成人教育導論@1@1,3401110@成人基本教育@1@1,3401888@學系服務學習@1@1,3401016@創造力發展@2@1,3401017@成人學習@2@1,3401022@社區資源開發@2@1,3401023@人力資源發展與管理@2@1,3401888@學系服務學習@2@1,3402230@老人健康保健@2@1,3402009@成人教育方案規劃@1@1,3402018@溝通與領導@1@1,3402026@成人教育行銷@1@1,3402522@教育統計（上）@1@1,3402523@社區教育@1@1,3402524@教育傳播與科技@1@1,3402531@成人教育生涯規劃@1@1,3404012@社會老年學@1@1,3401019@成人教育英文名著導讀@2@1,3402020@教育統計（下）@2@1,3402021@成人教學@2@1,3402027@教育訓練與發展@2@1,3403033@成人教育行政與組織管理@2@1,3403520@樂齡教育與相關產業@2@1,3404204@性別與學習@2@1
404710001,86,84,90,88,90,80,82,85,NaN,87,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710002,90,89,85,86,91,NaN,83,90,88,85,88,-1,86,81,NaN,84,83,NaN,88,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710003,80,92,85,86,89,88,82,88,82,82,NaN,NaN,86,NaN,NaN,80,85,NaN,89,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404710005,82,89,80,86,89,91,84,89,90,83,NaN,-1,83,78,86,86,83,NaN,89,NaN,NaN,-1,-1,NaN,NaN,-1,NaN
404710006,90,92,80,92,90,NaN,83,89,89,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710007,81,88,84,86,92,89,81,89,NaN,83,NaN,-1,82,NaN,NaN,79,77,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN,-1
404710008,85,90,83,86,91,NaN,85,89,91,83,90,NaN,82,83,NaN,78,78,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710009,85,89,86,86,81,90,82,87,88,84,NaN,NaN,84,NaN,NaN,78,76,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710010,81,86,85,85,87,NaN,86,86,89,85,90,NaN,84,NaN,83,86,76,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710011,77,86,83,86,NaN,91,78,87,87,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710012,90,88,88,87,90,NaN,92,87,88,87,87,-1,86,NaN,88,82,82,NaN,87,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404710013,91,88,87,86,91,78,84,85,NaN,85,NaN,-1,83,NaN,NaN,80,77,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN,-1
404710014,91,88,89,86,93,NaN,88,91,NaN,87,90,-1,91,NaN,88,90,85,87,88,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404710015,83,88,87,87,92,92,92,86,86,89,NaN,NaN,85,79,87,82,84,81,80,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710016,80,87,85,90,90,NaN,79,89,NaN,81,87,NaN,86,NaN,NaN,64,74,NaN,83,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404710017,68,84,84,87,88,90,82,87,NaN,84,NaN,NaN,86,NaN,NaN,86,80,NaN,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710018,85,90,80,88,91,NaN,83,89,90,83,88,-1,85,78,NaN,87,83,NaN,86,92,NaN,-1,-1,NaN,NaN,-1,NaN
404710019,82,84,80,86,NaN,84,72,87,85,77,NaN,89,78,NaN,NaN,79,77,NaN,72,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710020,86,82,82,85,NaN,NaN,84,87,90,81,90,NaN,85,NaN,NaN,76,80,NaN,72,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710021,95,90,88,88,90,92,89,84,96,87,NaN,NaN,90,84,NaN,89,90,85,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710022,85,92,86,88,90,NaN,90,90,91,85,90,NaN,89,82,NaN,86,82,85,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710023,71,91,90,87,90,78,73,46,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710024,84,89,88,86,91,NaN,82,90,92,88,90,-1,88,86,NaN,88,76,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710025,86,89,84,87,NaN,86,84,78,NaN,86,NaN,-1,83,NaN,84,81,86,NaN,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710026,87,90,91,88,93,NaN,87,90,93,87,90,-1,91,93,NaN,79,86,NaN,88,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404710027,82,88,86,86,92,88,83,86,89,84,NaN,NaN,88,NaN,86,83,76,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710028,81,89,80,86,87,NaN,77,87,86,84,90,-1,78,71,80,77,74,NaN,77,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710029,84,86,86,86,88,84,83,86,NaN,87,NaN,-1,89,NaN,88,86,79,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710030,85,87,84,87,NaN,NaN,88,89,88,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404710031,92,86,86,87,93,88,84,91,92,87,NaN,-1,90,84,NaN,85,85,NaN,95,93,NaN,-1,-1,NaN,NaN,NaN,NaN
404710032,84,89,83,87,93,NaN,77,87,93,86,90,NaN,83,NaN,86,75,80,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404710033,84,89,82,89,NaN,85,88,89,NaN,87,NaN,-1,88,NaN,84,77,85,NaN,86,NaN,NaN,-1,-1,-1,-1,NaN,NaN
404710034,90,90,84,87,91,NaN,78,88,93,86,90,-1,86,NaN,89,86,88,NaN,86,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404710035,71,88,87,87,91,88,76,89,NaN,81,NaN,NaN,82,81,NaN,82,67,NaN,72,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
