id,3405008@質性教育研究法@1@1,3405016@成人教育方案評鑑研究@1@1,3405056@教育統計及電子計算機應用@1@1,3405113@成人教學研究@1@1,3405116@成人教育學研究@1@1,3405703@人力資源發展與管理研究@1@1,3405902@創造力發展研究@1@1,3408206@高齡教育與相關產業研究@1@1,3405007@教育研究法@2@1,3405068@成人發展與老化研究@2@1,3405076@成人教育方案規劃研究@2@1,3405108@教育訓練與發展研究@2@1,3405118@成人教育行銷研究@2@1,3405189@成人諮商與輔導研究@2@1,3405252@社區教育研究@2@1,3405259@成人教育行政與組織管理研究@2@1,3408112@成人教育哲學思想專題研究@2@1,3405604@非營利組織經營與管理研究@1@1,3406107@成人教育實習@1@1,3407182@成人學習理論專題研究@1@1,3405061@多變量分析@2@1,3405231@比較成人教育研究@2@1,3405284@網路學習研究@2@1,3405605@組織學習研究@2@1,3407402@成人教育社會學專題研究@1@1,3408112@成人教育哲學思想專題研究@1@1,3406202@兩性中高齡學習研究@2@1,3406203@社區教育研究@2@1
600710005,92,NaN,87,NaN,NaN,NaN,93,90,95,NaN,NaN,NaN,NaN,92,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85
600710002,NaN,88,85,NaN,NaN,90,75,84,85,NaN,NaN,89,88,NaN,NaN,NaN,86,NaN,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
600710001,NaN,NaN,80,NaN,91,85,83,NaN,88,89,NaN,NaN,86,NaN,NaN,89,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710003,92,NaN,85,86,NaN,90,NaN,84,91,NaN,89,NaN,89,NaN,NaN,NaN,NaN,NaN,93,88,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
600710006,NaN,NaN,83,NaN,NaN,89,NaN,NaN,91,NaN,NaN,NaN,NaN,90,87,89,NaN,NaN,92,NaN,NaN,NaN,81,NaN,83,NaN,NaN,NaN
600710011,92,NaN,80,90,91,NaN,NaN,NaN,94,NaN,89,NaN,90,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
600710012,87,NaN,83,90,89,NaN,NaN,NaN,94,NaN,89,NaN,89,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
600710014,NaN,NaN,86,88,90,90,91,NaN,92,NaN,NaN,92,88,NaN,NaN,NaN,88,NaN,92,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
600710015,NaN,NaN,80,NaN,90,84,83,NaN,86,88,NaN,NaN,88,NaN,NaN,88,NaN,NaN,92,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710007,NaN,NaN,NaN,90,90,NaN,91,90,92,NaN,NaN,89,91,NaN,NaN,NaN,87,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710008,86,NaN,NaN,80,88,NaN,85,82,88,86,NaN,NaN,87,88,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710009,85,NaN,NaN,82,89,NaN,85,82,88,86,NaN,NaN,87,88,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710010,94,NaN,NaN,92,90,NaN,NaN,92,95,NaN,92,NaN,89,NaN,NaN,92,NaN,NaN,93,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
600710013,NaN,NaN,NaN,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600710004,72,NaN,92,NaN,NaN,92,93,NaN,92,NaN,89,91,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,90,NaN,NaN,NaN,92,89,NaN,NaN
