id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451017@法學緒論@1@1,3451024@社會工作（一）@1@1,3451026@物質濫用概論@1@1,3451029@統計學的想像力@1@1,3451888@學系服務學習@1@1,3452020@被害者學@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451025@社會工作（二）@2@1,3451888@學系服務學習@2@1,3452006@青少年問題與輔導@2@1,3452022@心理衛生@2@1,3452017@諮商理論與技術（一）@1@1,3452018@人格心理學@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452031@行為統計與電腦（一）@1@1,3452032@犯罪學（一）@1@1,3452070@社會個案工作@1@1,3453035@變態心理學@1@1,3452001@諮商理論與技術（二）@2@1,3452025@刑法總則（二）@2@1,3452027@暴力犯罪@2@1,3452029@社會心理學@2@1,3452063@犯罪學（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452068@社會團體工作@2@1,3453013@家庭暴力@2@1,3453032@團體輔導實務@2@1,3453033@藥物濫用問題與輔導@2@1,3453041@矯正教育@2@1,3454026@精神醫學@2@1,3451008@犯罪生物學@1@1,3452011@犯罪預防@1@1,3452012@發展心理學@1@1,3452065@人際關係與溝通@1@1,3452071@民法總則(一)@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453036@犯罪矯正管理@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453073@監獄行刑法@1@1,3453075@心理測驗理論@1@1,3453077@體驗教育與冒險治療(一)@1@1,3453079@諮商技巧@1@1,3454007@觀護制度@1@1,3451005@心理衛生@2@1,3453014@少年事件處理法@2@1,3453015@少年犯罪@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453068@刑事政策@2@1,3453069@刑事訴訟法（二）@2@1,3453074@性創傷處遇@2@1,3453078@體驗教育與冒險治療(二)@2@1,3453080@心理測驗實作@2@1,3453081@心理學在犯罪領域之運用@2@1,3454013@生涯發展@2@1,3454027@矯正諮商@2@1,3452015@婚姻與家庭@1@1,3453040@性犯罪@1@1,3454029@危機處遇@1@1,3451032@腦與犯罪@2@1,3452072@民法總則(二)@2@1,3453082@犯罪實例剖析@2@1,3454023@跨國犯罪@2@1
401725001,74,73,60,79,86,NaN,100,70,85,72,89,86,NaN,NaN,84,86,86,72,76,60,78,87,60,89,66,90,88,70,62,NaN,87,NaN,NaN,NaN,NaN,NaN,91,90,NaN,80,NaN,85,77,93,NaN,91,77,87,NaN,NaN,NaN,NaN,NaN,89,85,NaN,88,88,87,NaN,91,NaN,NaN,88,NaN,87,89,NaN,NaN,NaN,NaN,NaN,NaN
401725002,89,79,75,87,88,89,NaN,83,85,80,91,84,88,94,NaN,93,NaN,86,88,81,81,NaN,79,90,90,90,NaN,89,87,NaN,88,NaN,NaN,92,NaN,NaN,92,NaN,NaN,NaN,NaN,95,89,94,88,96,86,86,NaN,NaN,NaN,90,NaN,NaN,80,NaN,86,94,90,88,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401725004,75,74,NaN,75,83,92,NaN,81,76,73,85,73,88,NaN,93,88,90,71,NaN,86,95,86,75,92,64,66,89,75,88,NaN,75,NaN,79,72,NaN,93,91,88,90,NaN,NaN,69,72,NaN,NaN,84,NaN,NaN,90,NaN,93,NaN,NaN,NaN,87,NaN,93,93,91,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401725005,83,85,73,81,90,84,100,NaN,87,74,90,84,NaN,NaN,84,89,89,79,80,81,88,89,72,90,79,NaN,87,83,78,89,88,NaN,NaN,NaN,NaN,NaN,89,90,NaN,95,NaN,90,78,90,NaN,92,82,NaN,85,NaN,NaN,NaN,NaN,91,84,NaN,86,90,89,73,93,NaN,84,88,NaN,95,89,NaN,92,NaN,90,NaN,NaN
401725006,79,84,78,81,88,NaN,NaN,89,89,81,91,87,88,94,NaN,92,88,90,90,86,93,91,74,91,91,90,85,84,93,NaN,85,NaN,87,NaN,NaN,NaN,92,NaN,NaN,94,88,90,83,96,NaN,95,92,88,84,NaN,NaN,85,NaN,91,88,93,93,91,89,88,91,NaN,90,NaN,NaN,NaN,NaN,97,NaN,NaN,94,NaN,90
401725007,87,86,88,79,89,NaN,100,NaN,89,81,86,85,NaN,94,NaN,91,89,79,90,92,91,90,68,90,81,NaN,88,68,82,91,NaN,NaN,NaN,NaN,NaN,NaN,87,90,NaN,NaN,NaN,90,76,86,NaN,90,NaN,NaN,82,90,93,NaN,NaN,91,83,NaN,87,93,86,NaN,92,91,90,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
401725008,78,75,71,81,88,NaN,NaN,NaN,66,74,77,76,88,NaN,NaN,89,86,72,77,75,87,NaN,69,92,78,80,85,77,62,90,87,NaN,NaN,87,NaN,94,88,NaN,NaN,NaN,NaN,90,79,94,NaN,91,NaN,NaN,NaN,NaN,91,NaN,95,NaN,86,NaN,93,88,89,NaN,91,NaN,NaN,NaN,88,77,NaN,NaN,NaN,80,NaN,NaN,NaN
401725009,81,68,67,82,89,NaN,100,74,84,78,88,88,NaN,NaN,NaN,90,88,79,NaN,83,90,90,73,90,88,NaN,88,73,82,89,87,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,88,95,NaN,91,NaN,NaN,86,90,92,NaN,NaN,91,87,NaN,91,91,89,NaN,93,93,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401725010,82,90,84,89,87,85,NaN,88,92,78,83,87,88,NaN,NaN,91,89,91,NaN,96,90,93,80,90,92,NaN,89,77,89,91,91,NaN,89,NaN,NaN,NaN,92,NaN,NaN,81,95,95,87,96,NaN,96,90,90,91,NaN,NaN,87,NaN,91,88,93,93,91,93,93,91,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,92
401725011,82,78,81,78,89,NaN,100,74,78,75,86,84,NaN,NaN,NaN,88,92,75,82,81,93,89,82,90,84,NaN,90,75,63,89,NaN,NaN,NaN,NaN,NaN,93,91,NaN,NaN,NaN,NaN,95,78,93,NaN,87,NaN,NaN,88,92,NaN,NaN,NaN,NaN,86,NaN,86,89,88,NaN,93,91,90,90,NaN,NaN,90,NaN,89,NaN,NaN,NaN,90
401725012,87,82,85,85,88,NaN,NaN,79,86,87,89,83,88,95,NaN,93,91,90,NaN,96,94,NaN,84,92,93,NaN,85,85,93,90,84,NaN,90,NaN,NaN,NaN,91,NaN,NaN,96,87,95,81,95,87,95,86,88,90,NaN,91,NaN,NaN,94,83,89,91,92,89,89,92,NaN,NaN,NaN,NaN,97,NaN,98,NaN,NaN,90,NaN,90
401725013,82,74,81,82,89,NaN,100,79,91,81,91,86,NaN,94,97,93,90,83,88,96,94,90,87,92,80,NaN,92,76,98,85,81,87,90,NaN,NaN,94,91,89,86,NaN,NaN,85,85,96,NaN,96,NaN,NaN,NaN,NaN,93,83,NaN,90,86,NaN,92,93,89,NaN,90,NaN,NaN,NaN,NaN,97,NaN,NaN,93,NaN,NaN,NaN,NaN
401725014,69,74,82,79,88,NaN,NaN,62,84,73,84,83,88,96,NaN,91,89,88,92,91,93,90,86,94,83,90,86,84,90,NaN,85,NaN,87,NaN,NaN,NaN,90,NaN,NaN,99,NaN,95,74,95,NaN,93,78,NaN,82,NaN,NaN,84,NaN,NaN,86,NaN,93,90,90,76,93,NaN,90,89,NaN,NaN,90,NaN,89,NaN,NaN,NaN,91
401725015,76,63,27,71,86,NaN,100,60,65,69,90,71,NaN,NaN,86,87,87,70,75,76,83,81,69,86,72,85,84,66,66,NaN,79,NaN,81,74,NaN,89,84,66,85,NaN,NaN,90,70,80,NaN,70,NaN,NaN,76,85,91,NaN,NaN,NaN,81,NaN,82,88,84,NaN,NaN,NaN,NaN,86,85,90,87,96,NaN,NaN,NaN,NaN,NaN
401725016,75,61,NaN,76,88,NaN,NaN,NaN,62,65,86,74,88,NaN,89,91,88,72,NaN,91,86,87,72,85,80,86,85,64,86,NaN,NaN,84,76,NaN,NaN,NaN,90,NaN,89,NaN,NaN,90,73,88,NaN,92,NaN,83,82,87,91,NaN,NaN,NaN,86,NaN,83,90,87,NaN,88,89,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
