id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451026@物質濫用概論@1@1,3451030@社會工作@1@1,3451888@學系服務學習@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451888@學系服務學習@2@1,3452022@心理衛生@2@1,3453014@少年事件處理法@2@1,3453041@矯正教育@2@1,3453068@刑事政策@2@1,3452012@發展心理學@1@1,3452017@諮商理論與技術（一）@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452031@行為統計與電腦（一）@1@1,3452032@犯罪學（一）@1@1,3452065@人際關係與溝通@1@1,3452070@社會個案工作@1@1,3452071@民法總則(一)@1@1,3453035@變態心理學@1@1,3453036@犯罪矯正管理@1@1,3453073@監獄行刑法@1@1,3454007@觀護制度@1@1,3451005@心理衛生@2@1,3451028@諮商概論@2@1,3451032@腦與犯罪@2@1,3452001@諮商理論與技術（二）@2@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452027@暴力犯罪@2@1,3452063@犯罪學（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452072@民法總則(二)@2@1,3453013@家庭暴力@2@1,3453074@性創傷處遇@2@1,3451001@犯罪學@1@1,3452011@犯罪預防@1@1,3452015@婚姻與家庭@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453040@性犯罪@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453075@心理測驗理論@1@1,3453079@諮商技巧@1@1,3454029@危機處遇@1@1,3452006@青少年問題與輔導@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3453015@少年犯罪@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453069@刑事訴訟法（二）@2@1,3453076@體驗教育與冒險治療(一)@2@1,3453078@體驗教育與冒險治療(二)@2@1,3453080@心理測驗實作@2@1,3453081@心理學在犯罪領域之運用@2@1,3453082@犯罪實例剖析@2@1,3454023@跨國犯罪@2@1,3454027@矯正諮商@2@1,3451008@犯罪生物學@1@1,3453084@方案規劃與評估@1@1,3454010@精神醫療@1@1,3451031@自我探索@2@1,3452076@警察學@2@1
402725002,84,94,79,90,NaN,86,84,87,90,93,97,NaN,90,92,91,85,NaN,97,97,NaN,91,84,90,NaN,86,NaN,NaN,NaN,96,93,84,91,95,95,99,NaN,86,92,NaN,93,89,NaN,NaN,91,95,NaN,95,NaN,90,91,NaN,NaN,NaN,NaN,86,NaN,96,91,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725003,60,83,81,86,91,85,74,90,NaN,98,96,NaN,90,84,91,81,92,96,89,NaN,92,97,93,NaN,NaN,81,NaN,NaN,95,94,NaN,88,91,91,95,NaN,88,92,NaN,95,NaN,NaN,93,91,96,NaN,95,NaN,NaN,NaN,NaN,93,89,NaN,84,NaN,98,90,NaN,89,92,NaN,NaN,91,-1,94,99,94,NaN,NaN,NaN
402725004,72,74,87,89,NaN,85,72,NaN,90,NaN,84,NaN,90,NaN,86,67,87,88,81,NaN,NaN,NaN,81,84,88,90,NaN,90,87,89,NaN,NaN,79,80,79,NaN,80,NaN,NaN,95,NaN,NaN,NaN,68,89,NaN,94,79,NaN,92,NaN,NaN,NaN,NaN,77,NaN,85,-1,NaN,55,NaN,NaN,NaN,86,NaN,NaN,98,NaN,NaN,NaN,NaN
402725005,92,91,83,89,90,86,80,89,NaN,98,96,NaN,90,85,91,80,88,94,96,NaN,94,98,91,89,NaN,NaN,NaN,NaN,NaN,95,NaN,90,93,92,98,90,87,91,NaN,95,NaN,91,NaN,92,96,NaN,96,88,NaN,92,NaN,NaN,91,NaN,90,93,98,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725006,74,86,79,83,NaN,91,79,92,90,NaN,97,NaN,90,88,93,80,89,98,91,NaN,NaN,88,92,90,90,NaN,NaN,93,NaN,95,86,NaN,91,96,92,95,91,NaN,NaN,95,NaN,NaN,93,91,96,NaN,95,NaN,NaN,93,NaN,NaN,NaN,NaN,89,NaN,94,89,NaN,89,89,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725007,72,77,86,86,90,88,69,89,NaN,NaN,96,NaN,90,NaN,90,81,89,90,89,NaN,92,94,91,90,85,NaN,97,NaN,94,95,NaN,90,95,91,90,90,88,92,NaN,95,NaN,89,NaN,93,96,NaN,94,85,NaN,93,NaN,NaN,NaN,NaN,86,88,96,91,NaN,87,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402725008,73,80,89,80,NaN,87,75,92,95,97,93,NaN,88,88,89,69,86,82,74,NaN,NaN,83,88,87,83,92,NaN,NaN,NaN,89,86,NaN,84,87,76,89,86,NaN,NaN,95,NaN,NaN,NaN,82,96,NaN,94,NaN,NaN,93,NaN,NaN,NaN,83,NaN,NaN,78,91,NaN,NaN,NaN,NaN,NaN,90,91,NaN,NaN,NaN,NaN,NaN,NaN
402725009,75,86,87,90,91,83,81,NaN,NaN,NaN,92,87,90,84,94,77,93,92,90,NaN,88,NaN,74,86,NaN,NaN,97,NaN,95,94,NaN,91,96,95,94,NaN,NaN,91,NaN,92,89,86,NaN,90,NaN,NaN,91,85,91,NaN,NaN,NaN,NaN,NaN,84,88,92,91,89,NaN,NaN,90,90,92,91,NaN,86,NaN,NaN,NaN,NaN
402725010,83,94,81,93,NaN,84,79,89,90,NaN,NaN,NaN,90,80,90,86,85,99,94,NaN,NaN,99,90,NaN,90,80,97,NaN,93,95,83,89,95,93,99,96,86,92,NaN,94,NaN,88,NaN,92,96,NaN,93,85,NaN,92,NaN,NaN,NaN,NaN,87,97,94,89,96,NaN,NaN,NaN,NaN,92,93,NaN,NaN,NaN,NaN,NaN,NaN
402725011,88,91,87,89,91,89,92,90,NaN,NaN,NaN,NaN,90,90,93,90,NaN,97,95,NaN,NaN,97,94,NaN,90,NaN,97,NaN,91,95,86,92,NaN,87,99,95,NaN,NaN,NaN,94,NaN,86,NaN,91,92,NaN,94,91,92,93,NaN,NaN,NaN,NaN,82,87,94,94,92,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
