id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451031@自我探索@1@1,3451888@學系服務學習@1@1,3452026@警政管理@1@1,3452071@民法總則(一)@1@1,3453036@犯罪矯正管理@1@1,3453073@監獄行刑法@1@1,3451005@心理衛生@2@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451028@諮商概論@2@1,3451030@社會工作@2@1,3451032@腦與犯罪@2@1,3451888@學系服務學習@2@1,3452018@人格心理學@2@1,3452027@暴力犯罪@2@1,3452072@民法總則(二)@2@1,3454013@生涯發展@2@1,3451001@犯罪學@1@1,3452012@發展心理學@1@1,3452015@婚姻與家庭@1@1,3452017@諮商理論與技術（一）@1@1,3452024@刑法總則（一）@1@1,3452031@行為統計與電腦（一）@1@1,3452070@社會個案工作@1@1,3453035@變態心理學@1@1,3453040@性犯罪@1@1,3454007@觀護制度@1@1,3452001@諮商理論與技術（二）@2@1,3452006@青少年問題與輔導@2@1,3452025@刑法總則（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3453013@家庭暴力@2@1,3453032@團體輔導實務@2@1,3453083@家庭暴力與性侵害預防宣導@2@1,3451008@犯罪生物學@1@1,3451026@物質濫用概論@1@1,3452011@犯罪預防@1@1,3452029@社會心理學@1@1,3452075@諮商理論@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453070@諮商倫理@1@1,3453076@體驗教育與冒險治療(一)@1@1,3454010@精神醫療@1@1,3452065@人際關係與溝通@2@1,3452076@警察學@2@1,3452077@諮商歷程與技術@2@1,3453014@少年事件處理法@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453068@刑事政策@2@1,3453069@刑事訴訟法（二）@2@1,3453081@心理學在犯罪領域之運用@2@1,3453085@危機處遇@2@1,3454023@跨國犯罪@2@1,3454027@矯正諮商@2@1
403725001,80,87,94,88,88,72,87,87,NaN,84,88,98,88,93,NaN,NaN,NaN,82,80,89,84,90,92,91,NaN,88,NaN,75,88,NaN,85,NaN,NaN,91,NaN,86,NaN,NaN,NaN,88,NaN,87,89,NaN,NaN,90,92,90,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1
403725002,86,83,93,NaN,79,86,NaN,85,96,90,85,97,NaN,89,NaN,95,NaN,84,85,88,74,87,NaN,91,82,94,91,NaN,97,NaN,90,93,90,87,88,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,90,94,93,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725003,70,87,94,88,80,88,84,84,97,83,85,97,NaN,90,NaN,NaN,NaN,81,95,88,70,NaN,NaN,92,80,91,NaN,NaN,NaN,NaN,89,93,87,85,NaN,79,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,96,95,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
403725004,60,83,80,NaN,62,NaN,NaN,NaN,NaN,84,91,-1,85,78,71,91,91,73,NaN,91,67,88,NaN,84,70,79,NaN,NaN,NaN,91,81,NaN,75,77,NaN,79,62,89,NaN,82,NaN,NaN,89,NaN,NaN,NaN,74,NaN,64,NaN,92,NaN,77,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403725005,81,86,93,90,83,82,86,NaN,95,78,87,91,NaN,85,96,NaN,NaN,95,90,88,79,89,NaN,89,82,95,87,NaN,NaN,NaN,93,NaN,90,90,86,89,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,94,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN
403725006,80,75,88,NaN,84,90,NaN,79,95,82,86,95,NaN,88,96,92,NaN,95,88,88,76,89,NaN,90,85,93,85,NaN,NaN,NaN,92,NaN,92,91,89,82,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,95,92,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403725007,80,90,94,85,82,74,89,90,95,86,84,98,NaN,93,NaN,NaN,NaN,83,NaN,NaN,87,84,NaN,92,90,96,NaN,85,NaN,NaN,91,NaN,90,91,91,85,85,NaN,NaN,NaN,NaN,92,NaN,NaN,93,NaN,89,96,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
403725008,78,74,92,NaN,85,84,73,83,97,65,85,86,NaN,83,95,93,88,88,91,90,73,91,92,85,72,85,84,75,NaN,NaN,90,93,81,79,84,81,82,NaN,NaN,NaN,NaN,89,NaN,NaN,85,NaN,81,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403725010,92,83,NaN,NaN,95,84,75,NaN,NaN,84,88,NaN,90,90,93,92,NaN,91,89,90,84,91,92,93,91,92,88,NaN,NaN,NaN,90,93,93,96,87,82,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,95,90,91,96,96,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
403725011,66,78,87,90,78,82,60,NaN,92,77,82,88,NaN,89,-1,NaN,NaN,77,NaN,NaN,73,NaN,NaN,91,74,80,75,NaN,NaN,NaN,81,NaN,83,69,-1,74,NaN,NaN,NaN,NaN,74,74,NaN,NaN,NaN,NaN,88,85,82,NaN,NaN,86,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
