id,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3455056@質的研究法@1@1,3456013@犯罪研究統計（一）@1@1,3456031@少年事件處理法與保安處分執行法專題研究@1@1,3456041@心理創傷與處遇@1@1,3456045@刑事制裁專題研究@1@1,3457028@犯罪學經典著作研析@1@1,3455003@犯罪學專題研究（二）@2@1,3455037@矯正諮商專題研究@2@1,3456017@犯罪研究統計（二）@2@1,3456027@獨立研究：研究計畫與報告撰寫@2@1,3456028@獨立研究：刑事法學實證研究@2@1,3456032@犯罪控制與監獄學專題研究@2@1,3456043@創傷訪談研究@2@1,3456049@親密暴力諮商專題研究@2@1,3456051@藥物濫用與防治專題研究@2@1,3456052@性別與刑事司法@2@1,3456053@獨立研究：性別暴力防治@2@1,3456054@矯正及司法社會工作專題研究@2@1,3457011@刑事訴訟法專題研究@2@1,3455022@少年犯罪專題研究@1@1,3455024@犯罪心理學@1@1,3455051@家庭暴力與性侵害專題研究@1@1,3455081@警察組織與管理@1@1,3455084@性罪犯與婚姻暴力加害人處遇專題研究@1@1,3456034@諮商心理學專題研究@1@1,3456036@公務員倫理與刑事立法@1@1,3456056@社區矯正專題研究@1@1,3455091@犯罪社會學理論專題研究@2@1,3456057@獨立研究:社會排斥實證研究@2@1,3456058@獨立研究:犯罪問題研討@2@1,3456046@諮商技術專題研究@1@1
603725001,89,88,91,NaN,NaN,90,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,91,NaN,NaN,NaN,86,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
603725002,90,90,91,NaN,NaN,90,92,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,94,NaN,91,NaN,NaN,NaN,91,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725003,89,90,91,NaN,94,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,91,NaN,NaN,NaN,86,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
603725004,91,90,91,94,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,92,90,NaN,NaN,NaN,91,91,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725005,90,89,91,NaN,92,90,NaN,NaN,NaN,89,NaN,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
603725007,90,89,92,NaN,NaN,NaN,91,NaN,NaN,90,92,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,88,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
603725012,90,90,91,91,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,87,NaN,NaN,91,NaN,NaN,89,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725014,90,89,91,NaN,NaN,NaN,86,NaN,NaN,88,92,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,86,NaN,NaN,NaN,NaN
603725015,90,87,93,NaN,NaN,91,NaN,85,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,89,90,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725017,88,88,91,NaN,87,92,NaN,NaN,NaN,88,NaN,NaN,NaN,95,NaN,NaN,NaN,89,88,NaN,NaN,92,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725018,88,89,91,NaN,83,90,NaN,NaN,NaN,89,NaN,NaN,NaN,95,NaN,NaN,92,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
603725020,88,88,91,NaN,NaN,NaN,NaN,86,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,91,89,NaN,NaN,91,NaN,NaN,NaN,91,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
603725021,88,88,91,NaN,80,90,NaN,NaN,NaN,86,NaN,NaN,92,NaN,91,NaN,NaN,91,NaN,NaN,NaN,89,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725022,88,89,91,NaN,91,90,NaN,NaN,NaN,89,92,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN
603725023,87,89,92,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725025,90,89,90,NaN,NaN,91,NaN,NaN,91,88,NaN,NaN,92,NaN,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
603725006,89,89,91,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,91,NaN,90,NaN,NaN,NaN,90,NaN,NaN,89,92,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN
603725009,88,87,92,NaN,76,93,NaN,83,NaN,87,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,87,NaN,NaN,92,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603725013,NaN,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,92
