id,3456032@犯罪控制與監獄學專題研究@2@1,3456051@藥物濫用與防治專題研究@2@1,3456054@矯正及司法社會工作專題研究@2@1,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3455022@少年犯罪專題研究@1@1,3455024@犯罪心理學@1@1,3455051@家庭暴力與性侵害專題研究@1@1,3455081@警察組織與管理@1@1,3455084@性罪犯與婚姻暴力加害人處遇專題研究@1@1,3456034@諮商心理學專題研究@1@1,3456048@情緒的神經機制專題研究@1@1,3456056@社區矯正專題研究@1@1,3457028@犯罪學經典著作研析@1@1,3455003@犯罪學專題研究（二）@2@1,3455037@矯正諮商專題研究@2@1,3455056@質的研究法@2@1,3455090@白領犯罪與經濟犯罪專題研究@2@1,3455091@犯罪社會學理論專題研究@2@1,3456009@當代社會心理學與犯罪專題研究@2@1,3456039@犯罪與電生理學專題研究@2@1,3456057@獨立研究:社會排斥實證研究@2@1,3456058@獨立研究:犯罪問題研討@2@1,3457011@刑事訴訟法專題研究@2@1,3455080@批判的犯罪學@1@1,3456006@生涯發展與犯罪專題研究@1@1,3456007@法律社會學專題研究@1@1,3456013@犯罪研究統計（一）@1@1,3456031@少年事件處理法與保安處分執行法專題研究@1@1,3456046@諮商技術專題研究@1@1,3456059@犯罪與神經心理學專題研究@1@1,3456061@性侵者與親密暴力者處遇專題研究@1@1,3455081@警察組織與管理@2@1,3456017@犯罪研究統計（二）@2@1,3456027@獨立研究：研究計畫與報告撰寫@2@1,3456049@親密暴力諮商專題研究@2@1
604725006,92,90,87,89,88,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,89,NaN,NaN,NaN,NaN
604725007,NaN,90,88,88,89,92,90,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
604725001,NaN,NaN,NaN,88,88,92,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,89,NaN,95,NaN,89,NaN,88,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
604725002,NaN,NaN,NaN,89,89,92,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,89,NaN,93,NaN,NaN,88,NaN,NaN,NaN,91,NaN,NaN,90,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,NaN
604725004,-1,NaN,NaN,90,90,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,90,NaN,93,NaN,92,NaN,NaN,NaN,NaN,91,93,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN
604725005,NaN,NaN,NaN,88,88,92,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,93,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,94,92,92,NaN,NaN,NaN,NaN,NaN,NaN
604725008,NaN,NaN,NaN,88,89,92,NaN,87,NaN,NaN,NaN,NaN,NaN,90,NaN,88,NaN,NaN,90,NaN,90,NaN,NaN,NaN,90,NaN,88,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604725009,NaN,NaN,NaN,88,90,92,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,99,NaN,NaN,NaN,90,NaN,NaN,NaN,93,92,92,NaN,NaN,NaN,NaN,NaN,NaN
604725010,NaN,NaN,NaN,90,89,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1
604725011,NaN,NaN,NaN,91,90,93,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,NaN,94,94,95,NaN,NaN,NaN,89,NaN,NaN,92,NaN,93,NaN,NaN,NaN,NaN,NaN
