id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901101@運動心理學@1@1,3901888@學系服務學習@1@1,3904109@肌力訓練@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3903116@高爾夫@2@1,3904114@競技運動競賽實務@2@1,3904120@體育研究法@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3902107@運動場地規畫與管理@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903115@桌球@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904113@跆拳道@1@1,3904121@安全教育與急救@1@1,3901102@運動教育學@2@1,3901104@棒(壘)球@2@1,3901105@體操@2@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902108@運動賽會與管理@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3903001@專長術科（五）@1@1,3903113@籃球@1@1,3903118@運動健康促進@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904110@足球@1@1,3904118@體育課程設計@1@1,3904122@運動健身器材科技@1@1,3902106@運動管理學@2@1,3902113@瑜珈@2@1,3903004@專長術科（六）@2@1,3903005@體育英文@2@1,3903007@運動資訊處理@2@1,3902010@運動專業實習（一）@1@1,3904001@專長術科（七）@1@1,3904005@運動專業英語術語@1@1,3902011@運動專業實習（二）@2@1,3904017@專長術科（八）-田徑@2@1,3904018@專長術科（八）-游泳@2@1,3904019@專長術科（八）-網球@2@1,3904020@專長術科（八）-羽球@2@1,3904021@專長術科（八）-高爾夫@2@1,3904022@專長術科（八）-跆拳道@2@1,3904023@專長術科（八）-射箭@2@1,3904024@專長術科（八）-定向越野@2@1,3904011@專長術科（七）-網球@1@1
401736001,95,93,82,92,NaN,80,86,87,92,84,86,88,NaN,89,NaN,NaN,80,80,92,91,73,86,99,NaN,NaN,95,90,86,90,NaN,NaN,90,89,93,NaN,84,80,86,90,93,90,NaN,96,NaN,92,85,89,88,NaN,91,NaN,85,91,NaN,78,NaN,86,87,87,91,95,82,NaN,NaN,82,NaN,85,81,92,NaN,87,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401736004,78,83,86,80,NaN,NaN,78,80,69,88,83,NaN,80,87,NaN,NaN,60,85,82,73,NaN,54,NaN,80,NaN,92,75,88,60,60,NaN,NaN,66,NaN,NaN,NaN,68,86,83,NaN,NaN,NaN,80,88,NaN,NaN,91,80,86,85,86,NaN,86,NaN,70,67,85,70,NaN,67,86,NaN,NaN,NaN,NaN,80,82,81,80,NaN,82,67,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736005,90,86,90,90,62,80,NaN,80,87,90,85,93,NaN,86,NaN,82,76,87,86,89,NaN,NaN,NaN,87,84,NaN,88,79,NaN,94,NaN,89,92,90,NaN,NaN,87,85,80,NaN,NaN,86,NaN,NaN,NaN,93,-1,80,NaN,84,84,NaN,NaN,NaN,90,NaN,89,82,84,86,NaN,NaN,NaN,NaN,NaN,85,89,70,95,NaN,91,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN
401736006,94,86,89,85,69,NaN,NaN,87,87,87,86,NaN,80,85,NaN,NaN,70,87,86,89,NaN,NaN,NaN,84,NaN,82,NaN,NaN,82,76,NaN,77,NaN,NaN,NaN,NaN,62,85,75,NaN,NaN,NaN,NaN,91,78,77,NaN,86,75,80,NaN,NaN,NaN,NaN,NaN,NaN,86,70,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,80,79,80,NaN,91,83,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
401736007,86,80,88,88,63,80,74,78,86,90,82,88,NaN,80,NaN,NaN,70,90,83,82,77,NaN,NaN,77,85,86,75,NaN,78,89,NaN,90,NaN,66,NaN,NaN,84,89,80,75,72,83,10,87,55,NaN,90,NaN,NaN,NaN,78,82,NaN,NaN,NaN,68,94,NaN,82,61,NaN,NaN,NaN,NaN,NaN,NaN,88,78,80,NaN,86,67,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN
401736008,87,80,85,90,57,NaN,NaN,77,79,84,86,85,84,85,NaN,NaN,78,65,90,78,NaN,NaN,NaN,71,84,90,78,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,72,80,80,86,NaN,NaN,NaN,85,88,50,85,82,80,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,78,75,NaN,87,NaN,NaN,NaN,86,78,93,87,77,82,NaN,84,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
401736009,92,87,89,90,NaN,80,95,87,90,91,85,80,NaN,88,NaN,NaN,80,88,89,90,NaN,85,95,88,NaN,94,88,92,NaN,NaN,NaN,NaN,NaN,95,NaN,90,90,93,85,NaN,NaN,NaN,NaN,86,93,90,90,86,NaN,96,88,87,NaN,NaN,93,97,89,92,NaN,94,NaN,NaN,NaN,NaN,91,NaN,89,71,95,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN
401736010,86,88,86,93,61,NaN,94,84,87,92,93,88,80,87,NaN,NaN,78,86,93,94,NaN,79,95,NaN,NaN,96,85,85,NaN,NaN,90,91,NaN,NaN,NaN,78,86,88,95,72,NaN,NaN,88,NaN,95,NaN,90,85,95,85,NaN,NaN,94,NaN,NaN,NaN,90,NaN,NaN,94,94,85,NaN,85,84,NaN,90,76,95,NaN,86,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736011,85,83,83,88,69,80,80,86,87,84,85,NaN,NaN,85,NaN,NaN,65,78,88,72,NaN,NaN,NaN,89,81,91,78,NaN,78,74,NaN,NaN,80,NaN,NaN,NaN,72,84,83,NaN,NaN,NaN,80,88,78,74,89,78,NaN,83,85,NaN,88,NaN,66,NaN,84,NaN,82,81,NaN,NaN,NaN,NaN,NaN,NaN,83,71,80,NaN,84,82,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
401736012,95,88,81,95,71,NaN,NaN,85,83,89,90,75,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
