id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901101@運動心理學@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3901888@學系服務學習@1@1,3902112@國術@1@1,3904103@體育統計學@1@1,3904108@運動裁判法@1@1,3904110@足球@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901017@專長術科（二）-田徑@2@1,3901018@專長術科（二）-游泳@2@1,3901019@專長術科（二）-網球@2@1,3901020@專長術科（二）-羽球@2@1,3901021@專長術科（二）-高爾夫@2@1,3901022@專長術科（二）-跆拳道@2@1,3901023@專長術科（二）-射箭@2@1,3901024@專長術科（二）-定向越野@2@1,3901102@運動教育學@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3902023@專長術科（四）-跆拳道@2@1,3902106@運動管理學@2@1,3902113@瑜珈@2@1,3903101@體適能與運動處方@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3904117@羽球@2@1,3901011@專長術科（一）-網球@1@1,3902001@運動訓練法@1@1,3902009@運動英語聽講@1@1,3902027@專長術科（三）-田徑@1@1,3902028@專長術科（三）-游泳@1@1,3902029@專長術科（三）-網球@1@1,3902030@專長術科（三）-羽球@1@1,3902032@專長術科（三）-跆拳道@1@1,3902033@專長術科（三）-射箭@1@1,3902034@專長術科（三）-定向越野@1@1,3902035@專長術科（三）-綜合@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3903103@運動選材學@1@1,3903105@運動行銷學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3903115@桌球@1@1,3904121@安全教育與急救@1@1,3902002@運動傷害與急救@2@1,3902010@運動專業實習（一）@2@1,3902018@專長術科（四）-田徑@2@1,3902019@專長術科（四）-游泳@2@1,3902020@專長術科（四）-網球@2@1,3902021@專長術科（四）-羽球@2@1,3902024@專長術科（四）-射箭@2@1,3902025@專長術科（四）-定向越野@2@1,3902026@專長術科（四）-綜合@2@1,3902101@應用教練心理學@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3903005@體育英文@2@1,3903104@運動營養學@2@1,3903116@高爾夫@2@1,3904123@運動健康心理學@2@1
404736001,75,88,86,82,NaN,NaN,70,87,NaN,90,NaN,68,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,96,72,NaN,NaN,-1,NaN,83,89,NaN,NaN,NaN,NaN,NaN,92,65,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,75,85,NaN,NaN,NaN,83,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404736002,70,86,83,81,NaN,74,NaN,NaN,NaN,90,NaN,70,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,70,NaN,-1,NaN,NaN,59,NaN,NaN,NaN,-1,NaN,91,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,76,NaN,NaN,NaN,NaN,85,92,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
404736003,70,90,85,78,83,90,70,86,NaN,72,NaN,78,90,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,82,NaN,NaN,NaN,NaN,-1,92,NaN,NaN,NaN,80,-1,NaN,83,60,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,78,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736004,68,84,89,NaN,NaN,87,NaN,NaN,NaN,82,NaN,76,88,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,80,85,70,NaN,91,NaN,NaN,95,NaN,NaN,NaN,-1,NaN,90,89,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404736005,62,84,85,42,82,87,70,91,NaN,89,NaN,48,90,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,60,65,NaN,NaN,-1,NaN,35,59,NaN,NaN,NaN,-1,NaN,88,60,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736006,72,93,86,77,82,88,NaN,94,NaN,88,NaN,79,94,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,86,70,NaN,-1,-1,96,89,-1,NaN,NaN,-1,NaN,92,65,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,87,NaN,NaN,NaN,89,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404736007,74,92,86,82,84,88,70,82,NaN,89,NaN,75,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,72,85,NaN,NaN,-1,-1,94,59,NaN,NaN,NaN,-1,NaN,85,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,90,NaN,60,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
404736008,76,92,87,NaN,NaN,57,NaN,84,NaN,87,NaN,63,93,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1,NaN,93,88,NaN,NaN,NaN,-1,NaN,59,60,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404736009,68,91,86,NaN,82,NaN,70,80,NaN,NaN,NaN,68,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,92,87,NaN,NaN,NaN,NaN,NaN,59,60,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,76,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736010,85,93,80,92,78,NaN,NaN,NaN,NaN,NaN,NaN,91,97,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,70,NaN,NaN,NaN,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736011,80,80,88,67,NaN,NaN,70,NaN,NaN,85,NaN,55,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,97,90,NaN,NaN,NaN,-1,NaN,88,65,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
404736012,63,85,84,70,82,NaN,NaN,85,NaN,87,NaN,70,93,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,79,78,70,NaN,-1,NaN,80,59,-1,NaN,NaN,-1,NaN,86,65,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736013,55,88,88,73,82,73,70,NaN,NaN,80,NaN,78,93,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,76,62,NaN,NaN,-1,-1,85,80,NaN,NaN,NaN,-1,NaN,85,60,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,84,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736014,73,93,83,NaN,84,91,NaN,91,NaN,92,NaN,94,98,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,92,NaN,70,NaN,-1,-1,98,90,NaN,NaN,NaN,-1,NaN,94,80,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,95,NaN,NaN,88,90,NaN,80,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736015,70,86,80,NaN,74,NaN,70,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736016,62,90,87,64,NaN,NaN,NaN,84,NaN,NaN,80,62,93,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,74,-1,70,-1,NaN,-1,93,NaN,-1,-1,NaN,76,NaN,87,65,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,78,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404736017,70,92,87,NaN,70,NaN,70,85,NaN,NaN,NaN,70,86,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,85,90,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736018,60,88,86,NaN,70,75,NaN,NaN,74,73,NaN,70,96,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,83,86,70,NaN,-1,-1,93,92,-1,NaN,NaN,-1,NaN,90,66,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404736019,62,88,83,76,NaN,NaN,70,90,NaN,78,NaN,80,89,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,80,-1,NaN,88,80,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,85,NaN,72,NaN,78,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736020,84,93,85,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,96,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,96,NaN,NaN,NaN,50,NaN,NaN,NaN,89,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,84,93,NaN,81,82,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
404736021,88,90,85,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,66,95,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,85,NaN,NaN,-1,-1,NaN,90,NaN,NaN,NaN,NaN,NaN,83,71,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404736022,70,80,84,NaN,NaN,68,NaN,NaN,NaN,89,NaN,70,98,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,70,NaN,-1,NaN,NaN,85,83,NaN,NaN,-1,NaN,82,70,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,82,88,NaN,81,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404736023,80,84,90,60,NaN,86,70,94,NaN,NaN,76,60,94,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,74,NaN,NaN,93,NaN,93,NaN,-1,NaN,NaN,NaN,-1,NaN,91,60,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,85,84,NaN,NaN,89,NaN,73,83,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404736024,62,87,85,76,86,74,NaN,85,NaN,88,NaN,77,95,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,78,NaN,70,NaN,NaN,-1,97,NaN,NaN,NaN,80,-1,NaN,78,60,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,76,NaN,NaN,NaN,80,NaN,82,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736025,70,86,84,83,NaN,NaN,70,NaN,85,81,NaN,69,95,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,NaN,59,88,-1,NaN,NaN,NaN,91,65,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736026,72,84,89,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,91,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,77,NaN,70,-1,NaN,-1,95,NaN,-1,-1,NaN,84,NaN,85,87,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404736027,80,83,87,88,NaN,95,70,95,NaN,NaN,NaN,81,95,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,-1,-1,-1,94,89,NaN,NaN,NaN,-1,NaN,90,93,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404736028,83,93,90,81,NaN,95,NaN,82,NaN,NaN,NaN,62,89,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,81,NaN,70,-1,-1,-1,NaN,NaN,-1,-1,NaN,78,NaN,92,89,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,85,83,NaN,NaN,84,NaN,78,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404736029,50,75,55,12,70,NaN,70,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736030,70,90,87,82,86,NaN,NaN,NaN,NaN,NaN,NaN,64,98,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,92,82,70,NaN,-1,NaN,NaN,80,88,NaN,NaN,-1,NaN,84,60,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404736031,70,87,83,69,85,50,70,88,NaN,77,NaN,77,94,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,82,NaN,NaN,NaN,NaN,-1,95,NaN,NaN,NaN,81,-1,NaN,80,60,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,77,NaN,NaN,NaN,80,NaN,80,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404736033,70,92,81,76,82,92,70,91,NaN,90,NaN,78,99,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,84,NaN,NaN,NaN,-1,-1,98,80,-1,NaN,NaN,-1,NaN,92,81,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,96,92,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404736034,58,89,80,61,NaN,NaN,NaN,NaN,NaN,87,NaN,61,93,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,77,78,70,NaN,-1,NaN,93,85,-1,NaN,NaN,NaN,NaN,86,83,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
404736035,55,80,74,NaN,30,72,70,NaN,NaN,86,NaN,69,90,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,79,80,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,84,60,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,72,80,NaN,NaN,76,82,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
