id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901101@運動心理學@1@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902007@運動英語聽講（一）@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3902107@運動場地規畫與管理@1@1,3903101@體適能與運動處方@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901102@運動教育學@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3903005@體育英文@2@1,3903007@運動資訊處理@2@1,3903102@運動技術分析@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903110@個人與團體運動指導訓練@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903116@高爾夫@2@1,3901007@運動場館實習（一）@1@1,3903001@專長術科（五）@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903107@運動員健康管理@1@1,3903113@籃球@1@1,3903115@桌球@1@1,3904005@運動專業英語術語@1@1,3904101@運動技能學習@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3901008@運動場館實習（二）@2@1,3901103@體育學原理@2@1,3902002@運動傷害與急救@2@1,3903004@專長術科（六）@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3904120@體育研究法@2@1,3904001@專長術科（七）@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904121@安全教育與急救@1@1,3904122@運動健身器材科技@1@1,3901104@棒(壘)球@2@1,3901105@體操@2@1,3904002@專長術科（八）@2@1,3904114@競技運動競賽實務@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3903118@運動健康促進@1@1,3904118@體育課程設計@1@1,3901005@專長術科（一）@1@1,3901006@專長術科（二）@2@1
499736011,55,82,83,67,79,87,73,85,NaN,82,72,70,78,62,70,80,95,87,88,79,80,60,85,70,80,NaN,78,NaN,NaN,83,81,NaN,88,85,86,77,NaN,75,66,70,NaN,NaN,70,78,88,83,75,89,75,NaN,NaN,78,NaN,69,80,NaN,NaN,85,NaN,NaN,NaN,78,70,NaN,93,NaN,NaN,NaN,NaN,87,89
499736021,57,65,77,68,90,86,76,NaN,NaN,83,81,93,85,83,76,89,86,98,87,91,70,60,70,78,88,NaN,85,71,73,90,82,84,85,89,87,85,65,90,84,79,NaN,NaN,76,NaN,80,NaN,78,89,78,NaN,85,NaN,NaN,85,80,NaN,72,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,85,96
499736032,70,56,42,66,88,85,72,87,NaN,60,77,75,80,82,72,68,83,85,80,NaN,85,61,77,81,90,NaN,NaN,NaN,NaN,92,78,88,82,88,87,85,75,89,77,84,NaN,NaN,NaN,NaN,88,NaN,65,86,80,NaN,80,NaN,NaN,83,84,NaN,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN,81,NaN,NaN,NaN,80,85
499736035,71,55,NaN,62,82,87,87,NaN,85,76,91,94,85,NaN,83,72,89,87,89,93,85,67,82,88,89,NaN,NaN,66,92,89,88,88,88,86,86,86,71,90,90,77,NaN,91,76,NaN,92,NaN,83,86,78,NaN,88,NaN,NaN,84,88,NaN,NaN,NaN,83,87,84,85,90,NaN,93,NaN,NaN,NaN,NaN,82,82
499736036,NaN,78,86,64,90,68,75,NaN,70,90,78,95,82,NaN,86,71,NaN,88,86,NaN,NaN,NaN,95,95,95,NaN,93,91,94,90,90,89,94,92,NaN,NaN,86,88,88,85,NaN,92,NaN,88,90,NaN,80,92,NaN,NaN,NaN,NaN,NaN,89,92,NaN,93,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499736037,NaN,86,76,72,94,69,97,NaN,84,88,83,86,NaN,NaN,85,73,84,87,86,89,NaN,68,NaN,96,89,NaN,85,NaN,NaN,90,83,86,80,92,NaN,NaN,65,86,80,88,NaN,82,90,90,83,NaN,87,88,83,85,88,95,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
499736001,85,95,82,62,86,88,91,89,86,86,92,86,NaN,87,89,97,89,87,90,83,86,80,79,85,84,NaN,90,NaN,93,90,82,86,92,89,NaN,NaN,NaN,85,84,85,NaN,86,86,87,94,NaN,78,91,88,90,83,85,NaN,84,90,NaN,NaN,90,85,NaN,NaN,NaN,84,NaN,NaN,87,77,NaN,80,90,92
499736002,90,94,NaN,86,92,88,95,90,99,86,87,96,NaN,NaN,90,89,91,94,90,88,NaN,76,NaN,95,92,NaN,80,85,94,92,80,85,88,88,90,87,91,NaN,84,84,NaN,94,84,NaN,94,NaN,85,90,95,NaN,NaN,NaN,NaN,85,80,NaN,NaN,NaN,85,NaN,NaN,NaN,86,NaN,94,NaN,NaN,NaN,NaN,85,98
499736003,62,81,NaN,75,85,79,72,87,NaN,81,NaN,88,NaN,80,72,60,82,90,89,74,78,60,80,0,80,0,NaN,NaN,87,59,88,82,85,86,NaN,85,60,NaN,76,68,NaN,82,20,NaN,88,NaN,60,90,80,NaN,89,NaN,NaN,80,80,NaN,NaN,NaN,NaN,NaN,80,NaN,91,NaN,NaN,NaN,NaN,0,NaN,85,86
499736004,90,80,77,70,90,88,89,NaN,80,84,88,93,82,84,87,71,96,89,90,64,87,74,89,75,86,NaN,88,80,79,92,82,82,86,90,88,84,82,90,82,85,NaN,92,76,84,90,NaN,80,90,NaN,89,86,NaN,85,85,87,NaN,87,NaN,84,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,78,94
